,gene
0,Acbd7
1,Adamtsl1
2,Ang4
3,Anxa1
4,Atp2a1
5,C2cd4a
6,Casr
7,Cldn6
8,Dnai1
9,Dnajc24
10,Dpp4
11,Ern1
12,F3
13,Fetub
14,Gnao1
15,Iapp
16,Igll1
17,Il18
18,Kcnb2
19,Kcnc1
20,Krt5
21,Msln
22,Muc20
23,Neurod1
24,Neurod2
25,P4ha3
26,Pax6
27,Plac8
28,Plce1
29,Ppp1r27
30,Rhoh
31,Scrn1
32,Serpina1e
33,Serpinb11
34,Spink8
35,Sprr2a3
36,Upk3a
37,Wfdc12
38,Wfdc15b
39,Wwtr1
40,Zeb2
41,Anxa2
42,Arl5a
43,Bhlhe40
44,Btla
45,Ccl5
46,Cd53
47,Cdkn2a
48,Clec4a2
49,Cryaa
50,Dkkl1
51,Evi2a
52,Fam111a
53,Fezf2
54,Ffar4
55,Gm2a
56,Hebp2
57,I830077J02Rik
58,Idh1
59,Iqch
60,Klf2
61,Klk1b11
62,Lamp1
63,Ly86
64,Mpeg1
65,Myl7
66,Pla2g2d
67,Pltp
68,Retnla
69,Rnase6
70,S100a4
71,Selplg
72,Sla
73,Slamf6
74,Slc46a3
75,Sub1
76,Tpd52l1
77,Tubb2b
78,Ube2e2
79,Upk3bl
80,Vmo1
81,Aadac
82,Cldn9
83,Ctsd
84,Dusp6
85,Ifit3b
86,Sc5d
87,Stard5
88,Sulf1
89,Adtrp
90,Akap6
91,Arg1
92,Cdo1
93,Cldn8
94,Cryab
95,Emp1
96,Lifr
97,Lypd6b
98,Mcub
99,Msl3
100,Orm3
101,Pinx1
102,Plscr2
103,Sil1
104,Snrpn
105,St3gal4
106,Tnmd
107,Tspan7
108,Upk1b
109,Adig
110,Anpep
111,Cib3
112,Cpne8
113,Lrrc26
114,Mal
115,S100a11
116,Slpi
117,Sprr1a
118,Sprr2f
119,Sprr2j-ps
120,Sprr3
121,Upk1a
122,Ddit4l
123,Adh6a
124,Arhgef6
125,Bcl2a1a
126,Bcl2a1b
127,Bpifc
128,Calm4
129,Ccr3
130,Cd52
131,Cdsn
132,Clic3
133,Cnfn
134,Crct1
135,Cryba4
136,Cst6
137,Csta1
138,Cwh43
139,Cyp2b19
140,Cyp2d10
141,Cysrt1
142,Defb1
143,Dmkn
144,Dnase1l2
145,Gdpd3
146,Gsdma
147,Hrnr
148,Il36rn
149,Klk1b9
150,Krt6b
151,Ly6g6c
152,Mylk
153,Orm1
154,Orm2
155,Pinlyp
156,Pla2g1b
157,Prg3
158,Psca
159,Psors1c2
160,Ptgds
161,Rgs1
162,Rptn
163,S100a9
164,Sbsn
165,Slc1a2
166,Slc6a14
167,Slurp1
168,Spink12
169,Sprr2d
170,St6galnac1
171,Tprg1
172,Wfdc21
173,Wfdc5
174,Adgrf5
175,Lmntd1
176,Nos1
177,Pla2g7
178,Ccl6
179,Ccl9
180,Hspe1
181,Mob4
182,Siglecg
183,Gp2
184,Il36a
