,gene
0,2010003K11Rik
1,Abcg5
2,Abcg8
3,Acsm2
4,Acvr1b
5,Aifm3
6,Anxa10
7,Aoc1
8,Apob
9,Apoc3
10,Btbd8
11,Btnl1
12,Btnl2
13,C3
14,Ccl20
15,Ccr4
16,Cd70
17,Ces2a
18,Ces2c
19,Ces2f
20,Chil4
21,Cidec
22,Clca4b
23,Cnnm1
24,D830030K20Rik
25,Dapl1
26,Dkk1
27,Dnah9
28,Eomes
29,Fabp1
30,Fabp9
31,Fam83f
32,Fcer1g
33,Fcer2a
34,Flt1
35,Fmo5
36,Fn1
37,Galnt7
38,Glis3
39,Gprin3
40,Grap
41,Gsta1
42,Gstm6
43,Gucy1a1
44,Gucy2c
45,H1f8
46,Hamp
47,Hoxc11
48,Hsd17b6
49,Hspa12a
50,Igf1
51,Il13
52,Il20rb
53,Il27
54,Kif4
55,Krt15
56,Krt81
57,Krt84
58,Lrp1
59,Lrrn1
60,Lta
61,Ly6i
62,Lypd8
63,Ms4a10
64,Ms4a18
65,Mtmr7
66,Muc17
67,Myh15
68,Nos2
69,Or9s13
70,Osr2
71,Pck1
72,Pcsk5
73,Pde5a
74,Penk
75,Pla2g3
76,Prss30
77,Ptgs2
78,Rgl1
79,Saa1
80,Sel1l3
81,Slc51b
82,Slc5a1
83,Slc7a2
84,Slc7a8
85,Smtnl1
86,Spink4
87,Tlr12
88,Tlr2
89,Tm4sf20
90,Tmem37
91,Tnfaip6
92,Trf
93,Tstd1
94,Ttr
95,Unc93a
96,Unc93a2
97,Vdr
98,Vil1
99,Vnn1
100,Abcb1a
101,Acot7
102,Acsbg1
103,Adcy3
104,Adcy8
105,Adgrd1
106,Adgrg7
107,Adipor2
108,Aldh18a1
109,Aldob
110,Apoa1
111,Apoa4
112,Aqp3
113,Asah2
114,Atp1a2
115,Bcl2l15
116,Btnl4
117,C130074G19Rik
118,Calb1
119,Cald1
120,Camk2a
121,Cavin1
122,Cdhr2
123,Cdhr5
124,Cebpb
125,Chdh
126,Chi3l1
127,Chst1
128,Clec2e
129,Clmn
130,Clrn3
131,Cnga1
132,Col15a1
133,Col18a1
134,Cpb2
135,Creb3l3
136,Crybg2
137,Cyp2c68
138,Cyp4v3
139,Degs2
140,Dipk2a
141,Dmbt1
142,Dnm1
143,Elapor2
144,Elovl7
145,Enox1
146,Epop
147,Eps8
148,Esrrg
149,Exoc3l4
150,Fabp2
151,Far2
152,Fcgbp
153,G0s2
154,Gm10775
155,Gm5930
156,Gpa33
157,Gpr55
158,Guca2b
