NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cul1	340	16.399940490722656	0.06353969	No	
row_1	Nkd1	1305	8.305176734924316	0.055780753	No	
row_2	Gnai1	1680	7.027313232421875	0.071492106	No	
row_3	Ncstn	2560	5.114490509033203	0.05232201	No	
row_4	Csnk1e	2642	4.96575927734375	0.07266831	No	
row_5	Axin1	2960	4.431424617767334	0.0784827	No	
row_6	Wnt5b	3087	4.190744400024414	0.09274627	No	
row_7	Lef1	3142	4.120002746582031	0.11029321	No	
row_8	Psen2	3978	3.093315601348877	0.08339809	No	
row_9	Jag2	4036	3.0344231128692627	0.095452644	No	
row_10	Hdac5	4143	2.9250433444976807	0.10449767	No	
row_11	Frat1	4749	2.3377676010131836	0.085485585	No	
row_12	Dvl2	6490	1.0285813808441162	0.0027871125	No	
row_13	Ppard	7802	0.2634959816932678	-0.062038437	No	
row_14	Notch4	8102	0.09599747508764267	-0.076646574	No	
row_15	Ptch1	8652	-0.1922464221715927	-0.10339023	No	
row_16	Maml1	8653	-0.192336305975914	-0.10244393	No	
row_17	Numb	9532	-0.5632559657096863	-0.14395575	No	
row_18	Fzd8	10022	-0.6980600953102112	-0.16518462	No	
row_19	Hdac11	10271	-0.7629528045654297	-0.17393906	No	
row_20	Dkk4	11888	-1.2329493761062622	-0.24937795	No	
row_21	Ncor2	12050	-1.2817095518112183	-0.25119215	No	
row_22	Skp2	12865	-1.5467257499694824	-0.28463736	No	
row_23	Wnt1	13322	-1.7049369812011719	-0.29924798	No	
row_24	Dll1	14872	-2.3883650302886963	-0.36562297	No	
row_25	Hdac2	14926	-2.421175718307495	-0.35638386	No	
row_26	Ctnnb1	15999	-3.0841472148895264	-0.39527747	No	
row_27	Dkk1	16491	-3.4364538192749023	-0.40313426	Yes	
row_28	Axin2	16587	-3.530634641647339	-0.3905549	Yes	
row_29	Hey2	16942	-3.863694429397583	-0.38939992	Yes	
row_30	Kat2a	17384	-4.378394603729248	-0.3901005	Yes	
row_31	Wnt6	17535	-4.548321723937988	-0.37528813	Yes	
row_32	Adam17	18192	-5.654650688171387	-0.38055333	Yes	
row_33	Hey1	18479	-6.323897361755371	-0.36386442	Yes	
row_34	Myc	18766	-7.102286338806152	-0.3433458	Yes	
row_35	Trp53	19173	-9.06105899810791	-0.31924233	Yes	
row_36	Fzd1	19208	-9.249290466308594	-0.2754505	Yes	
row_37	Tcf7	19337	-10.1319580078125	-0.2320569	Yes	
row_38	Jag1	19349	-10.227446556091309	-0.18229246	Yes	
row_39	Rbpj	19512	-11.544973373413086	-0.13366166	Yes	
row_40	Notch1	19564	-12.29536247253418	-0.07574048	Yes	
row_41	Ccnd2	19777	-18.500469207763672	0.0045896936	Yes	
