NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2a	20	15.121901512145996	0.030578952	No	
row_1	Capg	144	9.370409965515137	0.043906897	No	
row_2	Nck1	645	5.157374858856201	0.029274773	No	
row_3	Tpd52	690	4.990077495574951	0.03746501	No	
row_4	Ube2n	730	4.87389612197876	0.04566658	No	
row_5	Tgfb2	832	4.584866046905518	0.05011369	No	
row_6	Ifnar2	903	4.408831596374512	0.05576828	No	
row_7	Acvr2a	1055	4.052677631378174	0.056562677	No	
row_8	Jak2	1084	3.994826316833496	0.06348652	No	
row_9	Krt1	1342	3.4950637817382812	0.05772939	No	
row_10	Abi1	1450	3.332064628601074	0.059254043	No	
row_11	Il2ra	1538	3.222001791000366	0.06156504	No	
row_12	Egfr	1710	2.9316794872283936	0.059000943	No	
row_13	Tap1	1804	2.800917148590088	0.060127247	No	
row_14	Ccnd3	1813	2.7859482765197754	0.0655416	No	
row_15	Ccr5	1830	2.7671127319335938	0.07051008	No	
row_16	Tlr1	1900	2.6754674911499023	0.072593845	No	
row_17	Socs5	1907	2.6712465286254883	0.077870175	No	
row_18	Pf4	2266	2.248103380203247	0.06437532	No	
row_19	Ccr2	2340	2.1637091636657715	0.065186575	No	
row_20	Ets1	2438	2.0594635009765625	0.06456044	No	
row_21	Cd247	2572	1.9407612085342407	0.06185694	No	
row_22	Ifngr2	2840	1.7291220426559448	0.051901955	No	
row_23	Stat4	2864	1.709999442100525	0.05430602	No	
row_24	Il7	2953	1.6443021297454834	0.053269804	No	
row_25	Rars1	3128	1.526623249053955	0.047617573	No	
row_26	Dyrk3	3271	1.4350947141647339	0.043400206	No	
row_27	Eif4g3	3312	1.4112344980239868	0.044316176	No	
row_28	Lcp2	3416	1.348715901374817	0.041900136	No	
row_29	Ripk2	3491	1.3060617446899414	0.040868632	No	
row_30	Map3k7	3525	1.2900274991989136	0.041887064	No	
row_31	Lyn	4083	0.9919232130050659	0.015655274	No	
row_32	Ccr1	4273	0.9081099033355713	0.007948507	No	
row_33	Tlr3	4336	0.8860272765159607	0.0066491794	No	
row_34	Ifngr1	4414	0.8568170070648193	0.0045265877	No	
row_35	Il12rb1	4607	0.7722351551055908	-0.00361652	No	
row_36	Tlr6	4662	0.7549770474433899	-0.0047831344	No	
row_37	Traf2	4808	0.6909672021865845	-0.010707708	No	
row_38	Cd47	5072	0.591474175453186	-0.0228364	No	
row_39	Csk	5660	0.3984912931919098	-0.051832553	No	
row_40	Dars1	5761	0.3666788637638092	-0.056147985	No	
row_41	Timp1	6226	0.22219598293304443	-0.07926217	No	
row_42	Irf8	6378	0.18049506843090057	-0.0865582	No	
row_43	Hif1a	6496	0.1508612483739853	-0.09218842	No	
row_44	Itgal	6587	0.12214508652687073	-0.09650662	No	
row_45	Bcl10	6627	0.11037852615118027	-0.0982578	No	
row_46	Wars1	6825	0.053445398807525635	-0.10815681	No	
row_47	Apbb1	7053	-0.007663381285965443	-0.119675934	No	
row_48	Ereg	7270	-0.06285294890403748	-0.13052078	No	
row_49	Ube2d1	7522	-0.12819142639636993	-0.14300765	No	
row_50	Prf1	7620	-0.15284088253974915	-0.14761743	No	
row_51	Lif	7689	-0.17288917303085327	-0.15071166	No	
row_52	Mtif2	7944	-0.23207728564739227	-0.16313392	No	
row_53	Rps3a1	8453	-0.3414705693721771	-0.18823478	No	
row_54	Cd40lg	8454	-0.3415488004684448	-0.18752116	No	
row_55	Bcat1	8503	-0.3493213653564453	-0.18923044	No	
row_56	Glmn	8545	-0.35976865887641907	-0.19056219	No	
row_57	Inhba	8612	-0.3721288740634918	-0.19313851	No	
row_58	Mrpl3	8621	-0.37402087450027466	-0.19276357	No	
row_59	Itk	8622	-0.3742924928665161	-0.19198152	No	
row_60	Stat1	8789	-0.4087364971637726	-0.1995629	No	
row_61	Akt1	8855	-0.4225599765777588	-0.20198305	No	
row_62	Ncr1	9005	-0.4494411051273346	-0.20861551	No	
row_63	Cfp	9119	-0.4661749005317688	-0.21338366	No	
row_64	Ccl5	9171	-0.4729507863521576	-0.21498708	No	
row_65	Nme1	9415	-0.5116090178489685	-0.22626634	No	
row_66	Eif3j1	9471	-0.5193734765052795	-0.22797602	No	
row_67	Cxcr3	10009	-0.6093804836273193	-0.25399077	No	
row_68	Fasl	10216	-0.6427809000015259	-0.2631158	No	
row_69	Tap2	10303	-0.6583847403526306	-0.2661103	No	
row_70	Abce1	10413	-0.6742832064628601	-0.2702404	No	
row_71	Trat1	10550	-0.6962750554084778	-0.27569652	No	
row_72	Bcl3	10747	-0.7243399024009705	-0.28414297	No	
row_73	Il11	10806	-0.7345030307769775	-0.28555563	No	
row_74	Csf1	10836	-0.7391072511672974	-0.285485	No	
row_75	Ptpn6	11325	-0.8106598854064941	-0.30858925	No	
row_76	Aars1	11335	-0.8128371238708496	-0.30734828	No	
row_77	Il18	11817	-0.8910437822341919	-0.32992885	No	
row_78	Il2	12143	-0.9454060792922974	-0.34446862	No	
row_79	Elane	12222	-0.9571951627731323	-0.3464323	No	
row_80	Inhbb	12500	-1.0039550065994263	-0.35841057	No	
row_81	Il16	12502	-1.0047539472579956	-0.35636207	No	
row_82	Elf4	12605	-1.0221987962722778	-0.3594095	No	
row_83	Gzma	12856	-1.070833444595337	-0.36987606	No	
row_84	Degs1	12912	-1.08254873752594	-0.37040907	No	
row_85	Il6	12924	-1.085091233253479	-0.3687009	No	
row_86	Tapbp	13041	-1.110633134841919	-0.37227497	No	
row_87	Cd8b1	13083	-1.1179437637329102	-0.3720226	No	
row_88	Gpr65	13094	-1.1192841529846191	-0.37019217	No	
row_89	Cd80	13191	-1.1375658512115479	-0.37269366	No	
row_90	Cd2	13203	-1.1395903825759888	-0.3708716	No	
row_91	Was	13245	-1.146610140800476	-0.37055933	No	
row_92	Il18rap	13322	-1.1617814302444458	-0.37199393	No	
row_93	Crtam	13401	-1.1762936115264893	-0.37349984	No	
row_94	Klrd1	13505	-1.192679762840271	-0.3762419	No	
row_95	Ifng	13708	-1.2329745292663574	-0.3839305	No	
row_96	Fcgr2b	13725	-1.2372649908065796	-0.38215846	No	
row_97	St8sia4	13796	-1.25356125831604	-0.3830964	No	
row_98	Rpl3l	13958	-1.288012146949768	-0.38858655	No	
row_99	Itgb2	14045	-1.3069274425506592	-0.39022604	No	
row_100	Ly86	14446	-1.3900117874145508	-0.40764803	No	
row_101	Fgr	14549	-1.414833426475525	-0.4098751	No	
row_102	Ikbkb	14955	-1.5114941596984863	-0.42729735	No	
row_103	H2-Ea	15103	-1.5466030836105347	-0.4315358	No	
row_104	Il9	15105	-1.5467602014541626	-0.4283549	No	
row_105	Cd3e	15441	-1.6346057653427124	-0.4419628	Yes	
row_106	Cd96	15486	-1.6450285911560059	-0.4407616	Yes	
row_107	Il1b	15529	-1.6564706563949585	-0.4394349	Yes	
row_108	Eif5a	15539	-1.6586748361587524	-0.43642664	Yes	
row_109	Il4	15565	-1.6638524532318115	-0.4342206	Yes	
row_110	Il10	15585	-1.6677803993225098	-0.4317015	Yes	
row_111	Tlr2	15681	-1.6913073062896729	-0.43299523	Yes	
row_112	Gzmb	15685	-1.692275881767273	-0.42961186	Yes	
row_113	Map4k1	15714	-1.700556993484497	-0.42748162	Yes	
row_114	Ncf4	15717	-1.7010846138000488	-0.42402905	Yes	
row_115	Cd8a	15813	-1.7324961423873901	-0.4252367	Yes	
row_116	Cd28	16041	-1.8160264492034912	-0.4329775	Yes	
row_117	Eif3d	16044	-1.8165993690490723	-0.42928356	Yes	
row_118	Tgfb1	16064	-1.8222248554229736	-0.42644176	Yes	
