NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hras	41	12.488460540771484	0.021809723	No	
row_1	Cdh1	156	9.260467529296875	0.03373211	No	
row_2	Jup	171	8.921259880065918	0.05008937	No	
row_3	Nectin4	228	8.202428817749023	0.06293607	No	
row_4	Dsc3	269	7.643336772918701	0.075526476	No	
row_5	Mpzl2	376	6.6496806144714355	0.082860366	No	
row_6	Cldn4	381	6.590531826019287	0.09526665	No	
row_7	Ctnnd1	394	6.48600959777832	0.10706624	No	
row_8	Parva	410	6.3286638259887695	0.118412256	No	
row_9	Nectin1	420	6.275224685668945	0.12996106	No	
row_10	Baiap2	597	5.3540449142456055	0.1312573	No	
row_11	Mapk14	687	4.995109558105469	0.13628976	No	
row_12	Pcdh1	765	4.753514766693115	0.14147006	No	
row_13	Nectin2	829	4.5942254066467285	0.14705732	No	
row_14	Actn4	841	4.557192325592041	0.15521735	No	
row_15	Ldlrap1	880	4.4514851570129395	0.16180247	No	
row_16	Grb7	883	4.447221755981445	0.17020965	No	
row_17	Nectin3	886	4.444682598114014	0.17861196	No	
row_18	Hadh	934	4.3308186531066895	0.18450868	No	
row_19	Pik3r3	956	4.284818649291992	0.19163918	No	
row_20	Plcg1	979	4.229614734649658	0.19861323	No	
row_21	Mapk13	1009	4.150822639465332	0.20508066	No	
row_22	Mapk11	1046	4.064166069030762	0.21102642	No	
row_23	Arpc2	1053	4.0565361976623535	0.21848273	No	
row_24	B4galt1	1068	4.018157005310059	0.2254589	No	
row_25	Tubg1	1292	3.5849978923797607	0.220981	No	
row_26	Adam15	1325	3.518285036087036	0.22608568	No	
row_27	Pik3cb	1362	3.461839199066162	0.23087901	No	
row_28	Ctnna1	1476	3.296999931335449	0.23144235	No	
row_29	Vav2	1496	3.278108596801758	0.23674841	No	
row_30	Dsc1	1588	3.115298271179199	0.23808256	No	
row_31	Egfr	1710	2.9316794872283936	0.23754023	No	
row_32	Myl12b	1969	2.5933761596679688	0.2293857	No	
row_33	Crb3	1997	2.554579973220825	0.23290072	No	
row_34	Vcl	2072	2.479818105697632	0.23388328	No	
row_35	Pard6g	2083	2.465121269226074	0.2380914	No	
row_36	Tjp1	2091	2.455202579498291	0.24243304	No	
row_37	Cercam	2118	2.4214653968811035	0.24574421	No	
row_38	Cd276	2146	2.389810800552368	0.24894398	No	
row_39	Alox8	2282	2.2315733432769775	0.2463504	No	
row_40	Wnk4	2358	2.15339994430542	0.24665758	No	
row_41	Dlg1	2477	2.0248053073883057	0.24453264	No	
row_42	Map4k2	2622	1.9010238647460938	0.24084908	No	
row_43	Mpzl1	2843	1.7232022285461426	0.23296152	No	
row_44	Exoc4	2883	1.6977721452713013	0.23422715	No	
row_45	Adam23	2916	1.6753305196762085	0.2358057	No	
row_46	Cldn9	3187	1.4869121313095093	0.22492412	No	
row_47	Shroom2	3299	1.4167429208755493	0.22199166	No	
row_48	Icam4	3392	1.358902096748352	0.21991447	No	
row_49	Akt2	3403	1.3552324771881104	0.22199903	No	
row_50	Adam9	3478	1.3106786012649536	0.22074468	No	
row_51	Pten	3562	1.2725187540054321	0.21895976	No	
row_52	Cap1	3584	1.256669282913208	0.22029653	No	
row_53	Icam2	3687	1.2029880285263062	0.21741264	No	
row_54	Ikbkg	3707	1.1914944648742676	0.21872638	No	
row_55	Pbx2	3720	1.185732126235962	0.22038497	No	
row_56	Cdh3	3870	1.102378487586975	0.21491915	No	
row_57	Gtf2f1	3942	1.0684541463851929	0.21335387	No	
row_58	Nf2	4090	0.9907474517822266	0.20777614	No	
row_59	Crat	4317	0.891992449760437	0.19799322	No	
row_60	Thbs3	4469	0.8283588290214539	0.19190145	No	
row_61	Sympk	4616	0.7710579633712769	0.18595424	No	
row_62	Shc1	4926	0.6465230584144592	0.17148203	No	
row_63	Inppl1	4943	0.6404874324798584	0.17189404	No	
row_64	Sirpa	5290	0.5172414183616638	0.15529345	No	
row_65	Akt3	5357	0.4974057674407959	0.15288977	No	
