NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2a	20	15.121901512145996	0.031367876	No	
row_1	Cdkn1a	105	10.25766658782959	0.049064953	No	
row_2	Lsm8	423	6.2537360191345215	0.04634187	No	
row_3	Rbbp7	997	4.192368030548096	0.026189478	No	
row_4	Pttg1	1184	3.797577381134033	0.024866242	No	
row_5	H2az1	1269	3.6314663887023926	0.02837283	No	
row_6	Tubg1	1292	3.5849978923797607	0.03493191	No	
row_7	Jpt1	1486	3.290266275405884	0.032166358	No	
row_8	Rnaseh2a	1532	3.233424663543701	0.036803223	No	
row_9	Hmgb2	1965	2.598808765411377	0.020406382	No	
row_10	Ppm1d	2574	1.9406265020370483	-0.006347639	No	
row_11	Cdc25b	2757	1.796675205230713	-0.011752597	No	
row_12	Ctcf	2829	1.733629584312439	-0.011649461	No	
row_13	Msh2	2974	1.6295678615570068	-0.015480416	No	
row_14	Cdkn2c	3016	1.5988095998764038	-0.014140842	No	
row_15	Nup153	3055	1.5694355964660645	-0.012711656	No	
row_16	Tfrc	3125	1.5300151109695435	-0.012942898	No	
row_17	Ing3	3265	1.4403650760650635	-0.01692485	No	
row_18	Dclre1b	3315	1.4098092317581177	-0.016396744	No	
row_19	Rfc3	3556	1.2772339582443237	-0.025862776	No	
row_20	Phf5a	3600	1.2500834465026855	-0.025371702	No	
row_21	Gspt1	3938	1.0694960355758667	-0.040213987	No	
row_22	Dck	4046	1.017316222190857	-0.043475088	No	
row_23	Ilf3	4611	0.7715418338775635	-0.07049588	No	
row_24	Asf1a	4965	0.629999041557312	-0.0870928	No	
row_25	Myc	4999	0.6193589568138123	-0.08744408	No	
row_26	Mre11a	5229	0.5354653596878052	-0.09793944	No	
row_27	Rpa1	5305	0.5113770365715027	-0.100657195	No	
row_28	Xrcc6	5515	0.4449217617511749	-0.11032968	No	
row_29	Hus1	5546	0.43637460470199585	-0.11092032	No	
row_30	Dek	5556	0.43419361114501953	-0.11044801	No	
row_31	Nbn	5817	0.3470030128955841	-0.12292298	No	
row_32	Cdc25a	5849	0.33672502636909485	-0.12377786	No	
row_33	Gins4	6029	0.2829568386077881	-0.13227203	No	
row_34	Eed	6137	0.2501178979873657	-0.13717616	No	
row_35	Wee1	6138	0.24996180832386017	-0.13664085	No	
row_36	Ubr7	6420	0.17076125741004944	-0.15056086	No	
row_37	Usp1	6557	0.13427866995334625	-0.15718737	No	
row_38	Mcm7	6585	0.12297645211219788	-0.15829666	No	
row_39	Ssrp1	6725	0.08004075288772583	-0.16519184	No	
row_40	Chek2	6897	0.0344051830470562	-0.1738116	No	
row_41	Rpa3	7043	-0.004668340552598238	-0.18117324	No	
row_42	Ccp110	7166	-0.034949228167533875	-0.18730073	No	
row_43	Stag1	7271	-0.06296670436859131	-0.19245312	No	
row_44	Smc1a	7482	-0.12062328308820724	-0.20287095	No	
row_45	Ppp1r8	7604	-0.14704479277133942	-0.20870754	No	
row_46	Rfc1	8168	-0.2766784131526947	-0.23673728	No	
row_47	Prkdc	8220	-0.2898431420326233	-0.23870935	No	
row_48	Slbp	8600	-0.3702827990055084	-0.25718427	No	
row_49	Ak2	8649	-0.3786672353744507	-0.2588136	No	
row_50	Mlh1	8886	-0.42743155360221863	-0.26989618	No	
row_51	Cit	8891	-0.4288433790206909	-0.26918116	No	
row_52	Pan2	9046	-0.45423975586891174	-0.27603754	No	
row_53	Brms1l	9326	-0.49594229459762573	-0.28915948	No	
row_54	Nme1	9415	-0.5116090178489685	-0.29253766	No	
row_55	Ccne1	9486	-0.5213907957077026	-0.29497978	No	
row_56	Cnot9	9495	-0.522335946559906	-0.29426786	No	
row_57	Anp32e	9656	-0.5511189103126526	-0.30122182	No	
row_58	Zw10	9685	-0.5555300116539001	-0.3014556	No	
row_59	Hmga1b	9796	-0.5733864903450012	-0.30581993	No	
row_60	Espl1	10065	-0.6198809146881104	-0.3181172	No	
row_61	Orc2	10175	-0.6368108987808228	-0.32229486	No	
row_62	Donson	10530	-0.692579448223114	-0.3388086	No	
row_63	Orc6	10791	-0.7310842275619507	-0.35046104	No	
row_64	Ncapd2	11167	-0.7881202697753906	-0.3678378	No	
row_65	Rfc2	11230	-0.7973165512084961	-0.36928228	No	
row_66	Tk1	11491	-0.8397778868675232	-0.38070193	No	
row_67	Rpa2	11813	-0.890704870223999	-0.39511368	No	
row_68	Ipo7	12061	-0.9308898448944092	-0.40567732	No	
row_69	Tipin	12198	-0.9542607665061951	-0.4105478	No	
row_70	Lbr	12393	-0.988402783870697	-0.41829377	No	
row_71	Syncrip	12583	-1.018007755279541	-0.42572218	No	
row_72	Dctpp1	12760	-1.0512977838516235	-0.43241838	No	
row_73	Tcf19	12809	-1.0610065460205078	-0.43258643	No	
row_74	Mcm4	12839	-1.0680584907531738	-0.43177342	No	
row_75	Pcna	13087	-1.1183756589889526	-0.44193554	No	
row_76	Pa2g4	13212	-1.140965223312378	-0.4457961	No	
row_77	Mxd3	13316	-1.1611047983169556	-0.4485459	No	
row_78	Paics	13462	-1.1852588653564453	-0.4533792	No	
