NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2b	21	15.059995651245117	0.033569634	Yes	
row_1	Alas1	48	12.063594818115234	0.05999452	Yes	
row_2	Btg2	91	10.620702743530273	0.0822894	Yes	
row_3	Cltb	122	9.895211219787598	0.103524536	Yes	
row_4	Slc6a8	123	9.847137451171875	0.12617095	Yes	
row_5	Tmbim6	130	9.67889404296875	0.14812607	Yes	
row_6	Ephx1	137	9.483402252197266	0.16963159	Yes	
row_7	Cdo1	199	8.535932540893555	0.18616809	Yes	
row_8	Mark2	207	8.44740104675293	0.2052403	Yes	
row_9	Fos	216	8.372649192810059	0.22408986	Yes	
row_10	Creg1	221	8.280342102050781	0.24293005	Yes	
row_11	Tchh	224	8.246613502502441	0.26179412	Yes	
row_12	Btg1	337	6.917322635650635	0.27202103	Yes	
row_13	Aldoa	429	6.2231364250183105	0.28171673	Yes	
row_14	Tst	517	5.7203850746154785	0.29045913	Yes	
row_15	Cdkn1c	529	5.6762261390686035	0.30295527	Yes	
row_16	Grina	569	5.484491348266602	0.3135901	Yes	
row_17	Prkcd	587	5.39599084854126	0.3251374	Yes	
row_18	Dnajb1	591	5.378468990325928	0.3373546	Yes	
row_19	Atf3	750	4.794809341430664	0.34036666	Yes	
row_20	Sod2	761	4.763963222503662	0.35081553	Yes	
row_21	Aqp3	863	4.49042272567749	0.35601908	Yes	
row_22	Polr2h	1080	4.000191688537598	0.35426146	Yes	
row_23	Eif5	1085	3.9943909645080566	0.36324483	Yes	
row_24	Atp6v1f	1118	3.9456167221069336	0.37069565	Yes	
row_25	Cyb5b	1176	3.8116023540496826	0.37657008	Yes	
row_26	Dnaja1	1196	3.7560617923736572	0.3842444	Yes	
row_27	Fosb	1237	3.6980834007263184	0.39072013	Yes	
row_28	Pdlim3	1400	3.415470600128174	0.3903571	Yes	
row_29	Tyro3	1414	3.3979289531707764	0.3975122	Yes	
row_30	Junb	1429	3.3652288913726807	0.40454134	Yes	
row_31	Ppt1	1469	3.3062756061553955	0.4101667	Yes	
row_32	Psmc3	1509	3.257047653198242	0.41567886	Yes	
row_33	Fkbp4	1513	3.2521417140960693	0.42300594	Yes	
row_34	Hyal2	1693	2.9664478302001953	0.42074788	Yes	
row_35	Tap1	1804	2.800917148590088	0.42160934	Yes	
row_36	Ccnd3	1813	2.7859482765197754	0.4276106	Yes	
row_37	Cdc34	2013	2.5379886627197266	0.42335263	Yes	
row_38	Cebpg	2227	2.2905936241149902	0.41781545	Yes	
row_39	Nr4a1	2302	2.201700448989868	0.41912505	Yes	
row_40	Bcl2l11	2311	2.1904098987579346	0.42375672	Yes	
row_41	Ykt6	2431	2.0691657066345215	0.42247877	Yes	
row_42	Bsg	2439	2.059041738510132	0.42685905	Yes	
row_43	Sqstm1	2446	2.0522608757019043	0.43127444	Yes	
row_44	Urod	2645	1.8802815675735474	0.4255546	No	
row_45	Nat2	2676	1.8604856729507446	0.4283115	No	
row_46	Furin	2842	1.7251609563827515	0.4239089	No	
row_47	Grpel1	2922	1.669650673866272	0.42374125	No	
row_48	Sigmar1	3038	1.5845917463302612	0.42155176	No	
row_49	Acaa1a	3065	1.562483787536621	0.42382625	No	
row_50	Tfrc	3125	1.5300151109695435	0.42435202	No	
row_51	Stard3	3281	1.4292783737182617	0.41977623	No	
row_52	Rasgrp1	3295	1.419806957244873	0.42238203	No	
row_53	Cdc5l	3332	1.4018299579620361	0.42377976	No	
row_54	Epcam	3368	1.3760968446731567	0.42516902	No	
row_55	Mgat1	3423	1.3459900617599487	0.42552522	No	
row_56	Hnrnpu	3434	1.341117262840271	0.42810223	No	
row_57	Ppat	3597	1.2513903379440308	0.42276224	No	
row_58	Btg3	3620	1.23982834815979	0.42449757	No	
row_59	Rxrb	3642	1.2287752628326416	0.42625824	No	
row_60	Tgfbrap1	3786	1.1495774984359741	0.42164794	No	
row_61	Lyn	4083	0.9919232130050659	0.40891367	No	
row_62	Ppif	4107	0.9828094244003296	0.41000718	No	
row_63	Nxf1	4176	0.9472675323486328	0.4087362	No	
row_64	Bid	4223	0.930415153503418	0.40854248	No	
row_65	Tuba4a	4289	0.9006763696670532	0.40731654	No	
row_66	Prkaca	4865	0.6672469973564148	0.3796825	No	
row_67	Amd1	5107	0.5785075426101685	0.36878753	No	
row_68	Clcn2	5123	0.5755542516708374	0.36935025	No	
row_69	Klhdc3	5248	0.5294633507728577	0.36427766	No	
row_70	Chka	5375	0.49240773916244507	0.3590184	No	
row_71	Dgat1	5414	0.48113277554512024	0.3581972	No	
row_72	Ggh	5607	0.4165203869342804	0.34941536	No	
row_73	Hspa13	5778	0.3608899414539337	0.34162158	No	
row_74	Wiz	5931	0.3149738013744354	0.33463532	No	
row_75	Mrpl23	6413	0.17234718799591064	0.31063154	No	
row_76	Eif2s3x	6494	0.151309996843338	0.30692127	No	
row_77	Rhob	6679	0.09305501729249954	0.29780135	No	
row_78	Maoa	6869	0.04223257675766945	0.2883109	No	
row_79	Ago2	7079	-0.014085333794355392	0.27774113	No	
row_80	Pole3	7092	-0.016729846596717834	0.2771709	No	
row_81	Htr7	7694	-0.17562279105186462	0.24708728	No	
row_82	Ap2s1	7806	-0.20254774391651154	0.2419223	No	
row_83	Rfc4	8298	-0.3061814308166504	0.21771903	No	
row_84	Onecut1	8362	-0.31930333375930786	0.21525751	No	
row_85	Cxcl1	9213	-0.47897496819496155	0.17324029	No	
row_86	Tacr3	9315	-0.49383723735809326	0.1692525	No	
row_87	Ccne1	9486	-0.5213907957077026	0.16182783	No	
row_88	Prpf3	9619	-0.544369101524353	0.1563837	No	
