NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	-0.5260689	-2.3712952	0.0	0.0	0.0	3323	tags=46%, list=17%, signal=54%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	-0.50489885	-2.280706	0.0	0.0	0.0	3323	tags=44%, list=17%, signal=53%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	-0.4678916	-2.1058567	0.0	3.015873E-4	0.001	2734	tags=40%, list=14%, signal=46%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	190	-0.4453781	-2.0074322	0.0	2.2619047E-4	0.001	4429	tags=45%, list=22%, signal=57%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	192	-0.43888462	-1.9779134	0.0	1.8095237E-4	0.001	3460	tags=36%, list=17%, signal=43%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.47320476	-1.7477431	0.0066225166	0.0025047013	0.015	7110	tags=67%, list=36%, signal=104%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	187	-0.38544643	-1.737743	0.0	0.0023407643	0.016	2814	tags=36%, list=14%, signal=41%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	-0.4120942	-1.6566193	0.0	0.004552023	0.034	2376	tags=39%, list=12%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	-0.40414461	-1.6238347	0.0024813896	0.004980654	0.042	2776	tags=32%, list=14%, signal=37%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	110	-0.34378317	-1.4424324	0.01511335	0.029311426	0.257	3253	tags=32%, list=16%, signal=38%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.30568793	-1.3785868	0.008287293	0.046423018	0.398	2999	tags=29%, list=15%, signal=34%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	199	-0.29219043	-1.328044	0.032163743	0.06810679	0.57	2034	tags=22%, list=10%, signal=24%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	-0.29081342	-1.322777	0.027950311	0.06497271	0.586	4163	tags=36%, list=21%, signal=46%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.29347402	-1.3113965	0.02346041	0.06640421	0.616	2358	tags=25%, list=12%, signal=28%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.38357988	-1.2886782	0.11597374	0.07437268	0.686	3125	tags=36%, list=16%, signal=43%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	130	-0.29373333	-1.2648369	0.06318682	0.083956674	0.755	4374	tags=30%, list=22%, signal=38%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.36697578	-1.2293216	0.14945056	0.10438618	0.847	2975	tags=33%, list=15%, signal=39%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	-0.33841342	-1.1679193	0.20417634	0.15656854	0.947	1878	tags=21%, list=9%, signal=23%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	-0.25764787	-1.1586605	0.14534883	0.15919824	0.96	4709	tags=41%, list=24%, signal=53%	
