NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	193	0.634858	2.6414673	0.0	0.0	0.0	3379	tags=56%, list=17%, signal=67%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	198	0.5965753	2.5020728	0.0	0.0	0.0	2147	tags=37%, list=11%, signal=41%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	194	0.4933477	2.0791042	0.0	0.0	0.0	2566	tags=33%, list=13%, signal=38%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	0.49354297	2.035824	0.0	0.0	0.0	2476	tags=35%, list=12%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	197	0.46945184	1.9832054	0.0	0.0	0.0	2732	tags=34%, list=14%, signal=38%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.46404058	1.9432757	0.0	0.0	0.0	3379	tags=42%, list=17%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.4924855	1.8454552	0.0	7.987624E-4	0.006	2431	tags=33%, list=12%, signal=37%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	71	0.49662906	1.822915	0.0	6.9891714E-4	0.006	2218	tags=30%, list=11%, signal=33%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	0.43947577	1.8190497	0.0	7.400337E-4	0.007	2010	tags=33%, list=10%, signal=37%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	156	0.43127444	1.7531457	0.0	0.0019095863	0.02	2446	tags=28%, list=12%, signal=32%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	102	0.46071947	1.7394336	0.0016611295	0.0020396654	0.023	2046	tags=25%, list=10%, signal=27%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	0.5570726	1.7175938	0.0074487897	0.0029112874	0.035	1229	tags=28%, list=6%, signal=30%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	111	0.43226805	1.6829242	0.0	0.0034689147	0.045	2882	tags=29%, list=15%, signal=34%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	198	0.39709416	1.6608359	0.0	0.0037284265	0.052	1983	tags=22%, list=10%, signal=24%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	195	0.39543143	1.6450161	0.0	0.0041474574	0.061	2410	tags=28%, list=12%, signal=31%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	187	0.3854093	1.5802592	0.0030075188	0.0083603095	0.126	3521	tags=35%, list=18%, signal=42%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.37337112	1.5509751	0.0	0.011435797	0.178	2687	tags=27%, list=14%, signal=31%	
