NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ccno	3	25.263513565063477	0.050373442	Yes	
row_1	Cetn2	37	18.184354782104492	0.08506776	Yes	
row_2	Nelfe	87	14.954174041748047	0.11249058	Yes	
row_3	Gtf2b	267	11.022736549377441	0.12545879	Yes	
row_4	Upf3b	285	10.824447631835938	0.14624505	Yes	
row_5	Arl6ip1	315	10.491189002990723	0.1657563	Yes	
row_6	Rae1	317	10.481222152709961	0.18666743	Yes	
row_7	Ssrp1	320	10.44072437286377	0.20744686	Yes	
row_8	Nudt21	382	9.884427070617676	0.22412199	Yes	
row_9	Usp11	505	8.960447311401367	0.23585607	Yes	
row_10	Supt4a	770	7.457269668579102	0.23738344	Yes	
row_11	Clp1	784	7.396394729614258	0.2515166	Yes	
row_12	Bcap31	838	7.182735919952393	0.26319417	Yes	
row_13	Alyref	894	7.019982814788818	0.27444482	Yes	
row_14	Gtf2a2	901	7.001254081726074	0.28814268	Yes	
row_15	Sdcbp	936	6.859016418457031	0.30013627	Yes	
row_16	Polr2c	1010	6.606051921844482	0.30964634	Yes	
row_17	Dad1	1062	6.473198890686035	0.32000628	Yes	
row_18	Gtf2f1	1087	6.3927130699157715	0.33157438	Yes	
row_19	Polr2g	1178	6.0969672203063965	0.33920428	Yes	
row_20	Taf10	1220	5.959184169769287	0.3490433	Yes	
row_21	Taf9	1236	5.932482719421387	0.36014733	Yes	
row_22	Polr1h	1263	5.866430282592773	0.37056145	Yes	
row_23	Polr2j	1317	5.710785388946533	0.3792952	Yes	
row_24	Polr2i	1380	5.551377296447754	0.3872538	Yes	
row_25	Ddb1	1410	5.4946465492248535	0.39677224	Yes	
row_26	Lig1	1420	5.461337566375732	0.40723825	Yes	
row_27	Gmpr2	1436	5.416329860687256	0.41730997	Yes	
row_28	Nelfcd	1452	5.388702869415283	0.42732647	Yes	
row_29	Rfc2	1647	4.958528518676758	0.42740598	Yes	
row_30	Gpx4	1657	4.9485979080200195	0.43684655	Yes	
row_31	Polh	1664	4.926634788513184	0.44639528	Yes	
row_32	Polr1c	1681	4.887613296508789	0.4553589	Yes	
row_33	Mrpl40	1685	4.885453701019287	0.4649774	Yes	
row_34	Sac3d1	1722	4.825598239898682	0.47280285	Yes	
row_35	Aaas	1730	4.808362007141113	0.48206437	Yes	
row_36	Ak1	1761	4.748496055603027	0.49003986	Yes	
row_37	Srsf6	1797	4.675785541534424	0.4976164	Yes	
row_38	Rad52	1804	4.66295862197876	0.5066378	Yes	
row_39	Smad5	1849	4.5779290199279785	0.51356226	Yes	
row_40	Polr2k	2118	4.117358684539795	0.5082072	Yes	
row_41	Nt5c3	2155	4.054105281829834	0.5144897	Yes	
row_42	Cmpk2	2215	3.9677937030792236	0.5194333	Yes	
row_43	Rev3l	2259	3.9017751216888428	0.52505624	Yes	
row_44	Rfc5	2283	3.858410596847534	0.53160655	Yes	
row_45	Tarbp2	2373	3.7463414669036865	0.5345861	Yes	
row_46	Rpa3	2396	3.6971888542175293	0.54086465	Yes	
row_47	Polr2f	2399	3.6925220489501953	0.5481481	Yes	
row_48	Hprt1	2401	3.69069766998291	0.5554786	Yes	
row_49	Gtf2h5	2406	3.6817755699157715	0.56263906	Yes	
row_50	Sf3a3	2422	3.6585934162139893	0.56919545	Yes	
row_51	Cda	2538	3.510138988494873	0.57038414	Yes	
row_52	Cox17	2573	3.466115951538086	0.5755921	Yes	
row_53	Ncbp2	2579	3.461398124694824	0.5822612	Yes	
row_54	Pola2	2645	3.372671127319336	0.58571035	Yes	
row_55	Taf6	2757	3.2313597202301025	0.5865444	Yes	
row_56	Polr2e	2831	3.136218309402466	0.58911496	Yes	
row_57	Poll	2935	3.037055730819702	0.58996606	Yes	
row_58	Fen1	3041	2.9247615337371826	0.5904911	Yes	
row_59	Supt5	3074	2.8820691108703613	0.5946325	Yes	
row_60	Rad51	3127	2.830775260925293	0.5976571	Yes	
