NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Uqcrq	344	10.22961139678955	0.0021138808	Yes	
row_1	Idh3g	358	10.135173797607422	0.020869372	Yes	
row_2	Suclg1	381	9.889275550842285	0.03869638	Yes	
row_3	Vdac2	436	9.48141860961914	0.054115698	Yes	
row_4	Idh3a	512	8.866460800170898	0.067289636	Yes	
row_5	Timm13	633	8.171526908874512	0.07684523	Yes	
row_6	Ndufb5	720	7.717850685119629	0.08725969	Yes	
row_7	Mdh2	828	7.2225213050842285	0.095657945	Yes	
row_8	Mrps22	884	7.040256023406982	0.10634985	Yes	
row_9	Sdhd	899	7.00333833694458	0.11905479	Yes	
row_10	Etfa	975	6.71772575378418	0.12811235	Yes	
row_11	Ndufab1	989	6.64475679397583	0.14018115	Yes	
row_12	Nqo2	1001	6.623364448547363	0.15231064	Yes	
row_13	Atp5mc1	1061	6.480939865112305	0.16172776	Yes	
row_14	Immt	1181	6.093672752380371	0.16735357	Yes	
row_15	Tomm22	1265	5.859207630157471	0.17435986	Yes	
row_16	Aco2	1275	5.807483196258545	0.18502799	Yes	
row_17	Ndufs6	1392	5.527536392211914	0.1897217	Yes	
row_18	Pdhb	1464	5.360156059265137	0.19638182	Yes	
row_19	Atp6v1d	1491	5.306154251098633	0.20522554	Yes	
row_20	Cox7a2	1539	5.177918910980225	0.2127563	Yes	
row_21	Vdac3	1587	5.074496746063232	0.22008894	Yes	
row_22	Cox7c	1598	5.0476250648498535	0.22925057	Yes	
row_23	Timm10	1613	5.02701473236084	0.23816942	Yes	
row_24	Casp7	1621	5.012643337249756	0.2474165	Yes	
row_25	Ndufb3	1643	4.964483737945557	0.2558598	Yes	
row_26	Gpx4	1657	4.9485979080200195	0.26467922	Yes	
row_27	Ndufa1	1670	4.9193596839904785	0.27349347	Yes	
row_28	Hspa9	1723	4.823912143707275	0.28009194	Yes	
row_29	Sucla2	1758	4.752945423126221	0.2874693	Yes	
row_30	Ndufa2	1820	4.641989231109619	0.29326183	Yes	
row_31	Uqcr11	1832	4.61478853225708	0.30154344	Yes	
row_32	Uqcrfs1	1835	4.606220722198486	0.31026605	Yes	
row_33	Ndufa4	1847	4.586302757263184	0.31849307	Yes	
row_34	Ndufc1	1856	4.566847801208496	0.3268353	Yes	
row_35	Mrpl11	1861	4.5561604499816895	0.33536035	Yes	
row_36	Hccs	1904	4.483377933502197	0.3418147	Yes	
row_37	Cox6c	1905	4.482549667358398	0.350402	Yes	
row_38	Cox5b	1931	4.421867847442627	0.3576025	Yes	
row_39	Atp5pf	1974	4.368524074554443	0.36383682	Yes	
row_40	Timm8b	2013	4.287386894226074	0.37011898	Yes	
row_41	Lrpprc	2017	4.282822132110596	0.3781712	Yes	
row_42	Uqcrc2	2105	4.1332621574401855	0.38166776	Yes	
