NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Top2a	42	17.765827178955078	0.070931084	Yes	
row_1	Pex13	227	11.456331253051758	0.10873286	Yes	
row_2	Cadm1	345	10.218855857849121	0.14483543	Yes	
row_3	Pabpc1	591	8.37463092803955	0.16687882	Yes	
row_4	Hras	599	8.347060203552246	0.2008491	Yes	
row_5	Rdh11	744	7.5787224769592285	0.22472912	Yes	
row_6	Slc27a2	1197	6.049559116363525	0.22673945	Yes	
row_7	Cdk7	1427	5.452569961547852	0.23757629	Yes	
row_8	Crat	1754	4.757977485656738	0.2406497	Yes	
row_9	Prdx1	1921	4.448170185089111	0.25054345	Yes	
row_10	Bcl10	1997	4.321426868438721	0.2645196	Yes	
row_11	Siah1a	2095	4.152126312255859	0.27668664	Yes	
row_12	Smarcc1	2241	3.9316771030426025	0.28551885	Yes	
row_13	Dhrs3	2420	3.6614890098571777	0.29157054	Yes	
row_14	Fis1	2452	3.6141600608825684	0.30486426	Yes	
row_15	Ywhah	2473	3.5905752182006836	0.3186175	Yes	
row_16	Pex5	2625	3.395226001739502	0.32494017	Yes	
row_17	Retsat	2747	3.244502544403076	0.33216077	Yes	
row_18	Gnpat	2852	3.116743564605713	0.33971602	Yes	
row_19	Sod1	2992	2.972184419631958	0.34490618	Yes	
row_20	Sod2	3011	2.949399948120117	0.35612395	Yes	
row_21	Pex2	3291	2.648603916168213	0.35290098	Yes	
row_22	Dlg4	3405	2.547114610671997	0.35765854	Yes	
row_23	Slc25a19	3571	2.3931291103363037	0.3591522	Yes	
row_24	Elovl5	3651	2.319101572036743	0.36469215	Yes	
row_25	Crabp1	3652	2.3184707164764404	0.37422606	Yes	
row_26	Cln6	3779	2.2071449756622314	0.3769279	Yes	
row_27	Ercc1	4251	1.855054497718811	0.3607286	No	
row_28	Ercc3	4363	1.789799451828003	0.3624731	No	
row_29	Lonp2	4706	1.5787115097045898	0.35166347	No	
row_30	Pex11b	4752	1.5514386892318726	0.35576668	No	
row_31	Slc25a17	4862	1.4886938333511353	0.3563742	No	
row_32	Aldh9a1	4890	1.4701907634735107	0.36105394	No	
row_33	Pex14	5134	1.3460441827774048	0.35429585	No	
row_34	Ech1	5174	1.3252856731414795	0.35777265	No	
row_35	Atxn1	5179	1.3218786716461182	0.36300606	No	
row_36	Abcc8	5501	1.1786415576934814	0.35161364	No	
row_37	Pex11a	5591	1.146125316619873	0.35182422	No	
row_38	Fabp6	5667	1.1178597211837769	0.35262683	No	
row_39	Esr2	5950	1.0164111852645874	0.3425403	No	
row_40	Sema3c	6276	0.9084803462028503	0.32983455	No	
row_41	Fads1	6440	0.8558673858642578	0.32510793	No	
row_42	Cel	6469	0.8480951189994812	0.32717893	No	
row_43	Slc25a4	6633	0.796678900718689	0.32220894	No	
row_44	Itgb1bp1	6684	0.7794724702835083	0.32288477	No	
row_45	Abcb9	6717	0.7710304856300354	0.32443652	No	
row_46	Abcb4	6774	0.7572959661483765	0.32471764	No	
row_47	Abcd1	6867	0.7322076559066772	0.32307437	No	
row_48	Ttr	7088	0.6775393486022949	0.31473085	No	
row_49	Cat	7110	0.6714024543762207	0.31642938	No	
row_50	Hao2	7221	0.6453216075897217	0.31351823	No	
row_51	Nr1i2	7444	0.5844407081604004	0.3046907	No	
row_52	Abcd2	7455	0.581644594669342	0.3065766	No	
row_53	Acot8	8279	0.38247787952423096	0.26651436	No	
row_54	Ctps1	8567	0.3034971356391907	0.25324324	No	
row_55	Aldh1a1	8705	0.2713193893432617	0.24742821	No	
row_56	Rxrg	9156	0.1610054075717926	0.22532508	No	
row_57	Isoc1	9428	0.09912536293268204	0.21202298	No	
row_58	Ephx2	9891	-0.011125274933874607	0.18869644	No	
row_59	Pex6	9942	-0.02414536476135254	0.18626626	No	
row_60	Hsd17b11	10350	-0.12860870361328125	0.16620524	No	
row_61	Fdps	10535	-0.17153462767601013	0.15760218	No	
row_62	Acaa1a	10876	-0.2289593666791916	0.14134331	No	
row_63	Hsd3b7	10967	-0.24747294187545776	0.13780792	No	
row_64	Serpina6	11085	-0.2626200020313263	0.1329689	No	
row_65	Tspo	12305	-0.42129412293434143	0.073032886	No	
row_66	Hsd11b2	13245	-0.5729132890701294	0.027885381	No	
row_67	Alb	13864	-0.676068127155304	-5.987497E-4	No	
row_68	Gstk1	13929	-0.6893206834793091	-0.0010018755	No	
row_69	Abcd3	14114	-0.7272514700889587	-0.007319748	No	
row_70	Hsd17b4	14535	-0.8167217969894409	-0.025208794	No	
row_71	Prdx5	14642	-0.8467079401016235	-0.027089473	No	
row_72	Idi1	15079	-0.9592360258102417	-0.04520191	No	
row_73	Vps4b	15124	-0.9732487201690674	-0.04342569	No	
row_74	Cnbp	15244	-1.0058948993682861	-0.045309428	No	
row_75	Mvp	15263	-1.0107336044311523	-0.042063743	No	
row_76	Abcc5	15472	-1.0683791637420654	-0.04819299	No	
row_77	Mlycd	15558	-1.0943195819854736	-0.047993075	No	
row_78	Slc23a2	15609	-1.1063205003738403	-0.04597318	No	
row_79	Ehhadh	15739	-1.1476489305496216	-0.0477799	No	
row_80	Slc35b2	15891	-1.1955280303955078	-0.050502695	No	
row_81	Acsl5	15895	-1.1961250305175781	-0.04573581	No	
row_82	Cln8	16109	-1.2742829322814941	-0.051271297	No	
row_83	Crabp2	16247	-1.3250737190246582	-0.05275313	No	
row_84	Abcb1a	16549	-1.451026201248169	-0.062013686	No	
row_85	Cacna1b	16704	-1.5217552185058594	-0.063546754	No	
row_86	Ide	17295	-1.8226209878921509	-0.08589958	No	
row_87	Ctbp1	17382	-1.8688064813613892	-0.08256544	No	
row_88	Scgb1a1	17610	-2.0216712951660156	-0.0857358	No	
row_89	Msh2	17712	-2.0823302268981934	-0.08228246	No	
row_90	Eci2	18035	-2.3160338401794434	-0.08904835	No	
row_91	Sult2b1	18403	-2.6183972358703613	-0.096847385	No	
row_92	Acsl1	18517	-2.7055556774139404	-0.09143832	No	
row_93	Scp2	19069	-3.437520742416382	-0.10517744	No	
row_94	Hmgcl	19151	-3.612013101577759	-0.09442202	No	
row_95	Idh1	19195	-3.704420328140259	-0.081364214	No	
row_96	Acsl4	19274	-3.887223243713379	-0.06932531	No	
row_97	Dio1	19364	-4.145056247711182	-0.056782655	No	
row_98	Acox1	19465	-4.463979721069336	-0.043485012	No	
row_99	Idh2	19602	-5.053574085235596	-0.029584086	No	
row_100	Dhcr24	19609	-5.069356918334961	-0.009041638	No	
row_101	Nudt19	19664	-5.372779846191406	0.0103202425	No	
