NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ets2	299	3.3158624172210693	0.057807572	No	
row_1	Myh9	618	2.395131826400757	0.09441926	No	
row_2	Pml	704	2.2369346618652344	0.13930184	No	
row_3	Adgrg1	1091	1.7127511501312256	0.157486	No	
row_4	Cdk6	1262	1.5662033557891846	0.18333997	No	
row_5	Ldb1	2485	0.8996056318283081	0.14149904	No	
row_6	Rtn1	3794	0.5361717343330383	0.08733353	No	
row_7	Tle3	4171	0.4403578042984009	0.0780544	No	
row_8	Vegfa	6837	-0.10590866208076477	-0.053989705	No	
row_9	Gli1	8445	-0.22364555299282074	-0.13010049	No	
row_10	Tle1	9202	-0.2759224474430084	-0.16215394	No	
row_11	Plg	11052	-0.4118633270263672	-0.24632955	No	
row_12	Nkx6-1	11341	-0.434824138879776	-0.25129324	No	
row_13	Shh	12425	-0.5225335955619812	-0.2944138	No	
row_14	Scg2	13879	-0.6590535640716553	-0.35318938	No	
row_15	Celsr1	14179	-0.6884709596633911	-0.3531325	No	
row_16	Nrp2	15282	-0.8226035833358765	-0.39061543	No	
row_17	Cdk5r1	15794	-0.8944874405860901	-0.39671952	Yes	
row_18	Rasa1	15980	-0.9206284284591675	-0.38581178	Yes	
row_19	Ptch1	16044	-0.930978000164032	-0.36852518	Yes	
row_20	L1cam	16303	-0.9694665670394897	-0.3602247	Yes	
row_21	Crmp1	16430	-0.9910658597946167	-0.3447939	Yes	
row_22	Hey2	16503	-1.0053973197937012	-0.32632533	Yes	
row_23	Ophn1	16770	-1.0503987073898315	-0.3166493	Yes	
row_24	Vldlr	17330	-1.167603850364685	-0.31917042	Yes	
row_25	Slit1	18080	-1.357657551765442	-0.3270941	Yes	
row_26	Hey1	18115	-1.3688181638717651	-0.2987215	Yes	
row_27	Nrp1	18315	-1.4327677488327026	-0.2772627	Yes	
row_28	Cntfr	18335	-1.4379754066467285	-0.24661364	Yes	
row_29	Thy1	18373	-1.4508991241455078	-0.21658811	Yes	
row_30	Nf1	18480	-1.491178274154663	-0.18915628	Yes	
row_31	Unc5c	18782	-1.6247988939285278	-0.16861953	Yes	
row_32	Amot	18884	-1.6801050901412964	-0.13678293	Yes	
row_33	Nrcam	18920	-1.7059922218322754	-0.10104955	Yes	
row_34	Dpysl2	19566	-2.4381840229034424	-0.07997923	Yes	
row_35	Ache	19844	-4.329172134399414	0.0012103915	Yes	
