NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mpzl2	40	6.082287788391113	0.02250844	No	
row_1	Psmb8	65	5.395118236541748	0.043057546	No	
row_2	Ano1	81	5.042421817779541	0.062641054	No	
row_3	Jup	139	4.305603504180908	0.0771164	No	
row_4	Plau	161	4.082686424255371	0.09252238	No	
row_5	Plek2	186	3.898479700088501	0.10703259	No	
row_6	F2rl1	220	3.6749563217163086	0.120183356	No	
row_7	Emp1	253	3.4849910736083984	0.13261846	No	
row_8	Itga2	273	3.423021078109741	0.14546438	No	
row_9	Ets1	277	3.386854887008667	0.15897775	No	
row_10	Mall	289	3.3481600284576416	0.1719283	No	
row_11	Klf4	315	3.2294986248016357	0.18368834	No	
row_12	Cpe	319	3.217041254043579	0.19651651	No	
row_13	Hbegf	492	2.6669132709503174	0.19853362	No	
row_14	Tor1aip2	674	2.2984230518341064	0.19860634	No	
row_15	Trib1	901	1.925066351890564	0.19488494	No	
row_16	Gprc5b	907	1.9184414148330688	0.20237163	No	
row_17	Angptl4	1045	1.7524620294570923	0.2024782	No	
row_18	Igfbp3	1087	1.7176074981689453	0.20732443	No	
row_19	Adam8	1466	1.4288495779037476	0.19387369	No	
row_20	Sox9	1529	1.3833423852920532	0.1963036	No	
row_21	Lif	1572	1.3589149713516235	0.19965167	No	
row_22	Eng	1714	1.2668148279190063	0.19759533	No	
row_23	Fbxo4	1780	1.2332042455673218	0.19926691	No	
row_24	Cfh	1805	1.2213433980941772	0.20297495	No	
row_25	Tnfaip3	1813	1.2166169881820679	0.2075281	No	
row_26	Galnt3	1832	1.2050175666809082	0.21147527	No	
row_27	Ammecr1	1835	1.204646110534668	0.21623431	No	
row_28	St6gal1	1927	1.1472434997558594	0.21623732	No	
row_29	Dusp6	2209	1.0107009410858154	0.20603049	No	
row_30	Plaur	2317	0.9628373980522156	0.20447603	No	
row_31	Tnfrsf1b	2541	0.8850842714309692	0.19671084	No	
row_32	Cbl	2591	0.8683080077171326	0.19772346	No	
row_33	Crot	2705	0.8313072919845581	0.19533327	No	
row_34	Fuca1	3076	0.7230026721954346	0.17944115	No	
row_35	Ptbp2	3178	0.6915687918663025	0.17709716	No	
row_36	Glrx	3187	0.6882755756378174	0.17946765	No	
row_37	Lat2	3197	0.6860902905464172	0.18177848	No	
row_38	Akt2	3346	0.6478050947189331	0.17686859	No	
row_39	Pecam1	3362	0.6431419849395752	0.17870112	No	
row_40	Ccnd2	3441	0.619608998298645	0.17723599	No	
row_41	Gpnmb	3473	0.6094052195549011	0.178119	No	
row_42	Vwa5a	3613	0.5758970379829407	0.1733765	No	
row_43	Zfp639	3826	0.5264118313789368	0.16472326	No	
row_44	Inhba	3927	0.5031191110610962	0.16166972	No	
row_45	Ly96	3943	0.4985683262348175	0.16291888	No	
row_46	Evi5	3978	0.4872846305370331	0.16315663	No	
row_47	Tmem176a	4126	0.45050477981567383	0.15750147	No	
row_48	Il1rl2	4448	0.3824433386325836	0.1427262	No	
row_49	Ppbp	4524	0.36498159170150757	0.14038616	No	
row_50	Wnt7a	4601	0.3490246534347534	0.13793091	No	
row_51	Map3k1	4721	0.3231102228164673	0.13318515	No	
row_52	Adam17	4798	0.3061545193195343	0.13055691	No	
row_53	Atg10	4909	0.28293389081954956	0.12610656	No	
row_54	Il33	4918	0.2805214524269104	0.12683177	No	
row_55	Map7	4932	0.27856236696243286	0.12729488	No	
row_56	Cbr4	5308	0.20476976037025452	0.10905753	No	
row_57	Ptcd2	5364	0.1921132206916809	0.10703671	No	
row_58	Cdadc1	5765	0.10678191483020782	0.08713307	No	
row_59	Strn	6078	0.04362209513783455	0.07144817	No	
row_60	Ctss	6156	0.025289233773946762	0.06763582	No	
row_61	Usp12	6163	0.024226190522313118	0.06742855	No	
row_62	Rbm4	6269	-8.052483317442238E-4	0.062093996	No	
row_63	Aldh1a3	6292	-0.003726111026480794	0.060990635	No	
row_64	Gypc	6321	-0.011257761158049107	0.059612643	No	
row_65	Dnmbp	6354	-0.018686702474951744	0.058061283	No	
row_66	Btbd3	6587	-0.061006251722574234	0.04651343	No	
row_67	Ptprr	7023	-0.12401822954416275	0.02490007	No	
row_68	Fgf9	7678	-0.1735730767250061	-0.0076464787	No	
row_69	Adgrl4	7712	-0.17612771689891815	-0.008613404	No	
row_70	Etv5	7892	-0.18771760165691376	-0.016955659	No	
row_71	Pigr	8025	-0.1961253136396408	-0.022874683	No	
row_72	Tlr8	8075	-0.19962680339813232	-0.02456017	No	
row_73	Yrdc	8293	-0.21373869478702545	-0.03472921	No	
row_74	Etv1	8386	-0.21954959630966187	-0.038520265	No	
row_75	Mmp10	9434	-0.2924629747867584	-0.09056575	No	
row_76	Gabra3	9444	-0.2934221923351288	-0.08983932	No	
row_77	Nr0b2	9948	-0.3283688426017761	-0.114085	No	
row_78	Mtmr10	10231	-0.3498676121234894	-0.12700911	No	
row_79	C3ar1	10302	-0.3556535840034485	-0.1291326	No	
row_80	Hoxd11	10427	-0.36550456285476685	-0.13396148	No	
row_81	Ngf	10445	-0.36683332920074463	-0.13334554	No	
row_82	Prrx1	10522	-0.3720332980155945	-0.13570796	No	
row_83	Adgra2	10765	-0.3909119963645935	-0.14643301	No	
row_84	Clec4a3	10991	-0.40717676281929016	-0.15622821	No	
row_85	Csf2ra	11097	-0.41663533449172974	-0.15988491	No	
row_86	Tmem100	11243	-0.42803144454956055	-0.16552907	No	
row_87	Igf2	11388	-0.4380119740962982	-0.17108212	No	
row_88	Cmklr1	11398	-0.4386221170425415	-0.16976982	No	
row_89	Cd37	11408	-0.43927380442619324	-0.16845489	No	
row_90	Nr1h4	11614	-0.45520710945129395	-0.17703956	No	
row_91	Tspan7	11877	-0.477878600358963	-0.18843044	No	
row_92	Ereg	12433	-0.5231577754020691	-0.21453363	No	
row_93	Gng11	12558	-0.5349294543266296	-0.2186789	No	
row_94	Mmp11	12570	-0.5358871817588806	-0.21707581	No	
row_95	Adamdec1	12601	-0.5389935374259949	-0.21642607	No	
row_96	Pcsk1n	12625	-0.540562629699707	-0.21541414	No	
row_97	Spon1	12644	-0.5426996350288391	-0.21413942	No	
row_98	Nap1l2	12672	-0.544823169708252	-0.21331364	No	
row_99	Rbp4	12831	-0.5597298741340637	-0.21908727	No	
row_100	Flt4	12956	-0.5713315010070801	-0.22308567	No	
row_101	Prdm1	13007	-0.5755694508552551	-0.22330506	No	
row_102	Il1b	13171	-0.5918294787406921	-0.22920336	No	
row_103	Sparcl1	13403	-0.6133493185043335	-0.23847169	No	
row_104	Hkdc1	13536	-0.6252136826515198	-0.24265935	No	
row_105	Scg3	13610	-0.6333667635917664	-0.24381478	No	
row_106	Mycn	13892	-0.6603171825408936	-0.2554354	No	
row_107	Itgb2	14038	-0.6752520203590393	-0.26008204	No	
row_108	Map4k1	14069	-0.6789140701293945	-0.2588677	No	
row_109	Scn1b	14081	-0.6802781224250793	-0.256682	No	
row_110	Ace	14455	-0.7204670310020447	-0.27273688	No	
row_111	Aldh1a2	14665	-0.7446095943450928	-0.28035715	No	
row_112	Snap25	14668	-0.7449160814285278	-0.27745312	No	
row_113	Ero1a	14806	-0.762817919254303	-0.28133973	No	
row_114	Kif5c	14832	-0.7657078504562378	-0.27952102	No	
row_115	Zfp277	14971	-0.7825531959533691	-0.28337884	No	
row_116	Tmem176b	15034	-0.7910062074661255	-0.283339	No	
row_117	H2bc3	15170	-0.808351993560791	-0.28694022	No	
row_118	Gucy1a1	15183	-0.8098015189170837	-0.2842827	No	
row_119	Trib2	15357	-0.8336830735206604	-0.2897135	No	
row_120	Wdr33	15463	-0.8473770618438721	-0.29163215	No	
row_121	Gfpt2	15648	-0.872928261756897	-0.29746377	No	
row_122	Retn	15725	-0.8858128190040588	-0.2977531	No	
row_123	Etv4	15759	-0.8903636932373047	-0.2958381	No	
row_124	Prkg2	15831	-0.8998550176620483	-0.29581657	No	
row_125	Slpi	15985	-0.9212871193885803	-0.29987717	No	
row_126	Dcbld2	16021	-0.9267711639404297	-0.29791692	No	
row_127	Cxcr4	16235	-0.9586607813835144	-0.30487686	No	
row_128	Itgbl1	16238	-0.9590804576873779	-0.3011087	No	
row_129	Plvap	16240	-0.9596461653709412	-0.29728737	No	
row_130	Ephb2	16419	-0.9895879626274109	-0.30234325	No	
row_131	Cidea	16500	-1.0051621198654175	-0.30235434	No	
row_132	F13a1	16612	-1.0239839553833008	-0.30386543	No	
row_133	Kcnn4	16625	-1.0248744487762451	-0.30034012	No	
row_134	Cfb	16707	-1.0400006771087646	-0.30026147	No	
row_135	Reln	16715	-1.0412839651107788	-0.29641578	No	
row_136	Spp1	16819	-1.05988609790802	-0.2973753	No	
row_137	Cab39l	16883	-1.0707511901855469	-0.29625753	No	
row_138	Csf2	16988	-1.0944031476974487	-0.2971286	No	
row_139	Hsd11b1	17068	-1.1098469495773315	-0.29666644	No	
row_140	Arg1	17097	-1.1163798570632935	-0.2935853	No	
row_141	Bpgm	17154	-1.1271251440048218	-0.2918842	No	
row_142	Tfpi	17475	-1.1973118782043457	-0.30332068	No	
row_143	Il2rg	17544	-1.2166777849197388	-0.3018683	No	
row_144	Il7r	17810	-1.2823693752288818	-0.31016555	Yes	
row_145	Abcb1a	17828	-1.2870149612426758	-0.3058367	Yes	
row_146	Tmem158	17842	-1.2911278009414673	-0.3012879	Yes	
row_147	Rgs16	17900	-1.3054678440093994	-0.29891804	Yes	
row_148	Car2	17966	-1.3224962949752808	-0.29688615	Yes	
row_149	Mmd	18038	-1.3449121713638306	-0.29506883	Yes	
row_150	Tph1	18106	-1.366227626800537	-0.29296216	Yes	
row_151	Cbx8	18179	-1.388117790222168	-0.29102135	Yes	
row_152	Il10ra	18218	-1.4012504816055298	-0.28729913	Yes	
row_153	Nrp1	18315	-1.4327677488327026	-0.28639823	Yes	
row_154	G0s2	18345	-1.4424084424972534	-0.2820524	Yes	
row_155	Id2	18351	-1.4447081089019775	-0.2764772	Yes	
row_156	Tnnt2	18379	-1.4530950784683228	-0.27198657	Yes	
row_157	Bmp2	18431	-1.4735945463180542	-0.2686333	Yes	
row_158	Satb1	18459	-1.4823319911956787	-0.2640247	Yes	
row_159	Avl9	18483	-1.4919302463531494	-0.25917405	Yes	
row_160	Anxa10	18511	-1.5049395561218262	-0.25447422	Yes	
row_161	Tspan1	18541	-1.5154153108596802	-0.2498338	Yes	
row_162	Apod	18547	-1.517486333847046	-0.24396497	Yes	
row_163	Rabgap1l	18560	-1.524584412574768	-0.23842335	Yes	
row_164	Mmp9	18586	-1.5411736965179443	-0.23347564	Yes	
row_165	Pdcd1lg2	18631	-1.556810736656189	-0.22943075	Yes	
row_166	Hdac9	18670	-1.5724846124649048	-0.22501759	Yes	
row_167	Ccl20	18789	-1.6287498474121094	-0.2244443	Yes	
row_168	Nin	18811	-1.6414036750793457	-0.21888883	Yes	
row_169	Plat	18831	-1.6520570516586304	-0.21318871	Yes	
row_170	Ush1c	18868	-1.6705281734466553	-0.20827827	Yes	
row_171	Pcp4	18880	-1.678065538406372	-0.20206651	Yes	
row_172	Ppp1r15a	18930	-1.7096728086471558	-0.197659	Yes	
row_173	Peg3	18985	-1.7485922574996948	-0.19334863	Yes	
row_174	Birc3	19036	-1.7853468656539917	-0.18868661	Yes	
row_175	Tspan13	19128	-1.8689385652542114	-0.18577158	Yes	
row_176	Sema3b	19152	-1.8879755735397339	-0.17932288	Yes	
row_177	Cxcl10	19178	-1.9135125875473022	-0.17287281	Yes	
row_178	Btc	19205	-1.9400148391723633	-0.16636664	Yes	
row_179	Ccser2	19229	-1.9572275876998901	-0.15963851	Yes	
row_180	Dock2	19231	-1.9583015441894531	-0.15178764	Yes	
row_181	Sdccag8	19270	-1.999155879020691	-0.14565288	Yes	
row_182	Prelid3b	19305	-2.0435216426849365	-0.13913573	Yes	
row_183	Spry2	19309	-2.047011375427246	-0.13102861	Yes	
row_184	Akap12	19352	-2.0843300819396973	-0.124753505	Yes	
row_185	Fcer1g	19456	-2.207338809967041	-0.12108308	Yes	
row_186	Laptm5	19520	-2.3244049549102783	-0.11490684	Yes	
row_187	Gadd45g	19523	-2.336007595062256	-0.10558278	Yes	
row_188	Epb41l3	19530	-2.3481662273406982	-0.096413	Yes	
row_189	Ank	19556	-2.407233715057373	-0.08797077	Yes	
row_190	Ptgs2	19610	-2.528563976287842	-0.080462396	Yes	
row_191	Snap91	19614	-2.5424211025238037	-0.070356295	Yes	
row_192	Mafb	19702	-2.861544609069824	-0.06323279	Yes	
row_193	Ikzf1	19703	-2.863149881362915	-0.051680043	Yes	
row_194	Traf1	19724	-2.950448513031006	-0.040791776	Yes	
row_195	Scg5	19756	-3.1181743144989014	-0.029785939	Yes	
row_196	Irf8	19840	-4.23613166809082	-0.016912654	Yes	
row_197	Lcp1	19850	-4.531678199768066	9.1503613E-4	Yes	
