NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sfn	7	8.943757057189941	0.081915885	Yes	
row_1	Hras	213	3.7264158725738525	0.105821304	Yes	
row_2	Plcg1	499	2.651451349258423	0.11579079	Yes	
row_3	Cdkn1a	541	2.5535359382629395	0.13720527	Yes	
row_4	Pdk1	715	2.2119836807250977	0.14879914	Yes	
row_5	Egfr	764	2.1210107803344727	0.16588081	Yes	
row_6	Ywhab	779	2.1029510498046875	0.18451667	Yes	
row_7	Stat2	909	1.916167974472046	0.19561572	Yes	
row_8	Actr3	931	1.8983194828033447	0.21201506	Yes	
row_9	Pfn1	1016	1.7838698625564575	0.22417402	Yes	
row_10	Tnfrsf1a	1057	1.7398619651794434	0.23815444	Yes	
row_11	Cfl1	1071	1.732232689857483	0.25343078	Yes	
row_12	Akt1	1073	1.7288862466812134	0.26928353	Yes	
row_13	Slc2a1	1172	1.6301944255828857	0.27932054	Yes	
row_14	Itpr2	1212	1.59819757938385	0.29204842	Yes	
row_15	Atf1	1364	1.4962984323501587	0.29817212	Yes	
row_16	Vav3	1384	1.4834727048873901	0.31085667	Yes	
row_17	Ppp1ca	1386	1.482042908668518	0.32443878	Yes	
row_18	Prkag1	1612	1.33329176902771	0.32531887	Yes	
row_19	Ube2n	1650	1.312322735786438	0.3355183	Yes	
row_20	Tbk1	1696	1.2800970077514648	0.34501654	Yes	
row_21	Ap2m1	2082	1.0643190145492554	0.33532694	Yes	
row_22	Map2k3	2155	1.033345103263855	0.34118927	Yes	
row_23	Grb2	2172	1.0265711545944214	0.34982273	Yes	
row_24	Myd88	2365	0.9446468353271484	0.34879753	Yes	
row_25	Tiam1	2409	0.9270029067993164	0.355149	Yes	
row_26	Raf1	2415	0.925190269947052	0.36340648	Yes	
row_27	Cdk4	2422	0.9229094386100769	0.37159237	Yes	
row_28	Eif4e	2454	0.9096468091011047	0.37839133	Yes	
row_29	Mapkap1	2455	0.9086204171180725	0.3867494	Yes	
row_30	Arf1	2477	0.9003644585609436	0.39396894	Yes	
row_31	Gsk3b	2568	0.8762467503547668	0.39747545	Yes	
row_32	Mapk8	2598	0.8651504516601562	0.4039663	Yes	
row_33	Rac1	2817	0.7957057356834412	0.40025553	No	
row_34	Ptpn11	3081	0.7223793864250183	0.39359337	No	
row_35	Rps6ka1	3268	0.6649097204208374	0.39029858	No	
row_36	Actr2	3386	0.6361014246940613	0.39022997	No	
row_37	Ecsit	3807	0.5323005318641663	0.37387562	No	
row_38	Tsc2	3974	0.48930105566978455	0.36997738	No	
row_39	Nod1	4117	0.45319944620132446	0.36696142	No	
row_40	Ube2d3	4179	0.4385085701942444	0.36790866	No	
row_41	Irak4	4189	0.43689724802970886	0.37147215	No	
row_42	Pitx2	4191	0.43651437759399414	0.37543687	No	
row_43	Smad2	4389	0.39502477645874023	0.36910293	No	
row_44	Acaca	4808	0.3046942353248596	0.3507561	No	
row_45	Ripk1	4910	0.28278639912605286	0.34824705	No	
row_46	Prkar2a	4991	0.27051299810409546	0.34668761	No	
row_47	Lck	5009	0.2650414705276489	0.3482655	No	
row_48	Cab39	5071	0.25208309292793274	0.34749788	No	
row_49	Akt1s1	5170	0.2327958047389984	0.34468076	No	
row_50	Map3k7	5198	0.22776192426681519	0.34540975	No	
row_51	Ddit3	5214	0.22460335493087769	0.34671682	No	
row_52	Cdk2	5438	0.17663876712322235	0.3370585	No	
row_53	Dusp3	5699	0.12099539488554001	0.32501626	No	
row_54	Ralb	5777	0.10434577614068985	0.32208014	No	
row_55	Arhgdia	5999	0.058906346559524536	0.31144005	No	
row_56	Arpc3	6023	0.05406709760427475	0.31077364	No	
row_57	Prkaa2	6178	0.020746707916259766	0.30317253	No	
row_58	Pik3r3	6460	-0.03641227260231972	0.2892897	No	
row_59	Rptor	6619	-0.0660523772239685	0.28190297	No	
