NAME	TITLE	SCORE	
Krt5		13.000402	
Serpinb5		11.263878	
Krt14		10.992117	
Anxa8		10.464503	
Col17a1		10.151104	
Ly6d		9.712618	
Ly6a		9.621037	
Sfn		8.943757	
Pmepa1		8.621751	
Txndc17		8.61377	
Cdkn2a		8.4594755	
Skint3		8.357908	
Tspo		8.044436	
Sdc1		8.0335	
Fxyd3		8.004728	
S100a6		7.9877486	
S100a10		7.9824905	
Anxa2		7.807303	
Htra1		7.782053	
Ifitm3		7.7191987	
Tacstd2		7.484423	
Anxa1		7.3662643	
Jag1		7.3049	
Krt17		7.047381	
Cavin1		6.9876227	
Perp		6.9777894	
S100a11		6.7252316	
Clca3a2		6.720228	
Mfge8		6.6132765	
Cdh3		6.500274	
2200002D01Rik		6.48002	
Fam162a		6.4677916	
Krt7		6.435013	
Ahnak		6.392165	
Bst2		6.3359323	
Capg		6.310393	
Ifitm2		6.2802777	
Arpc2		6.246402	
Ifi202b		6.1571913	
Irf7		6.1058908	
Mpzl2		6.082288	
Tnfrsf12a		6.0184093	
Pdpn		5.93686	
Ctsd		5.909857	
Dusp7		5.884881	
Phlda3		5.8589706	
Hspb1		5.857832	
Isg15		5.7882814	
Pard6g		5.7801733	
App		5.773866	
Clic1		5.7550488	
Itgb4		5.7386484	
Cd44		5.682252	
Tagln2		5.664683	
Pycard		5.6462684	
Cd2ap		5.6401057	
Atp1b3		5.626076	
Zbp1		5.6204085	
Ralbp1		5.59639	
Rtp4		5.5688195	
Sptssa		5.502836	
Pdlim1		5.495539	
Hcfc1r1		5.4468546	
Cxcl16		5.4463944	
Cd276		5.440011	
Psmb8		5.395118	
Plec		5.381801	
Lgals3		5.379589	
Emp2		5.3771977	
Mill1		5.3573837	
Actn4		5.2937026	
Cotl1		5.2833757	
Fcgbp		5.273687	
Ltbp1		5.2693067	
Ppp1r14b		5.201518	
Crim1		5.2009172	
Wnt4		5.1940784	
Cast		5.1227574	
Aopep		5.0916452	
Ces2f		5.091102	
Ccl11		5.085533	
Ano1		5.042422	
Zfp36l1		5.036564	
Egln3		4.994266	
Net1		4.9777923	
Wnt10a		4.9710584	
Ptprf		4.96289	
Trp63		4.9562225	
Tmsb4x		4.9328084	
Lama3		4.8958325	
Nectin1		4.889232	
Itgb1		4.8641925	
Tpm2		4.8571277	
Rpl13		4.853206	
Krt6a		4.851969	
Sema3c		4.845525	
Rin2		4.8209724	
H2-T22		4.814453	
Bbox1		4.7939224	
Lamb3		4.7797804	
Cyb5a		4.7664475	
Rplp1		4.7646356	
Hmgn1		4.737804	
Ybx3		4.72301	
Agrn		4.705719	
Ehd2		4.7000074	
Wnt7b		4.6593313	
Rps18		4.6583486	
Myof		4.6548204	
Wls		4.626736	
Eif4b		4.620939	
Eif6		4.6197543	
Thbs1		4.6013064	
Rps5		4.5824957	
Eif4e3		4.5815535	
Gpx1		4.5743294	
Slc6a8		4.5728903	
Ahr		4.570056	
Ehf		4.552468	
Abracl		4.531891	
Ssbp2		4.5306373	
Myl12a		4.488744	
Rpl30		4.487302	
Gsto1		4.4801807	
Ddx60		4.4766965	
Nxn		4.444276	
Urah		4.4204607	
Mrpl33		4.4037137	
Rab38		4.4033237	
Rps2		4.3994365	
Gcnt2		4.3876166	
Ifi44		4.3679614	
Fuom		4.362121	
Slfn2		4.3532624	
Rps19		4.3515277	
Lama5		4.3426113	
Vamp8		4.3333435	
Ifngr1		4.308461	
Ccl7		4.306658	
Jup		4.3056035	
Rps27		4.293012	
Rps9		4.2915783	
Vangl1		4.286273	
Fth1		4.267769	
Trim29		4.2542696	
Pou3f1		4.228951	
Tgfbi		4.204743	
Rpl19		4.2043486	
Apoe		4.202598	
Rpl22		4.1838098	
Map1lc3a		4.1794806	
Capzb		4.157425	
Prdx1		4.157048	
Hes1		4.147419	
Mif		4.145258	
Rps3		4.1209335	
Gsta4		4.1192093	
Edn1		4.111272	
Ifi204		4.1054935	
Zfp36l2		4.1049924	
Sprr2a3		4.094525	
Plau		4.0826864	
Idh1		4.075154	
Rpsa		4.0744586	
Tns4		4.067927	
Rpl21		4.0662804	
Sertad4		4.0653253	
Tpm4		4.0600953	
Ajuba		4.0400586	
Atp1a1		4.0271683	
Ptgfrn		4.0258846	
Atox1		4.014802	
Klf5		4.0147295	
Rigi		4.0131397	
Siva1		4.0112367	
Irf6		4.011173	
Bhlhe40		3.9814553	
Rps25		3.977307	
Rock2		3.9744074	
Samd9l		3.9600148	
Lmna		3.9419649	
Dst		3.9210038	
Pxdc1		3.920628	
Rpl23		3.9202929	
Phf11d		3.9202478	
Luzp1		3.9051766	
Plek2		3.8984797	
Clic4		3.893992	
Robo2		3.8920884	
Duoxa1		3.8823614	
Rps28		3.8765895	
Myl12b		3.873045	
Rgs12		3.8642716	
Itm2b		3.842389	
Ly6e		3.8397057	
Dsp		3.8296413	
Rps20		3.8221428	
Rpl4		3.8163142	
Rps4x		3.814715	
Rps21		3.7991629	
Rras		3.794156	
Tnip3		3.783793	
Rps15a		3.7822504	
Rpl27a		3.7800987	
Krtcap3		3.777012	
Barx2		3.7646353	
Gclm		3.7597558	
Arf5		3.7596507	
Dnajb1		3.7528927	
Rnd3		3.750593	
Rps11		3.7505584	
Ephx1		3.735018	
Gbp2		3.7349815	
Hras		3.7264159	
Rpl32		3.714138	
Ucp2		3.707098	
Anxa7		3.6997526	
Pde7a		3.6888986	
Oas1a		3.6883023	
Sp100		3.6860776	
F2rl1		3.6749563	
Snrpg		3.6709857	
Rps10		3.670007	
Rpl29		3.655319	
Hk2		3.6522944	
Eef1a1		3.6368873	
Rnase4		3.6351352	
Myl6		3.6312404	
Rack1		3.6298106	
Oas3		3.6293888	
Atp2b1		3.62595	
Fgfbp1		3.6215913	
Jag2		3.6210458	
Pls3		3.608919	
Tpt1		3.6042361	
Clstn1		3.5995476	
Ifi27l2a		3.5957491	
Dag1		3.5884118	
Rpl18a		3.5768485	
Eva1c		3.5748594	
Rab10		3.5721598	
Ifit3		3.5599546	
Mitd1		3.5592158	
Ech1		3.5576913	
Tpm1		3.55545	
Slfn5		3.5473373	
Pdlim5		3.5323153	
Tubb5		3.5297828	
Rpl37a		3.5232754	
Atp5if1		3.5150425	
Gpc1		3.5037682	
Ccl8		3.5033467	
