NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ptpn6	12	21.181781768798828	0.052824724	Yes	
row_1	Abhd2	21	18.272489547729492	0.09851357	Yes	
row_2	Aldh3a2	79	12.519298553466797	0.12719855	Yes	
row_3	Il17rb	80	12.516122817993164	0.15877259	Yes	
row_4	Abca3	152	10.1995210647583	0.18089397	Yes	
row_5	Hspa4l	154	10.175971031188965	0.20651376	Yes	
row_6	Egr3	310	7.631436824798584	0.21788734	Yes	
row_7	Klf4	333	7.459163665771484	0.23558617	Yes	
row_8	Cd44	436	6.73829460144043	0.24740042	Yes	
row_9	Cacna2d2	541	6.1867194175720215	0.25772157	Yes	
row_10	Llgl2	551	6.123630523681641	0.27271202	Yes	
row_11	Bag1	625	5.847325325012207	0.28375262	Yes	
row_12	Car2	658	5.698664665222168	0.29650202	Yes	
row_13	Krt19	726	5.489400863647461	0.30694464	Yes	
row_14	Farp1	753	5.378608703613281	0.3191916	Yes	
row_15	Dnajc1	915	4.975104808807373	0.3235592	Yes	
row_16	Plaat3	929	4.930914878845215	0.33533752	Yes	
row_17	Cox6c	997	4.770391941070557	0.3439663	Yes	
row_18	St6galnac2	1080	4.5816473960876465	0.35135657	Yes	
row_19	Rabep1	1119	4.499446392059326	0.3607758	Yes	
row_20	Lsr	1184	4.38938570022583	0.3685959	Yes	
row_21	Cdh1	1320	4.163833141326904	0.37223837	Yes	
row_22	Gfus	1334	4.145008563995361	0.38203412	Yes	
row_23	Tjp3	1415	4.045351505279541	0.38817313	Yes	
row_24	Eeig1	1600	3.847841262817383	0.38852802	Yes	
row_25	Tspan13	1815	3.6135079860687256	0.38676694	Yes	
row_26	Tob1	1844	3.584782361984253	0.39438704	Yes	
row_27	Myb	2059	3.3626461029052734	0.39199314	Yes	
row_28	Pdcd4	2110	3.3046035766601562	0.39778826	Yes	
row_29	Mocs2	2294	3.153226375579834	0.39644167	Yes	
row_30	Slc22a5	2338	3.1212003231048584	0.40212992	Yes	
row_31	Amfr	2349	3.112917900085449	0.40947452	Yes	
row_32	Nrip1	2445	3.0421485900878906	0.4123204	Yes	
row_33	Plk4	2455	3.036891460418701	0.41952404	Yes	
row_34	Ncor2	2489	3.016052722930908	0.42545527	Yes	
row_35	Elovl5	2622	2.9260525703430176	0.42612773	Yes	
row_36	Dynlt3	2740	2.840211868286133	0.42734602	Yes	
row_37	Rps6ka2	2746	2.8388381004333496	0.43425333	Yes	
row_38	Jak2	2846	2.7732839584350586	0.43621764	Yes	
row_39	Prkar2b	2855	2.7687525749206543	0.4427957	Yes	
row_40	Bcl2	3109	2.622269630432129	0.43655184	Yes	
row_41	Fdft1	3178	2.5764317512512207	0.43959516	Yes	
row_42	Large1	3278	2.5187149047851562	0.44091728	Yes	
row_43	Siah2	3738	2.2900290489196777	0.42336518	Yes	
row_44	Etfb	3779	2.2699427604675293	0.42705846	Yes	
row_45	Car12	3801	2.2615725994110107	0.4316963	Yes	
row_46	Homer2	3967	2.187699317932129	0.42882887	Yes	
row_47	Dcxr	3985	2.179987668991089	0.43346423	Yes	
row_48	Xbp1	4027	2.1581530570983887	0.43682468	Yes	
row_49	Unc13b	4051	2.145379066467285	0.44106776	Yes	
row_50	Btg3	4225	2.0549817085266113	0.4374589	Yes	
row_51	Scnn1a	4298	2.024256706237793	0.43890598	Yes	
row_52	Fos	4536	1.9305994510650635	0.4317305	Yes	
row_53	Dlg5	4553	1.9246801137924194	0.4357726	Yes	
row_54	Flnb	4571	1.9131934642791748	0.43973494	Yes	
row_55	Idh2	4625	1.8893402814865112	0.44180733	Yes	
row_56	Slc27a2	4667	1.8671319484710693	0.44443363	Yes	
row_57	Wfs1	5151	1.672768235206604	0.42410454	No	
row_58	Pdlim3	5252	1.6271030902862549	0.4231266	No	
row_59	Slc1a4	5343	1.5927833318710327	0.42257035	No	
row_60	Slc2a8	5420	1.5646870136260986	0.42265475	No	
row_61	Zfp36	5425	1.563542127609253	0.42639574	No	
row_62	Slc24a3	5456	1.5533313751220703	0.42878953	No	
row_63	St14	5687	1.487309217453003	0.42085153	No	
row_64	Plxnb1	5725	1.4731900691986084	0.42268735	No	
row_65	Ovol2	5804	1.446020483970642	0.42237076	No	
row_66	Fkbp4	5858	1.4229735136032104	0.42326668	No	
row_67	Cish	5860	1.4225679636001587	0.4268045	No	
row_68	Nherf1	5862	1.4224474430084229	0.43034208	No	
row_69	Celsr2	5936	1.3964934349060059	0.43015465	No	
row_70	Slc26a2	6294	1.28679358959198	0.41525596	No	
row_71	Ppif	6301	1.2836930751800537	0.41818935	No	
row_72	Prlr	6369	1.2605050802230835	0.41796383	No	
row_73	Rnaseh2a	6628	1.1761184930801392	0.40781772	No	
row_74	Hr	6643	1.172669768333435	0.4100644	No	
row_75	Pkp3	6831	1.1122156381607056	0.4033657	No	
row_76	Hprt1	6925	1.0840568542480469	0.40137362	No	
row_77	Aldh3b1	6931	1.082061767578125	0.40384918	No	
row_78	Ckb	7289	0.9890332818031311	0.38819933	No	
row_79	Gale	7904	0.8335983753204346	0.3590951	No	
row_80	Batf	8019	0.8100786209106445	0.3553445	No	
row_81	Arl3	8067	0.7993400692939758	0.35497215	No	
row_82	Scarb1	8168	0.773686945438385	0.35184133	No	
row_83	Tpbg	8169	0.7735497951507568	0.35379273	No	
row_84	Mettl3	8193	0.7654902338981628	0.35455483	No	
row_85	Klk11	8271	0.7437751293182373	0.35251752	No	
row_86	Rbbp8	8412	0.7121142745018005	0.3471983	No	
row_87	Jak1	8792	0.6189873814582825	0.3294968	No	
row_88	Hspb8	9016	0.5680745244026184	0.3195957	No	
row_89	Il6st	9242	0.5227797627449036	0.30947864	No	
row_90	Nab2	9488	0.473866730928421	0.2982217	No	
row_91	Id2	10210	0.3322184383869171	0.2624143	No	
row_92	Sema3b	10249	0.3245735466480255	0.2613017	No	
row_93	Aff1	10473	0.2798038423061371	0.25067338	No	
row_94	Tmprss3	10481	0.2777597904205322	0.2510183	No	
row_95	Perp	10813	0.2118583470582962	0.23472936	No	
row_96	Isg20	11051	0.1707615852355957	0.22311439	No	
row_97	Pcp4	11174	0.1486009657382965	0.2172885	No	
row_98	Serpina5	11186	0.14694571495056152	0.21710011	No	
row_99	Chst8	11271	0.13174152374267578	0.21316308	No	
row_100	Rapgefl1	11322	0.12155831605195999	0.21092843	No	
row_101	Gjb3	11325	0.12112224847078323	0.21113233	No	
row_102	Dnajc12	11542	0.07640940696001053	0.20034668	No	
row_103	Chpt1	11562	0.0720733031630516	0.1995628	No	
row_104	Xrcc3	11644	0.05848183110356331	0.19559343	No	
row_105	Ugdh	11905	0.005099520552903414	0.18239157	No	
row_106	Ccn5	11981	-0.009258863516151905	0.17860298	No	
row_107	Ptges	12102	-0.02787204645574093	0.17257418	No	
row_108	Mapt	12236	-0.05205586925148964	0.16594565	No	
row_109	Dhcr7	12313	-0.06474288552999496	0.1622462	No	
row_110	Slc7a5	12366	-0.0739210695028305	0.15978974	No	
row_111	Krt13	12477	-0.09495197981595993	0.15443842	No	
row_112	Mapk13	12551	-0.1105571910738945	0.15100703	No	
row_113	Sfn	12560	-0.11208084970712662	0.15088315	No	
row_114	Nxt1	12646	-0.12853659689426422	0.14688721	No	
row_115	Tiam1	12673	-0.1322529911994934	0.14589937	No	
row_116	Myof	12974	-0.18638242781162262	0.13112177	No	
row_117	Snx10	13076	-0.21079738438129425	0.12652013	No	
row_118	Th	13189	-0.23233680427074432	0.12141373	No	
row_119	Nmu	13220	-0.2373982071876526	0.12048783	No	
row_120	Atp2b4	13309	-0.2539544105529785	0.1166558	No	
row_121	Sox3	13337	-0.25893938541412354	0.11593671	No	
row_122	Tff3	13412	-0.2692992687225342	0.11285495	No	
row_123	Fkbp5	13453	-0.27916276454925537	0.11152615	No	
row_124	Sgk1	13585	-0.301651269197464	0.105628915	No	
row_125	Fgfr3	13711	-0.32650721073150635	0.10009935	No	
row_126	Olfm1	13718	-0.3273288607597351	0.100620136	No	
row_127	Prss23	13786	-0.33913129568099976	0.098070316	No	
row_128	Hmgcs2	14048	-0.38292065262794495	0.085770726	No	
row_129	Dhrs2	14055	-0.3846767544746399	0.08643618	No	
row_130	Igsf1	14148	-0.3998304009437561	0.08276884	No	
row_131	Gal	14264	-0.4208579659461975	0.07798555	No	
row_132	Npy1r	14390	-0.4397141635417938	0.07274156	No	
row_133	Blvrb	14404	-0.4414457082748413	0.073194444	No	
row_134	Cpe	14446	-0.44746798276901245	0.07223939	No	
row_135	Emp2	14557	-0.46212053298950195	0.06781432	No	
row_136	Tfap2c	14655	-0.4772096574306488	0.06408805	No	
row_137	Calcr	14789	-0.5021367073059082	0.058594927	No	
row_138	Pdzk1	15072	-0.5420369505882263	0.045629397	No	
row_139	Klk10	15102	-0.5467544198036194	0.045534726	No	
row_140	Scube2	15173	-0.5582255721092224	0.04338513	No	
row_141	Slc16a1	15184	-0.5595148205757141	0.04428834	No	
row_142	Papss2	15464	-0.603276789188385	0.03162978	No	
row_143	Areg	15813	-0.6624879837036133	0.015613595	No	
row_144	Clic3	15969	-0.6879997849464417	0.009471173	No	
row_145	Cav1	16117	-0.713209867477417	0.0037989554	No	
row_146	Kcnk5	16236	-0.7347449660301208	-3.4498464E-4	No	
row_147	Frk	16290	-0.745125949382782	-0.0011590519	No	
row_148	Plac1	16328	-0.7529177665710449	-0.0011402481	No	
row_149	Sult2b1	16672	-0.8249452114105225	-0.016492475	No	
row_150	Ltf	16723	-0.8368100523948669	-0.016922776	No	
row_151	Rab31	16868	-0.8664783835411072	-0.02205587	No	
row_152	Tst	16901	-0.8724006414413452	-0.021481521	No	
row_153	Tfpi2	17226	-0.9509664177894592	-0.035550144	No	
row_154	Add3	17346	-0.9782987833023071	-0.039130505	No	
row_155	Cdc6	17484	-1.0116052627563477	-0.04354171	No	
row_156	Cyp26b1	17588	-1.04036545753479	-0.046152283	No	
row_157	Tpd52l1	17605	-1.0447828769683838	-0.044329856	No	
row_158	Ccna1	17673	-1.06046724319458	-0.045059983	No	
row_159	Gins2	17696	-1.0660498142242432	-0.043488864	No	
row_160	Cxcl12	17750	-1.0800942182540894	-0.043457914	No	
row_161	Dusp2	17812	-1.1010701656341553	-0.043780662	No	
row_162	Trim29	17863	-1.1195433139801025	-0.04349772	No	
row_163	Gper1	17933	-1.1471164226531982	-0.044110913	No	
row_164	Ascl1	18009	-1.1782989501953125	-0.044950396	No	
row_165	Stil	18045	-1.1894484758377075	-0.043728717	No	
row_166	Itpk1	18299	-1.286736249923706	-0.053341664	No	
row_167	Fabp5	18319	-1.2968541383743286	-0.051035825	No	
row_168	Mest	18405	-1.3406667709350586	-0.05197397	No	
row_169	Anxa9	18534	-1.4060611724853516	-0.054932658	No	
row_170	Acox2	18556	-1.4189984798431396	-0.052420337	No	
row_171	Lamc2	18606	-1.4467434883117676	-0.051261153	No	
row_172	Slc29a1	18614	-1.4545607566833496	-0.04794756	No	
row_173	Foxc1	18703	-1.4942017793655396	-0.04865086	No	
row_174	Ret	18783	-1.5393598079681396	-0.048782814	No	
row_175	Pgr	18821	-1.567007303237915	-0.04671033	No	
row_176	Agr2	18849	-1.5835137367248535	-0.04408795	No	
row_177	Cxcl14	18934	-1.6437588930130005	-0.044210665	No	
row_178	Gla	18975	-1.6728522777557373	-0.042023648	No	
row_179	Tnnc1	18990	-1.6839033365249634	-0.03848728	No	
row_180	Impa2	19048	-1.731363296508789	-0.0370167	No	
row_181	Ass1	19085	-1.7544156312942505	-0.03442062	No	
row_182	Ptger3	19132	-1.7968883514404297	-0.032225657	No	
row_183	Ccnd1	19268	-1.931469202041626	-0.0342147	No	
row_184	Top2a	19282	-1.9471309185028076	-0.02996347	No	
row_185	Opn3	19290	-1.9579073190689087	-0.025380097	No	
row_186	S100a9	19292	-1.965996265411377	-0.020471364	No	
row_187	Sord	19309	-1.978987216949463	-0.016292248	No	
row_188	Igfbp4	19326	-1.9929169416427612	-0.012077992	No	
row_189	Cd9	19359	-2.030369520187378	-0.008582469	No	
