NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Plk4	2455	3.036891460418701	-0.07590614	No	
row_1	Farsa	2502	3.0048575401306152	-0.03071965	No	
row_2	Wdr43	2566	2.962545156478882	0.01293975	No	
row_3	Las1l	2724	2.8515071868896484	0.05009874	No	
row_4	Exosc5	3603	2.342289924621582	0.04281281	No	
row_5	Tbrg4	3941	2.200392007827759	0.06059145	No	
row_6	Imp4	3975	2.184363842010498	0.09346169	No	
row_7	Cbx3	4707	1.8521236181259155	0.08584608	No	
row_8	Pes1	4795	1.8162636756896973	0.1101707	No	
row_9	Nolc1	5076	1.6953353881835938	0.12284131	No	
row_10	Supv3l1	5400	1.5730986595153809	0.1314088	No	
row_11	Bysl	5978	1.3832337856292725	0.124153234	No	
row_12	Tcof1	6344	1.2691128253936768	0.1257945	No	
row_13	Nop2	6919	1.0853201150894165	0.1139802	No	
row_14	Wdr74	7069	1.0481430292129517	0.123030834	No	
row_15	Ddx18	7233	1.0023025274276733	0.13065003	No	
row_16	Mybbp1a	7915	0.83171546459198	0.10942506	No	
row_17	Prmt3	8215	0.7593804597854614	0.10633866	No	
row_18	Phb1	8346	0.7266772985458374	0.11126581	No	
row_19	Rrp12	8649	0.6518940329551697	0.106328554	No	
row_20	Tfb2m	9137	0.5427473187446594	0.09032738	No	
row_21	Dctpp1	9306	0.5093562006950378	0.08990044	No	
row_22	Nop56	9448	0.48022085428237915	0.09037574	No	
row_23	Rcl1	9523	0.46821486949920654	0.09404317	No	
row_24	Mcm4	9618	0.4463186264038086	0.09635487	No	
row_25	Mphosph10	9682	0.43391695618629456	0.10003529	No	
row_26	Mrto4	10109	0.3515980839729309	0.08409104	No	
row_27	Pprc1	10196	0.3345278799533844	0.08503908	No	
row_28	Pa2g4	10204	0.33323466777801514	0.08995437	No	
row_29	Hk2	10288	0.31566184759140015	0.09075556	No	
row_30	Nip7	10742	0.22470484673976898	0.07144218	No	
row_31	Gnl3	11011	0.17857737839221954	0.060737748	No	
row_32	Nop16	11642	0.05876614525914192	0.02986636	No	
row_33	Ndufaf4	11723	0.043914780020713806	0.026522515	No	
row_34	Myc	12139	-0.03355854004621506	0.006105137	No	
row_35	Hspd1	12674	-0.13230213522911072	-0.018757816	No	
row_36	Rabepk	12809	-0.15700934827327728	-0.023039332	No	
row_37	Cdk4	12971	-0.18569022417068481	-0.028230267	No	
row_38	Slc29a2	13723	-0.3282640874385834	-0.060948465	No	
row_39	Rrp9	13774	-0.33683472871780396	-0.058146775	No	
row_40	Utp20	14284	-0.4232698380947113	-0.07714745	No	
row_41	Noc4l	15697	-0.6456454396247864	-0.13821298	No	
row_42	Grwd1	15848	-0.6679600477218628	-0.13522372	No	
row_43	Ung	15851	-0.6683659553527832	-0.12475743	No	
row_44	Srm	16249	-0.7379724383354187	-0.13312906	No	
row_45	Pus1	17179	-0.939934492111206	-0.16516133	Yes	
row_46	Aimp2	17204	-0.9462325572967529	-0.15141232	Yes	
row_47	Map3k6	17255	-0.9566190242767334	-0.1388115	Yes	
row_48	Ppan	17399	-0.9905176758766174	-0.1303691	Yes	
row_49	Ipo4	17512	-1.0200774669647217	-0.119894534	Yes	
row_50	Dusp2	17812	-1.1010701656341553	-0.11757864	Yes	
row_51	Slc19a1	18207	-1.2543931007385254	-0.117633946	Yes	
row_52	Tmem97	18683	-1.4856677055358887	-0.1181213	Yes	
row_53	Mcm5	19209	-1.8773361444473267	-0.114940025	Yes	
row_54	Sord	19309	-1.978987216949463	-0.08864839	Yes	
row_55	Npm1	19395	-2.0962605476379395	-0.05979591	Yes	
row_56	Plk1	19642	-2.625965118408203	-0.030695314	Yes	
row_57	Hspe1	19650	-2.6597936153411865	0.011004134	Yes	
