NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Isg20	27	18.016347885131836	0.026519075	Yes	
row_1	Prdx5	43	16.625375747680664	0.05149478	Yes	
row_2	Btg1	68	14.980158805847168	0.07346595	Yes	
row_3	Cdkn1a	73	14.765188217163086	0.09612104	Yes	
row_4	Gcnt2	99	13.642199516296387	0.11597004	Yes	
row_5	Fos	144	12.129940032958984	0.13251197	Yes	
row_6	Sdc4	145	12.12096118927002	0.1512768	Yes	
row_7	Dusp1	185	11.0886869430542	0.16646092	Yes	
row_8	Fosl2	211	10.59961986541748	0.1815996	Yes	
row_9	Mxi1	238	10.217291831970215	0.19609556	Yes	
row_10	F3	255	9.873408317565918	0.2105675	Yes	
row_11	Tgm2	308	9.253181457519531	0.22224915	Yes	
row_12	Errfi1	317	9.20323657989502	0.23609027	Yes	
row_13	Tpd52	321	9.158184051513672	0.25011584	Yes	
row_14	Zfp36	350	8.944525718688965	0.2625397	Yes	
row_15	Jun	418	8.179810523986816	0.2717971	Yes	
row_16	Adora2b	434	8.077515602111816	0.2835396	Yes	
row_17	Hk1	499	7.681156158447266	0.2921775	Yes	
row_18	Pgm2	679	6.605396270751953	0.29330382	Yes	
row_19	Foxo3	758	6.154622554779053	0.29886675	Yes	
row_20	Map3k1	801	5.988180160522461	0.3060021	Yes	
row_21	Atf3	814	5.932080268859863	0.3145757	Yes	
row_22	Pam	837	5.8696465492248535	0.3225443	Yes	
row_23	Glrx	894	5.649953365325928	0.32844433	Yes	
row_24	Efna3	989	5.288440227508545	0.3318529	Yes	
row_25	Car12	996	5.260828018188477	0.33969235	Yes	
row_26	Cp	1001	5.229033946990967	0.34758422	Yes	
row_27	Hk2	1190	4.607287406921387	0.34515968	Yes	
row_28	Hexa	1201	4.586971282958984	0.35175255	Yes	
row_29	Sult2b1	1276	4.3797712326049805	0.35477114	Yes	
row_30	Ddit4	1297	4.309543132781982	0.36042616	Yes	
row_31	Tpi1	1366	4.113589286804199	0.36333767	Yes	
row_32	Plaur	1423	3.956051826477051	0.3666153	Yes	
row_33	Tmem45a	1434	3.938817262649536	0.37220475	Yes	
row_34	Ppargc1a	1486	3.8284738063812256	0.37553906	Yes	
row_35	Rora	1550	3.697462558746338	0.37806055	Yes	
row_36	Aldoa	1596	3.5799331665039062	0.3813151	Yes	
row_37	Ets1	1603	3.567999839782715	0.38653383	Yes	
row_38	Egfr	1617	3.538066864013672	0.39135033	Yes	
row_39	Xpnpep1	1621	3.531195640563965	0.3966646	Yes	
row_40	Nfil3	1622	3.5310275554656982	0.40213108	Yes	
row_41	Efna1	1697	3.4005672931671143	0.4036337	Yes	
row_42	Maff	1729	3.3394384384155273	0.40722767	Yes	
row_43	Ndst1	1775	3.246643304824829	0.40996626	Yes	
row_44	Nr3c1	1863	3.121628999710083	0.41037622	Yes	
row_45	Cited2	1965	2.9267029762268066	0.40977266	Yes	
row_46	Nedd4l	2068	2.7647860050201416	0.40886763	Yes	
row_47	Ugp2	2161	2.6366050243377686	0.40827248	Yes	
row_48	P4ha2	2217	2.5765397548675537	0.4094653	Yes	
row_49	Rragd	2288	2.4793498516082764	0.40974513	Yes	
row_50	Ids	2297	2.469906806945801	0.41316217	Yes	
row_51	Vegfa	2661	2.0838825702667236	0.39793473	No	
row_52	Anxa2	2687	2.062581777572632	0.39985698	No	
row_53	Ilvbl	2717	2.0331993103027344	0.40153039	No	
row_54	Plac8	2719	2.0311803817749023	0.40462407	No	
row_55	Atp7a	2881	1.883280634880066	0.399355	No	
row_56	Hdlbp	2892	1.871996283531189	0.40174472	No	
row_57	Myh9	2949	1.8230289220809937	0.4017202	No	
row_58	Slc25a1	3012	1.7652875185012817	0.40130123	No	
row_59	Kdm3a	3107	1.6870582103729248	0.39913443	No	
row_60	Wsb1	3212	1.5890661478042603	0.39630753	No	
row_61	Tpst2	3389	1.4584994316101074	0.3896183	No	
row_62	Selenbp1	3411	1.443942904472351	0.39078614	No	
row_63	Tnfaip3	3672	1.2524728775024414	0.37950772	No	
row_64	Rbpj	3831	1.1609832048416138	0.37327293	No	
row_65	Edn2	3956	1.086336374282837	0.36865103	No	
row_66	Gpc3	4004	1.0531623363494873	0.36789215	No	
row_67	Slc6a6	4114	0.9855052828788757	0.3638767	No	
row_68	Ndrg1	4444	0.8030883073806763	0.34839484	No	
row_69	Ak4	4467	0.7913636565208435	0.3485016	No	
row_70	Ier3	4629	0.7011005878448486	0.34140235	No	
row_71	Large1	4661	0.6849105954170227	0.34088674	No	
row_72	Slc2a1	4714	0.6567636728286743	0.33926	No	
row_73	Noct	4766	0.6317033171653748	0.33764532	No	
row_74	Pkp1	4984	0.5339407324790955	0.32744047	No	
row_75	Tiparp	5061	0.5030474066734314	0.3243557	No	
row_76	Gys1	5136	0.47009390592575073	0.32132158	No	
row_77	Klhl24	5143	0.4682299494743347	0.32174146	No	
row_78	Ero1a	5193	0.4456040859222412	0.31994033	No	
row_79	Ampd3	5211	0.43874862790107727	0.31975535	No	
