NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2a	13	21.55125617980957	0.02396373	Yes	
row_1	Nupr1	23	18.704870223999023	0.04487851	Yes	
row_2	Ctsd	40	16.833311080932617	0.06329898	Yes	
row_3	Cdkn2b	54	15.797748565673828	0.080688715	Yes	
row_4	Ldhb	62	15.34092903137207	0.097861506	Yes	
row_5	Perp	63	15.289295196533203	0.11533115	Yes	
row_6	Btg1	68	14.980158805847168	0.13224423	Yes	
row_7	Cdkn1a	73	14.765188217163086	0.14891168	Yes	
row_8	Klf4	80	14.580333709716797	0.16526625	Yes	
row_9	Plxnb2	97	13.766730308532715	0.18018283	Yes	
row_10	Sat1	103	13.553404808044434	0.19541486	Yes	
row_11	Sdc1	105	13.506793022155762	0.21079697	Yes	
row_12	Btg2	119	12.9137601852417	0.22489144	Yes	
row_13	Gm2a	131	12.63909912109375	0.23877375	Yes	
row_14	Ephx1	135	12.525368690490723	0.25293282	Yes	
row_15	Pmm1	136	12.445284843444824	0.26715288	Yes	
row_16	Fos	144	12.129940032958984	0.28065675	Yes	
row_17	Vamp8	173	11.333965301513672	0.2921836	Yes	
row_18	Sfn	177	11.325029373168945	0.30497116	Yes	
row_19	Txnip	186	11.085530281066895	0.31723085	Yes	
row_20	Zfp36l1	194	10.921061515808105	0.32935348	Yes	
row_21	Prkab1	213	10.568695068359375	0.3405143	Yes	
row_22	Gpx2	234	10.265337944030762	0.3512268	Yes	
row_23	Tob1	312	9.23781967163086	0.3578676	Yes	
row_24	Aen	339	9.025899887084961	0.3668589	Yes	
row_25	Fuca1	363	8.725329399108887	0.3756593	Yes	
row_26	Tcn2	389	8.476567268371582	0.38407376	Yes	
row_27	Jun	418	8.179810523986816	0.39199665	Yes	
row_28	Ccng1	535	7.461296558380127	0.39462498	Yes	
row_29	Tsc22d1	562	7.315629482269287	0.4016621	Yes	
row_30	Hras	602	7.01885986328125	0.4076993	Yes	
row_31	Tgfa	612	6.9276838302612305	0.41515738	Yes	
row_32	Tax1bp3	634	6.814657211303711	0.4218763	Yes	
row_33	Tchh	646	6.766127586364746	0.42904812	Yes	
row_34	St14	676	6.637054443359375	0.43515742	Yes	
row_35	Ier5	678	6.6194281578063965	0.44267	Yes	
row_36	Hbegf	743	6.280628204345703	0.44659275	Yes	
row_37	Foxo3	758	6.154622554779053	0.45291334	Yes	
row_38	Plk3	767	6.116414546966553	0.4594953	Yes	
row_39	Epha2	799	5.993746757507324	0.46476787	Yes	
row_40	Atf3	814	5.932080268859863	0.4708342	Yes	
row_41	Osgin1	853	5.776931285858154	0.47550318	Yes	
row_42	Eps8l2	891	5.65825080871582	0.4800874	Yes	
row_43	H2aj	901	5.623444080352783	0.48605525	Yes	
row_44	Stom	915	5.5559258460998535	0.4917426	Yes	
row_45	Cebpa	1002	5.224869251251221	0.49334067	Yes	
row_46	Rab40c	1024	5.139375686645508	0.4981454	Yes	
row_47	Ei24	1039	5.09779167175293	0.50325847	Yes	
row_48	Rxra	1054	5.060188293457031	0.50832856	Yes	
row_49	Dcxr	1088	4.966227054595947	0.5123254	Yes	
row_50	Phlda3	1113	4.847546100616455	0.5166442	Yes	
row_51	H1f2	1127	4.803968906402588	0.52147233	Yes	
row_52	Baiap2	1138	4.764643669128418	0.5264081	Yes	
row_53	Slc7a11	1223	4.512078285217285	0.5272934	Yes	
row_54	Acvr1b	1285	4.342233180999756	0.5291538	Yes	
row_55	Ddit4	1297	4.309543132781982	0.53351873	Yes	
row_56	Sphk1	1304	4.290782451629639	0.5381164	Yes	
row_57	Tap1	1345	4.165294170379639	0.54084224	Yes	
row_58	Tm4sf1	1360	4.124927043914795	0.5448437	Yes	
row_59	Sp1	1376	4.067267894744873	0.5487284	Yes	
row_60	Abhd4	1602	3.5698537826538086	0.5413692	No	
row_61	Traf4	1764	3.2582781314849854	0.5369075	No	
row_62	Hexim1	1803	3.2038941383361816	0.5386365	No	
row_63	Trafd1	1888	3.0748822689056396	0.53787965	No	
row_64	Mxd1	1920	3.0124099254608154	0.53974575	No	
row_65	Ccnd3	1990	2.8828234672546387	0.53953195	No	
row_66	Sertad3	2083	2.7494356632232666	0.53799653	No	
row_67	Klk8	2238	2.5488789081573486	0.5330801	No	
row_68	Def6	2256	2.519563913345337	0.5350948	No	
row_69	Cyfip2	2356	2.40832781791687	0.5328138	No	
row_70	Mxd4	2466	2.276421070098877	0.52987367	No	
row_71	App	2472	2.267885208129883	0.53221077	No	
row_72	Plk2	2686	2.0626559257507324	0.52373946	No	
row_73	Ercc5	2718	2.0331170558929443	0.5244866	No	
row_74	Rps27l	2750	2.0072684288024902	0.5252042	No	
row_75	Vdr	2907	1.8538647890090942	0.51939195	No	
row_76	Cgrrf1	3215	1.5883395671844482	0.5056001	No	
row_77	Retsat	3231	1.5777368545532227	0.50664026	No	
row_78	Serpinb5	3341	1.4940941333770752	0.5028063	No	
row_79	Rb1	3367	1.471348524093628	0.50321656	No	
row_80	Zmat3	3398	1.4534331560134888	0.50335217	No	
row_81	Alox8	3625	1.2933865785598755	0.493341	No	
row_82	Dnttip2	3693	1.2399721145629883	0.49135178	No	
row_83	Ccnk	3694	1.2390811443328857	0.49276754	No	
row_84	Pcna	3809	1.1700961589813232	0.48830917	No	
row_85	Mknk2	3983	1.069900631904602	0.48073697	No	
row_86	Il1a	4096	0.996330201625824	0.47618175	No	
row_87	Sec61a1	4147	0.9673231840133667	0.47474518	No	
row_88	Ppm1d	4244	0.9144704937934875	0.4709098	No	
row_89	Slc19a2	4300	0.8801913261413574	0.46911952	No	
row_90	Rnf19b	4415	0.8179672360420227	0.4642588	No	
row_91	Dgka	4442	0.8052130341529846	0.46385708	No	
row_92	Ndrg1	4444	0.8030883073806763	0.46472386	No	
row_93	Bmp2	4491	0.775761067867279	0.4632718	No	
row_94	Ier3	4629	0.7011005878448486	0.4571083	No	
row_95	Blcap	4851	0.594108521938324	0.44655234	No	
row_96	Cdkn2aip	5027	0.5163019895553589	0.43824592	No	
row_97	Clca2	5082	0.4959641098976135	0.43606743	No	
row_98	Bak1	5089	0.49467170238494873	0.43632764	No	
row_99	Xpc	5278	0.41442519426345825	0.42724395	No	
row_100	Cd82	5320	0.39764779806137085	0.42561403	No	
row_101	Tpd52l1	5498	0.3398999273777008	0.41700438	No	
row_102	Wwp1	5582	0.3176369369029999	0.4131479	No	
row_103	Mapkapk3	5925	0.1766330897808075	0.39596373	No	
row_104	Triap1	6309	0.028506727889180183	0.376526	No	
row_105	Zfp365	6393	-2.5787120102904737E-4	0.37230688	No	
row_106	Csrnp2	6418	-0.010666037909686565	0.371099	No	
row_107	Fbxw7	6424	-0.0132656991481781	0.37085998	No	
row_108	Rad9a	6744	-0.11769762635231018	0.3547777	No	
row_109	Rhbdf2	6778	-0.12978100776672363	0.3532484	No	
row_110	Ppp1r15a	6921	-0.17243275046348572	0.34622666	No	
row_111	Elp1	6941	-0.17765448987483978	0.34546375	No	
row_112	Kif13b	6970	-0.18783406913280487	0.34425497	No	
row_113	Rgs16	7062	-0.2138422727584839	0.3398732	No	
row_114	Nudt15	7193	-0.25581541657447815	0.3335568	No	
row_115	Cd81	7241	-0.27071988582611084	0.3314768	No	
row_116	Apaf1	7392	-0.31643912196159363	0.32421294	No	
row_117	Rad51c	7454	-0.32906341552734375	0.3214879	No	
row_118	Pidd1	7500	-0.3379823565483093	0.31958646	No	
