NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tspan8	3	28.623231887817383	0.10924276	Yes	
row_1	Atp1a1	123	12.830041885375977	0.1522599	Yes	
row_2	Adam10	226	10.337687492370605	0.18661125	Yes	
row_3	Krt18	309	9.244790077209473	0.21779704	Yes	
row_4	Tpd52	321	9.158184051513672	0.25224224	Yes	
row_5	Sgms1	576	7.192318916320801	0.2668859	Yes	
row_6	Golga4	623	6.845816612243652	0.2907236	Yes	
row_7	Pam	837	5.8696465492248535	0.30238548	Yes	
row_8	Kif1b	1009	5.207053184509277	0.31363893	Yes	
row_9	Arf1	1133	4.774409770965576	0.32566616	Yes	
row_10	Ap1g1	1154	4.724673748016357	0.3427119	Yes	
row_11	Clcn3	1200	4.588115692138672	0.35797152	Yes	
row_12	Rer1	1310	4.26161527633667	0.36874688	Yes	
row_13	Tsg101	1316	4.241087913513184	0.38470295	Yes	
row_14	Scamp1	1349	4.1482954025268555	0.398939	Yes	
row_15	Snx2	1427	3.9484195709228516	0.41013557	Yes	
row_16	Egfr	1617	3.538066864013672	0.4141001	Yes	
row_17	Vps4b	1724	3.34519100189209	0.4215247	Yes	
row_18	Tmed10	1731	3.3343138694763184	0.43396464	Yes	
row_19	Ergic3	1732	3.333310604095459	0.44670415	Yes	
row_20	Arfgef1	1789	3.2256534099578857	0.45620033	Yes	
row_21	Arfip1	1801	3.2072854042053223	0.46790192	Yes	
row_22	Ap3s1	1830	3.1745691299438477	0.4786188	Yes	
row_23	Igf2r	2035	2.8025121688842773	0.4790136	Yes	
row_24	Rab14	2085	2.7460575103759766	0.48703083	Yes	
row_25	Ica1	2101	2.7115907669067383	0.49663565	Yes	
row_26	Rps6ka3	2198	2.59077787399292	0.5016827	Yes	
row_27	Arfgap3	2268	2.5045652389526367	0.5077656	Yes	
row_28	Mapk1	2272	2.5018324851989746	0.51717556	Yes	
row_29	Ykt6	2463	2.2789158821105957	0.5162772	Yes	
row_30	Yipf6	2527	2.2109434604644775	0.5215413	Yes	
row_31	Abca1	2528	2.210649251937866	0.52999014	Yes	
row_32	Lamp2	2557	2.1870954036712646	0.536933	Yes	
row_33	Stam	2621	2.132063627243042	0.5418957	Yes	
row_34	Atp7a	2881	1.883280634880066	0.53599596	Yes	
row_35	Vamp3	2945	1.8249667882919312	0.53978497	Yes	
row_36	Cav2	3060	1.719787359237671	0.5405929	Yes	
row_37	Ap3b1	3192	1.6099576950073242	0.54012144	Yes	
row_38	Atp6v1b1	3193	1.6088379621505737	0.5462702	Yes	
row_39	Mon2	3269	1.5487958192825317	0.5483969	Yes	
row_40	Stx12	3308	1.5178945064544678	0.55227643	Yes	
row_41	Copb1	3432	1.4277021884918213	0.55151296	Yes	
row_42	Copb2	3517	1.358826756477356	0.55245847	Yes	
row_43	Scamp3	3537	1.3473193645477295	0.55664694	Yes	
row_44	Rab5a	3602	1.3112010955810547	0.5584218	Yes	
row_45	Sec31a	3714	1.2260310649871826	0.55749434	Yes	
row_46	Sec22b	3738	1.2082866430282593	0.5609492	Yes	
row_47	Cln5	4137	0.972380518913269	0.5445391	No	
row_48	Rab22a	4148	0.9672959446907043	0.5477303	No	
row_49	Uso1	4410	0.8212133049964905	0.5376704	No	
row_50	Rab9	4519	0.7580316066741943	0.53510606	No	
row_51	Gbf1	4543	0.7439417839050293	0.5367862	No	
row_52	Dop1a	5514	0.33629292249679565	0.48901966	No	
row_53	Vps45	5711	0.26659807562828064	0.48012707	No	
row_54	Tmx1	5759	0.2460494339466095	0.47869068	No	
row_55	Galc	5893	0.18940642476081848	0.4726889	No	
row_56	Zw10	6000	0.14396607875823975	0.46787885	No	
row_57	Tom1l1	6319	0.02411940135061741	0.4518901	No	
row_58	Ocrl	6813	-0.1421542912721634	0.42750293	No	
row_59	Sh3gl2	6892	-0.1632293164730072	0.42418242	No	
row_60	Ap2m1	7525	-0.3426814079284668	0.39353254	No	
row_61	Napg	7951	-0.4225798547267914	0.37365583	No	
row_62	Ctsc	8063	-0.44305408000946045	0.36973596	No	
row_63	Cope	8156	-0.4612935185432434	0.36684662	No	
row_64	Bet1	8246	-0.4749595522880554	0.36416125	No	
row_65	Napa	8477	-0.5110368728637695	0.35448352	No	
row_66	Clta	8747	-0.5584107637405396	0.34301466	No	
row_67	Sec24d	8867	-0.5766562223434448	0.33920085	No	
row_68	M6pr	9431	-0.6684558391571045	0.31328532	No	
row_69	Ppt1	9466	-0.6740709543228149	0.3141422	No	
row_70	Arfgef2	9982	-0.7622053027153015	0.2910123	No	
row_71	Cog2	10175	-0.7973675727844238	0.28435048	No	
row_72	Atp6v1h	10253	-0.810469388961792	0.2835542	No	
row_73	Ap2s1	10305	-0.8221598267555237	0.28411737	No	
