NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Krt8	174	15.3159818649292	0.027562737	Yes	
row_1	Tpd52	179	15.198041915893555	0.06344262	Yes	
row_2	Krt19	183	15.136602401733398	0.099227205	Yes	
row_3	Tsc22d1	203	14.56469440460205	0.13284487	Yes	
row_4	Selenop	289	12.581910133361816	0.15841742	Yes	
row_5	Zmiz1	346	11.72828483581543	0.18342993	Yes	
row_6	Actn1	403	11.19074821472168	0.20716624	Yes	
row_7	Camkk2	485	10.38443660736084	0.22772399	Yes	
row_8	Ube2j1	604	9.466103553771973	0.24423034	Yes	
row_9	Abhd2	632	9.324944496154785	0.26500356	Yes	
row_10	Map7	773	8.557869911193848	0.27824107	Yes	
row_11	Hmgcr	932	7.878279209136963	0.28895488	Yes	
row_12	Tmprss2	944	7.832242012023926	0.30699337	Yes	
row_13	Zbtb10	1017	7.541520595550537	0.3212568	Yes	
row_14	Elovl5	1018	7.539489269256592	0.33915654	Yes	
row_15	Gsr	1455	6.178274631500244	0.33177543	Yes	
row_16	Acsl3	1494	6.08760404586792	0.3443065	Yes	
row_17	Hpgd	1612	5.808845043182373	0.3521806	Yes	
row_18	Dhcr24	1656	5.729675769805908	0.36360905	Yes	
row_19	Homer2	1682	5.6742987632751465	0.3758163	Yes	
row_20	Tmem50a	1718	5.601282596588135	0.38734448	Yes	
row_21	Insig1	1814	5.4227294921875	0.39541447	Yes	
row_22	Pdlim5	1956	5.170043468475342	0.40055826	Yes	
row_23	Vapa	2044	5.036368370056152	0.40811557	Yes	
row_24	Pias1	2265	4.679326057434082	0.40809917	Yes	
row_25	Rab4a	2444	4.433597564697266	0.4096234	Yes	
row_26	Aldh1a3	2466	4.407644271850586	0.41902572	Yes	
row_27	Herc3	2750	4.072997093200684	0.41438386	Yes	
row_28	Pgm3	2790	4.029153347015381	0.4219773	Yes	
row_29	Srf	3237	3.541945695877075	0.4078315	No	
row_30	Appbp2	3391	3.400073528289795	0.4081663	No	
row_31	Ngly1	3423	3.368417501449585	0.41459563	No	
row_32	Gpd1l	3692	3.0952095985412598	0.4083909	No	
row_33	Rps6ka3	4932	2.1406679153442383	0.35081512	No	
row_34	Elk4	4968	2.116584062576294	0.35407016	No	
row_35	Ccnd3	5037	2.0707650184631348	0.35554758	No	
row_36	Ndrg1	5042	2.068873405456543	0.36025706	No	
row_37	Slc38a2	5311	1.904880404472351	0.35122636	No	
row_38	Fads1	5511	1.7817254066467285	0.3453927	No	
row_39	Mak	5603	1.7330098152160645	0.34490508	No	
row_40	Dnajb9	5638	1.717429518699646	0.34726307	No	
row_41	H1f0	5815	1.6126205921173096	0.34219107	No	
row_42	Akt1	5858	1.5838654041290283	0.34382737	No	
row_43	Cdc14b	7010	0.9626727104187012	0.28790513	No	
row_44	Xrcc5	7929	0.5179803371429443	0.24271029	No	
row_45	Ube2i	8139	0.4328848421573639	0.23316859	No	
row_46	Rrp12	8404	0.3238459825515747	0.22058657	No	
row_47	Sec24d	8681	0.21601328253746033	0.2071417	No	
row_48	B4galt1	8846	0.14443184435367584	0.19919087	No	
row_49	Lifr	9487	-0.12026601284742355	0.16711067	No	
row_50	Fkbp5	9764	-0.23351813852787018	0.15370736	No	
row_51	Sat1	9875	-0.27590376138687134	0.14879952	No	
row_52	Xrcc6	9917	-0.29553329944610596	0.14742772	No	
row_53	Bmpr1b	10258	-0.42216163873672485	0.1312357	No	
row_54	Ell2	11248	-0.6682823896408081	0.08280712	No	
row_55	Adrm1	12274	-0.9200700521469116	0.03315575	No	
row_56	Cenpn	12902	-1.0838136672973633	0.004020564	No	
row_57	Slc26a2	12949	-1.095787763595581	0.0042958222	No	
row_58	Gnai3	13143	-1.1489834785461426	-0.0027366295	No	
row_59	Spdef	13770	-1.3314892053604126	-0.031233229	No	
row_60	Mertk	13866	-1.3624378442764282	-0.03280291	No	
row_61	Itgav	14064	-1.4309402704238892	-0.039368242	No	
row_62	Azgp1	14214	-1.4783967733383179	-0.04339348	No	
row_63	Hmgcs1	15039	-1.7786462306976318	-0.080841616	No	
row_64	Arid5b	15201	-1.8412227630615234	-0.08461232	No	
row_65	Ank	15579	-2.003053903579712	-0.09892224	No	
row_66	Stk39	16323	-2.402233362197876	-0.13079362	No	
row_67	Abcc4	16998	-2.859633207321167	-0.15808962	No	
row_68	Ptk2b	17107	-2.95269513130188	-0.15654124	No	
row_69	Ptpn21	17223	-3.0499064922332764	-0.15511608	No	
row_70	Nkx3-1	17282	-3.091909885406494	-0.15070863	No	
row_71	Cdk6	17410	-3.207170248031616	-0.14951696	No	
row_72	Gucy1a1	17437	-3.2382009029388428	-0.14314389	No	
row_73	Arxes2	17520	-3.318507671356201	-0.13941218	No	
row_74	Tnfaip8	17555	-3.3614704608917236	-0.13315102	No	
row_75	Inpp4b	17566	-3.3775534629821777	-0.12563798	No	
row_76	Pa2g4	17593	-3.413445472717285	-0.11884887	No	
row_77	Maf	17762	-3.60504150390625	-0.11878602	No	
row_78	Ncoa4	17811	-3.663402795791626	-0.112516046	No	
row_79	Plpp1	17822	-3.669534921646118	-0.1043098	No	
row_80	Srp19	18091	-4.018621921539307	-0.10832221	No	
row_81	Idi1	18115	-4.041408061981201	-0.099890515	No	
row_82	Lman1	18330	-4.343295097351074	-0.100401245	No	
row_83	Hsd17b14	18336	-4.358586311340332	-0.090306245	No	
row_84	Pmepa1	18404	-4.475695610046387	-0.08306863	No	
row_85	Ccnd1	18514	-4.659888744354248	-0.07751773	No	
row_86	Steap4	18519	-4.665937900543213	-0.06664246	No	
row_87	Adamts1	18521	-4.668218612670898	-0.05561006	No	
row_88	Iqgap2	18744	-5.114524841308594	-0.054694362	No	
row_89	Akap12	18946	-5.732654571533203	-0.051249143	No	
row_90	Sord	18996	-5.849432468414307	-0.039839815	No	
row_91	Sgk1	19035	-5.966226100921631	-0.027596919	No	
row_92	B2m	19136	-6.353000164031982	-0.0175712	No	
row_93	Uap1	19696	-10.519968032836914	-0.020864844	No	
row_94	Dbi	19762	-12.430970191955566	0.005360784	No	
