NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Xbp1	76	19.230937957763672	0.018969892	No	
row_1	Aplp1	95	18.24083709716797	0.03971285	No	
row_2	Nfkbiz	215	14.21692943572998	0.05054334	No	
row_3	Tnfrsf21	219	14.16248607635498	0.0672065	No	
row_4	Irf6	248	13.374756813049316	0.081663385	No	
row_5	Alcam	255	13.224640846252441	0.09706048	No	
row_6	Slc39a8	295	12.457340240478516	0.109868854	No	
row_7	Nrp1	302	12.35417652130127	0.12423242	No	
row_8	Cdc42se2	398	11.265673637390137	0.1327789	No	
row_9	Rhob	469	10.562812805175781	0.14176182	No	
row_10	Syt11	607	9.45272445678711	0.14602049	No	
row_11	Rora	782	8.4880952835083	0.14725278	No	
row_12	Arl4a	820	8.349635124206543	0.15528558	No	
row_13	Hopx	880	8.080411911010742	0.16188028	No	
row_14	S100a1	1103	7.2405595779418945	0.15919106	No	
row_15	Flt3l	1263	6.699625015258789	0.15906242	No	
row_16	Huwe1	1287	6.642096042633057	0.16577955	No	
row_17	Pou2f1	1305	6.577095031738281	0.17272452	No	
row_18	Slc1a5	1309	6.558526515960693	0.1803592	No	
row_19	Ptch1	1421	6.260758876800537	0.18214972	No	
row_20	Drc1	1453	6.181157112121582	0.18791285	No	
row_21	Map6	1459	6.171543598175049	0.19498637	No	
row_22	Ckap4	1531	5.995553970336914	0.19849557	No	
row_23	Ikzf4	1590	5.863780498504639	0.20250921	No	
row_24	Smpdl3a	1637	5.750026702880859	0.20699786	No	
row_25	Maff	1650	5.735902309417725	0.21319826	No	
row_26	Anxa4	1783	5.497474193572998	0.2130149	No	
row_27	Ttc39b	1879	5.309560775756836	0.21448946	No	
row_28	Eef1akmt1	1891	5.282115459442139	0.2202019	No	
row_29	Socs2	1986	5.1215691566467285	0.22150408	No	
row_30	Uck2	2033	5.057812690734863	0.22517082	No	
row_31	Enpp1	2077	4.979587554931641	0.22889721	No	
row_32	Snx14	2369	4.5283989906311035	0.21947986	No	
row_33	Fgl2	2433	4.446165084838867	0.22155611	No	
row_34	Mxd1	2450	4.427659034729004	0.22599983	No	
row_35	Igf2r	2569	4.280109882354736	0.22508278	No	
row_36	P2rx4	2988	3.8018696308135986	0.20834626	No	
row_37	Lrig1	3144	3.636960506439209	0.20478454	No	
row_38	Hycc2	3183	3.6031131744384766	0.20713079	No	
row_39	Bmpr2	3472	3.318164825439453	0.19642898	No	
row_40	Hk2	3801	3.0034375190734863	0.18331994	No	
row_41	Umps	3817	2.985349178314209	0.18610199	No	
row_42	Hipk2	4130	2.7414121627807617	0.17349525	No	
row_43	Batf	4462	2.4546446800231934	0.1595821	No	
row_44	Dennd5a	4529	2.411074161529541	0.15908949	No	
row_45	P4ha1	4554	2.3938443660736084	0.16071166	No	
row_46	Snx9	4757	2.2550885677337646	0.15311977	No	
row_47	Twsg1	4799	2.2229573726654053	0.15367478	No	
row_48	Igf1r	4918	2.146904706954956	0.15022491	No	
