NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd9	5	31.862672805786133	0.084721975	No	
row_1	Tnfrsf21	219	14.16248607635498	0.1117257	No	
row_2	Il1r1	707	8.878796577453613	0.110788755	No	
row_3	Jun	1004	7.577723979949951	0.11603624	No	
row_4	Socs3	1434	6.231988906860352	0.110972166	No	
row_5	Cbl	2637	4.189625263214111	0.061389327	No	
row_6	Irf1	2775	4.047348976135254	0.065258436	No	
row_7	Grb2	3469	3.321143865585327	0.039087303	No	
row_8	Il6st	3647	3.1353085041046143	0.038502246	No	
row_9	Ptpn11	4573	2.3765828609466553	-0.0019145872	No	
row_10	Stam2	4688	2.300009250640869	-0.0015429142	No	
row_11	Stat3	5146	1.9985238313674927	-0.019312516	No	
row_12	Csf2ra	5899	1.5573334693908691	-0.05316977	No	
row_13	Acvr1b	5910	1.551464319229126	-0.04953762	No	
row_14	Tnfrsf1b	6298	1.3379775285720825	-0.06553063	No	
row_15	Itga4	6386	1.285895586013794	-0.06649876	No	
row_16	Ebi3	6470	1.2431994676589966	-0.06737857	No	
row_17	Myd88	6723	1.0991932153701782	-0.07718469	No	
row_18	Ltbr	7161	0.8972046375274658	-0.09688049	No	
row_19	Ltb	7394	0.7743498086929321	-0.10654202	No	
row_20	Itgb3	7847	0.5571406483650208	-0.12790293	No	
row_21	Hax1	8226	0.3974928557872772	-0.1459492	No	
row_22	Crlf2	8411	0.3189011812210083	-0.15439917	No	
row_23	Ptpn2	8531	0.27039459347724915	-0.15969302	No	
row_24	Cd36	8733	0.1965462863445282	-0.16932857	No	
row_25	Il17ra	9405	-0.09071598947048187	-0.20300293	No	
row_26	Ptpn1	9602	-0.1607525795698166	-0.21248122	No	
row_27	Stat2	9891	-0.2841171622276306	-0.22628072	No	
row_28	Acvrl1	11284	-0.6760345101356506	-0.29483768	No	
row_29	Il10rb	11382	-0.7003577947616577	-0.29787284	No	
row_30	Ifnar1	11405	-0.707471489906311	-0.2970981	No	
row_31	Reg1	11462	-0.7252248525619507	-0.29799455	No	
row_32	Tyk2	12034	-0.8598182201385498	-0.3245632	No	
row_33	Inhbe	12089	-0.8750760555267334	-0.32495895	No	
row_34	Pla2g2a	12444	-0.9618351459503174	-0.3402871	No	
row_35	Pim1	12743	-1.0411773920059204	-0.35257304	No	
row_36	Il6	13463	-1.2427793741226196	-0.38560116	No	
