NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ffar2	54	20.694744110107422	0.022794072	No	
row_1	Btg2	72	19.468202590942383	0.04595533	No	
row_2	Atp2a2	182	15.142572402954102	0.059101693	No	
row_3	Sgms2	339	11.867016792297363	0.06581656	No	
row_4	Kif1b	570	9.661703109741211	0.06604818	No	
row_5	Il1r1	707	8.878796577453613	0.070092	No	
row_6	Ldlr	1219	6.823872089385986	0.052537236	No	
row_7	Gch1	1405	6.298235893249512	0.05090557	No	
row_8	Gpr183	1495	6.085214614868164	0.05389105	No	
row_9	Il18	1706	5.61880350112915	0.050150067	No	
row_10	Atp2b1	1798	5.457210540771484	0.052258868	No	
row_11	Rela	1831	5.391852855682373	0.0572862	No	
row_12	Ly6e	2272	4.670013427734375	0.04068258	No	
row_13	Atp2c1	2442	4.437379837036133	0.037567798	No	
row_14	Mxd1	2450	4.427659034729004	0.042676073	No	
row_15	Met	2586	4.253620147705078	0.041062858	No	
row_16	Irf1	2775	4.047348976135254	0.036500905	No	
row_17	Hpn	2970	3.822580099105835	0.031356562	No	
row_18	Abi1	2978	3.8135178089141846	0.035706937	No	
row_19	P2rx4	2988	3.8018696308135986	0.039941266	No	
row_20	Gabbr1	3238	3.5415971279144287	0.031654317	No	
row_21	Psen1	3495	3.298502206802368	0.022711532	No	
row_22	Selenos	3526	3.255763053894043	0.025204413	No	
row_23	Slc31a2	4071	2.792041778564453	9.965145E-4	No	
row_24	Raf1	4125	2.7441608905792236	0.0016888597	No	
row_25	Hbegf	4230	2.645068407058716	-3.3360088E-4	No	
row_26	Kcnj2	4375	2.5243515968322754	-0.0045383833	No	
row_27	Slc11a2	5283	1.9236863851547241	-0.048270527	No	
row_28	Acvr1b	5910	1.551464319229126	-0.078177765	No	
row_29	Sema4d	6158	1.4192912578582764	-0.08898216	No	
row_30	Rgs16	6177	1.4106662273406982	-0.088156275	No	
row_31	Tnfrsf1b	6298	1.3379775285720825	-0.092605144	No	
row_32	Ebi3	6470	1.2431994676589966	-0.09976348	No	
row_33	Acvr2a	6628	1.1555066108703613	-0.10631838	No	
row_34	Slc31a1	6677	1.1285650730133057	-0.107365645	No	
row_35	Il10	6712	1.1043580770492554	-0.10773112	No	
row_36	Nampt	7178	0.8885281085968018	-0.13027225	No	
row_37	Lif	7281	0.8365433812141418	-0.13442492	No	
row_38	P2rx7	7283	0.8361672759056091	-0.13344385	No	
row_39	Ptafr	7387	0.7783784866333008	-0.13771914	No	
row_40	Lcp2	7707	0.6296036243438721	-0.1531581	No	
row_41	Itgb3	7847	0.5571406483650208	-0.1595364	No	
row_42	Klf6	7874	0.5433781147003174	-0.16018751	No	
row_43	Hif1a	7984	0.4926321506500244	-0.16512044	No	
row_44	Sele	8107	0.44473719596862793	-0.1707733	No	
row_45	Tapbp	8413	0.318345308303833	-0.1858847	No	
