NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gnao1	74	19.303834915161133	0.020161603	No	
row_1	Cacna1h	176	15.281780242919922	0.033965934	No	
row_2	Gpx3	201	14.64589786529541	0.05089679	No	
row_3	Sptan1	251	13.35072135925293	0.06495154	No	
row_4	Svil	386	11.340128898620605	0.072193205	No	
row_5	Myom2	449	10.76869010925293	0.082387075	No	
row_6	Eif4a2	543	9.887959480285645	0.089913435	No	
row_7	Kcnh2	721	8.815573692321777	0.0918403	No	
row_8	Dmpk	772	8.560342788696289	0.09990738	No	
row_9	Myh9	816	8.36248779296875	0.10808513	No	
row_10	Pick1	839	8.257193565368652	0.1172	No	
row_11	Nav2	923	7.905591011047363	0.122777954	No	
row_12	Pkia	1022	7.533217906951904	0.12713183	No	
row_13	Atp6ap1	1157	7.03972053527832	0.1290439	No	
row_14	Fhl1	1187	6.9423651695251465	0.13617341	No	
row_15	Rb1	1304	6.578429222106934	0.13842891	No	
row_16	Plxnb2	1375	6.365053653717041	0.14275853	No	
row_17	Ptp4a3	1379	6.357324123382568	0.1504848	No	
row_18	Mapre3	1383	6.344526767730713	0.1581952	No	
row_19	Gabarapl2	1476	6.127167224884033	0.16111156	No	
row_20	Ak1	1645	5.739008903503418	0.15968312	No	
row_21	Fkbp1b	1967	5.155494689941406	0.14975317	No	
row_22	Camk2b	1992	5.1093363761901855	0.15486515	No	
row_23	Mef2a	2075	4.981231212615967	0.15686972	No	
row_24	Bag1	2084	4.965097904205322	0.16261637	No	
row_25	App	2240	4.719514846801758	0.16058534	No	
row_26	Ldb3	2288	4.648157596588135	0.1639565	No	
row_27	Ncam1	2496	4.373202800750732	0.15885265	No	
row_28	Lpin1	2498	4.365525722503662	0.16421211	No	
row_29	Tsc2	2511	4.348719596862793	0.1689915	No	
row_30	Pdlim7	2683	4.143999099731445	0.16543382	No	
row_31	Foxo4	2800	4.01835298538208	0.16451655	No	
row_32	Adcy9	3308	3.4710795879364014	0.14304304	No	
row_33	Sorbs1	3675	3.1113860607147217	0.12829204	No	
row_34	Klf5	3722	3.074251174926758	0.12976344	No	
row_35	Mef2d	3964	2.87920880317688	0.12107955	No	
row_36	Ocel1	4090	2.7728817462921143	0.11816119	No	
row_37	Acsl1	4123	2.746159791946411	0.119937725	No	
row_38	Hbegf	4230	2.645068407058716	0.1178269	No	
row_39	Sh2b1	4357	2.540600538253784	0.11456983	No	
row_40	Ablim1	4394	2.5085763931274414	0.11584856	No	
row_41	Speg	4651	2.3215479850769043	0.10571097	No	
row_42	Dtna	4711	2.282970428466797	0.10554081	No	
row_43	Agl	4783	2.236030340194702	0.10470242	No	
row_44	Sh3bgr	4827	2.19765043258667	0.10523994	No	
row_45	Akt2	5152	1.9957367181777954	0.09124152	No	
