NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	St3gal6	192	14.73834228515625	0.11159568	No	
row_1	Lfng	1115	7.177473545074463	0.12417678	No	
row_2	Dtx4	1561	5.9232025146484375	0.15048307	No	
row_3	Dll1	2522	4.337185382843018	0.13777722	No	
row_4	Cul1	3011	3.7686893939971924	0.14418742	No	
row_5	Ppard	4106	2.758270263671875	0.111734405	No	
row_6	Tcf7l2	4978	2.11038875579834	0.085191905	No	
row_7	Maml2	5381	1.854256272315979	0.080184504	No	
row_8	Psenen	6484	1.236375331878662	0.03480528	No	
row_9	Psen2	6936	1.002119779586792	0.020315938	No	
row_10	Fbxw11	7591	0.6794091463088989	-0.007062233	No	
row_11	Prkca	9265	-0.027650991454720497	-0.091172054	No	
row_12	Aph1a	9640	-0.17592553794384003	-0.10857811	No	
row_13	Skp1	10322	-0.4434289336204529	-0.13925913	No	
row_14	Arrb1	11618	-0.7599326372146606	-0.19828807	No	
row_15	Fzd5	12132	-0.887041449546814	-0.2168498	No	
row_16	Dtx1	12942	-1.0935947895050049	-0.24863353	No	
row_17	Sap30	13635	-1.2913155555725098	-0.27289224	No	
row_18	Wnt5a	14190	-1.4706121683120728	-0.2887189	No	
row_19	Rbx1	14345	-1.5172474384307861	-0.28399748	No	
row_20	Kat2a	16822	-2.724235773086548	-0.38639835	Yes	
row_21	Wnt2	16947	-2.8226630687713623	-0.36942297	Yes	
row_22	Heyl	17708	-3.544524908065796	-0.37856907	Yes	
row_23	Notch3	18006	-3.9303412437438965	-0.36120024	Yes	
row_24	Ccnd1	18514	-4.659888744354248	-0.34841463	Yes	
row_25	Fzd7	18988	-5.839607238769531	-0.3242077	Yes	
row_26	Hes1	19247	-6.850568771362305	-0.28084373	Yes	
row_27	Dtx2	19253	-6.8585429191589355	-0.22466022	Yes	
row_28	Notch1	19345	-7.417148113250732	-0.16821554	Yes	
row_29	Jag1	19393	-7.672521114349365	-0.107451454	Yes	
row_30	Notch2	19424	-7.822011470794678	-0.044600297	Yes	
row_31	Fzd1	19470	-8.134208679199219	0.020063618	Yes	
