NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Insm1	34	22.474220275878906	0.111649215	Yes	
row_1	Chga	50	21.129064559936523	0.21747138	Yes	
row_2	Foxa2	147	16.107271194458008	0.29387805	Yes	
row_3	Stxbp1	197	14.671130180358887	0.36541072	Yes	
row_4	Syt13	217	14.20928955078125	0.43612665	Yes	
row_5	Abcc8	313	12.190155029296875	0.49282512	Yes	
row_6	Pcsk1	383	11.367067337036133	0.54668295	Yes	
row_7	Iapp	1105	7.237527847290039	0.54683125	Yes	
row_8	Gck	1122	7.152064800262451	0.58210063	Yes	
row_9	Isl1	1294	6.610352516174316	0.60682106	Yes	
row_10	Foxo1	2583	4.259854316711426	0.5633564	No	
row_11	Neurog3	3354	3.4351446628570557	0.5418538	No	
row_12	Pklr	3464	3.3271026611328125	0.55313957	No	
row_13	Nkx2-2	3691	3.0955090522766113	0.55735695	No	
row_14	Dpp4	4029	2.8254952430725098	0.5546148	No	
row_15	Dcx	4478	2.440817356109619	0.54433465	No	
row_16	Neurod1	4776	2.2427432537078857	0.5406701	No	
row_17	Pax6	4904	2.154017448425293	0.5451309	No	
row_18	Srprb	5544	1.7618929147720337	0.52179426	No	
row_19	Pcsk2	5604	1.7324116230010986	0.52755755	No	
row_20	Srp14	5881	1.5658289194107056	0.52153754	No	
row_21	Akt3	6595	1.1721827983856201	0.49149463	No	
row_22	Spcs1	7988	0.4915999174118042	0.42377767	No	
row_23	Pax4	8185	0.41232621669769287	0.4159735	No	
row_24	Scgn	9470	-0.11261744797229767	0.3517912	No	
row_25	Nkx6-1	9562	-0.14591562747955322	0.3479382	No	
row_26	Slc2a2	10101	-0.366362988948822	0.3226556	No	
row_27	Elp4	10161	-0.3927108943462372	0.3216612	No	
row_28	Sst	10218	-0.4098081588745117	0.32090434	No	
row_29	Pdx1	10490	-0.4950703978538513	0.3097354	No	
row_30	Ins2	14121	-1.4485498666763306	0.13398616	No	
row_31	G6pc2	14151	-1.4594347476959229	0.13988537	No	
row_32	Gcg	16753	-2.679522752761841	0.022236425	No	
row_33	Pak3	17398	-3.195615291595459	0.0058796066	No	
row_34	Sec11a	17432	-3.2330827713012695	0.02052368	No	
row_35	Mafb	17723	-3.561541795730591	0.023864396	No	
row_36	Lmo2	17897	-3.7617554664611816	0.034115173	No	
row_37	Vdr	18451	-4.54655647277832	0.029161738	No	
row_38	Hnf1a	19509	-8.375104904174805	0.018104114	No	
