NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gpx3	201	14.64589786529541	0.06051157	No	
row_1	Txnrd1	789	8.465474128723145	0.07173426	No	
row_2	Mbp	877	8.098655700683594	0.10641318	No	
row_3	Prdx2	979	7.649448394775391	0.13821878	No	
row_4	Ndufa6	1327	6.49266242980957	0.15203293	No	
row_5	Gclm	1403	6.300664901733398	0.17864369	No	
row_6	Gsr	1455	6.178274631500244	0.20587488	No	
row_7	Stk25	1916	5.24180269241333	0.20795381	No	
row_8	Sbno2	2096	4.9414472579956055	0.2227607	No	
row_9	Sod1	2479	4.394103527069092	0.22468552	No	
row_10	Cdkn2d	2858	3.9401049613952637	0.22462204	No	
row_11	Selenos	3526	3.255763053894043	0.20667678	No	
row_12	Scaf4	3602	3.1775994300842285	0.21822177	No	
row_13	Ptpa	4113	2.7530059814453125	0.20577209	No	
row_14	Junb	4198	2.6757068634033203	0.21444185	No	
row_15	Egln2	4507	2.4221410751342773	0.21058728	No	
row_16	G6pdx	4848	2.185433864593506	0.20397636	No	
row_17	Ercc2	5633	1.719154715538025	0.17271562	No	
row_18	Glrx2	5770	1.643082618713379	0.17378049	No	
row_19	Pdlim1	6998	0.9668914079666138	0.11654077	No	
row_20	Sod2	7056	0.9385446906089783	0.118192606	No	
row_21	Hmox2	7417	0.7628194689750671	0.10370992	No	
row_22	Oxsr1	7433	0.7558886408805847	0.10659958	No	
row_23	Txnrd2	7754	0.6053318381309509	0.09337523	No	
row_24	Hhex	8017	0.4813258647918701	0.08247886	No	
row_25	Glrx	9102	0.04471353441476822	0.028005086	No	
row_26	Ndufs2	9200	-0.002327681751921773	0.023122516	No	
row_27	Ftl1	10036	-0.3414468467235565	-0.01735737	No	
row_28	Msra	12115	-0.882899820804596	-0.11793653	No	
row_29	Lamtor5	13445	-1.2377418279647827	-0.17901573	No	
row_30	Pfkp	13502	-1.2516413927078247	-0.17580305	No	
row_31	Fes	13550	-1.2677698135375977	-0.17205851	No	
row_32	Abcc1	13702	-1.309246301651001	-0.17336084	No	
row_33	Prdx1	16140	-2.2797083854675293	-0.28531384	No	
row_34	Cat	17630	-3.4621551036834717	-0.34373462	Yes	
row_35	Gclc	17663	-3.500474452972412	-0.32846266	Yes	
row_36	Gpx4	17948	-3.842738628387451	-0.3242534	Yes	
row_37	Mpo	18122	-4.055174350738525	-0.31341922	Yes	
row_38	Prnp	18939	-5.685215473175049	-0.327162	Yes	
row_39	Ipcef1	19117	-6.280349254608154	-0.30579528	Yes	
row_40	Srxn1	19153	-6.410837650299072	-0.276635	Yes	
row_41	Prdx6	19208	-6.676968574523926	-0.24714944	Yes	
row_42	Nqo1	19249	-6.853821277618408	-0.21610442	Yes	
row_43	Atox1	19298	-7.183010578155518	-0.183875	Yes	
row_44	Prdx4	19379	-7.558416366577148	-0.15144905	Yes	
row_45	Mgst1	19627	-9.403478622436523	-0.11854787	Yes	
row_46	Lsp1	19740	-11.621068000793457	-0.068138	Yes	
row_47	Txn1	19833	-15.452908515930176	0.0017658331	Yes	
