NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Abca3	117	20.549091339111328	0.045053557	Yes	
row_1	Abca1	193	17.094131469726562	0.08366227	Yes	
row_2	Atxn1	316	13.759906768798828	0.11162114	Yes	
row_3	Lipe	402	12.038090705871582	0.13718143	Yes	
row_4	Crot	634	9.264225006103516	0.14847131	Yes	
row_5	Hsd17b11	774	8.075221061706543	0.16146803	Yes	
row_6	Isoc1	1022	6.866879940032959	0.16600113	Yes	
row_7	Sod1	1105	6.463358402252197	0.17788427	Yes	
row_8	Tfcp2l1	1132	6.358007907867432	0.19234037	Yes	
row_9	Optn	1308	5.753355979919434	0.19775529	Yes	
row_10	Aldh9a1	1350	5.588374614715576	0.20954302	Yes	
row_11	Slc23a2	1368	5.545849800109863	0.22243994	Yes	
row_12	Cyp27a1	1931	4.155872821807861	0.20430505	Yes	
row_13	Abca2	1945	4.126039028167725	0.21388237	Yes	
row_14	Hsd17b4	1986	4.027310848236084	0.22184825	Yes	
row_15	Pex6	2019	3.9516849517822266	0.23003142	Yes	
row_16	Nr3c2	2067	3.8646557331085205	0.23723951	Yes	
row_17	Mlycd	2154	3.727970600128174	0.24213466	Yes	
row_18	Abca5	2269	3.4944863319396973	0.24503346	Yes	
row_19	Fdxr	2586	2.977447032928467	0.23642595	No	
row_20	Pex26	2991	2.486231565475464	0.22214602	No	
row_21	Pnpla8	3107	2.3576347827911377	0.22217408	No	
row_22	Slc22a18	3340	2.1192104816436768	0.21568903	No	
row_23	Slc27a2	3396	2.071169137954712	0.2180432	No	
row_24	Nedd4	3623	1.8375695943832397	0.21116318	No	
row_25	Abcd1	3654	1.8090870380401611	0.21413252	No	
row_26	Gclm	3806	1.676256537437439	0.21064827	No	
row_27	Cyp7b1	3863	1.6269128322601318	0.21184978	No	
row_28	Pex11g	4031	1.477091670036316	0.20706166	No	
row_29	Lonp2	4101	1.416429042816162	0.20708308	No	
row_30	Nudt12	4183	1.3426752090454102	0.20631418	No	
row_31	Dio2	4597	1.0557236671447754	0.18803014	No	
row_32	Gnpat	4713	0.9749917387962341	0.18462834	No	
row_33	Scp2	5008	0.8040979504585266	0.17174298	No	
row_34	Hsd3b7	5161	0.7145766615867615	0.1658225	No	
row_35	Cyp7a1	5189	0.6993135809898376	0.16619073	No	
row_36	Slc27a5	5926	0.3280658423900604	0.12975381	No	
row_37	Dhcr24	6207	0.1830008327960968	0.1160363	No	
row_38	Abcd2	6797	-0.10670716315507889	0.086490296	No	
row_39	Abca6	6837	-0.13331417739391327	0.08484712	No	
row_40	Abcg4	6965	-0.1857319325208664	0.07888008	No	
row_41	Lck	7041	-0.2209877073764801	0.07563235	No	
row_42	Klf1	7589	-0.4550012946128845	0.049076058	No	
row_43	Pex1	7767	-0.5016405582427979	0.04136206	No	
row_44	Serpina6	7778	-0.5037683844566345	0.04210561	No	
row_45	Aldh8a1	8114	-0.578369677066803	0.02658519	No	
row_46	Abca9	8308	-0.6246620416641235	0.018366566	No	
row_47	Paox	8931	-0.7779924869537354	-0.01118442	No	
row_48	Pex12	9446	-0.9084656834602356	-0.034945607	No	
row_49	Cyp39a1	9624	-0.953276515007019	-0.041539256	No	
row_50	Pex19	9739	-0.9802214503288269	-0.044877477	No	
row_51	Bcar3	10125	-1.0819697380065918	-0.061679263	No	
row_52	Idh2	10579	-1.2008612155914307	-0.081627764	No	
row_53	Slco1a4	10699	-1.233321189880371	-0.084591195	No	
row_54	Slc23a1	10981	-1.3098641633987427	-0.095563956	No	
row_55	Nr0b2	11115	-1.351434588432312	-0.098942965	No	
row_56	Abcd3	11684	-1.525048017501831	-0.12390769	No	
row_57	Efhc1	12003	-1.6252715587615967	-0.1359707	No	
row_58	Cyp46a1	12024	-1.630925178527832	-0.1329372	No	
row_59	Retsat	12052	-1.640862226486206	-0.13023332	No	
row_60	Cyp8b1	12325	-1.7280725240707397	-0.13971314	No	
row_61	Npc1	12329	-1.7291501760482788	-0.13557555	No	
row_62	Hacl1	12428	-1.7631765604019165	-0.13616173	No	
row_63	Nr1h4	12731	-1.8735146522521973	-0.14679913	No	
row_64	Rxra	13307	-2.0910589694976807	-0.17071407	No	
row_65	Hao1	13351	-2.1080451011657715	-0.16766107	No	
row_66	Cat	13485	-2.1600265502929688	-0.16903424	No	
row_67	Aqp9	13688	-2.25400972366333	-0.17366652	No	
row_68	Nr1i2	13943	-2.362607955932617	-0.18066126	No	
row_69	Pxmp2	13966	-2.3705663681030273	-0.17589419	No	
row_70	Abca8b	13998	-2.3874917030334473	-0.17154062	No	
row_71	Akr1d1	14007	-2.3929522037506104	-0.16600943	No	
row_72	Ttr	14124	-2.448883295059204	-0.16580564	No	
row_73	Gstk1	14432	-2.5886311531066895	-0.17492214	No	
row_74	Agxt	14594	-2.6714375019073486	-0.17644383	No	
row_75	Acsl1	14918	-2.8583109378814697	-0.18570115	No	
row_76	Aldh1a1	15026	-2.9323904514312744	-0.18384244	No	
row_77	Bmp6	15182	-3.0165088176727295	-0.18420443	No	
row_78	Pipox	15366	-3.1457953453063965	-0.18566288	No	
row_79	Gc	15448	-3.1994035243988037	-0.18182586	No	
row_80	Fads1	15480	-3.2181780338287354	-0.17541166	No	
row_81	Sult1b1	15553	-3.263986110687256	-0.17095892	No	
row_82	Rxrg	15827	-3.4531683921813965	-0.17621	No	
row_83	Amacr	15901	-3.512557029724121	-0.17119126	No	
row_84	Pex11a	15950	-3.5465445518493652	-0.1648229	No	
row_85	Acsl5	15976	-3.572237491607666	-0.15722673	No	
row_86	Abca4	15977	-3.5726919174194336	-0.14836411	No	
row_87	Dio1	16042	-3.625647783279419	-0.14260931	No	
row_88	Pex13	16180	-3.7352802753448486	-0.14027728	No	
row_89	Abcg8	16459	-3.966627359390259	-0.14450769	No	
row_90	Apoa1	16669	-4.176496982574463	-0.14472523	No	
row_91	Idh1	16841	-4.376228332519531	-0.14252405	No	
row_92	Pex7	17012	-4.568944454193115	-0.13979419	No	
row_93	Gnmt	17134	-4.700336933135986	-0.13425836	No	
row_94	Pfkm	17158	-4.721924781799316	-0.123708986	No	
row_95	Fads2	17163	-4.734503269195557	-0.11216676	No	
row_96	Soat2	17240	-4.816162109375	-0.104066074	No	
row_97	Pecr	17242	-4.818297863006592	-0.09216415	No	
row_98	Hsd17b6	17277	-4.859426498413086	-0.08183041	No	
row_99	Bbox1	17287	-4.874594688415527	-0.07019373	No	
row_100	Ephx2	17536	-5.222883701324463	-0.06978944	No	
row_101	Ch25h	17695	-5.452101707458496	-0.064261414	No	
row_102	Slc35b2	18070	-6.085780620574951	-0.06809373	No	
row_103	Rbp1	18181	-6.30751895904541	-0.05801432	No	
row_104	Pex16	18192	-6.323805809020996	-0.04283326	No	
row_105	Idi1	18273	-6.507594585418701	-0.030739157	No	
row_106	Sult2b1	18602	-7.403454303741455	-0.02897461	No	
row_107	Phyh	18705	-7.7514190673828125	-0.0149084795	No	
row_108	Ar	18818	-8.13034439086914	-4.084891E-4	No	
row_109	Slc29a1	19005	-8.859942436218262	0.012156065	No	
row_110	Prdx5	19505	-12.686968803405762	0.018372467	No	
