NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sos1	66	25.354631423950195	0.024539318	Yes	
row_1	Arhgap4	69	24.99571418762207	0.05193745	Yes	
row_2	Dst	89	22.94807243347168	0.076218545	Yes	
row_3	Sptbn1	179	17.822429656982422	0.091301784	Yes	
row_4	Rasal2	203	16.85486602783203	0.10867589	Yes	
row_5	Sptan1	237	15.729888916015625	0.12430394	Yes	
row_6	Arhgef2	245	15.544695854187012	0.14105004	Yes	
row_7	Dync1h1	273	14.911124229431152	0.15608233	Yes	
row_8	Cdc42bpa	278	14.614209175109863	0.17195724	Yes	
row_9	Rabgap1	285	14.477629661560059	0.18758023	Yes	
row_10	Sun2	309	13.859166145324707	0.20165852	Yes	
row_11	Tlk1	317	13.747664451599121	0.21642756	Yes	
row_12	Ssh2	331	13.30604362487793	0.23040572	Yes	
row_13	Stk38l	378	12.36638069152832	0.24167238	Yes	
row_14	Myo1e	456	11.305439949035645	0.25019583	Yes	
row_15	Abr	457	11.303613662719727	0.26263183	Yes	
row_16	Arfgef1	472	11.130654335021973	0.27416584	Yes	
row_17	Akap13	473	11.127201080322266	0.28640777	Yes	
row_18	Kif5b	538	10.290596008300781	0.2944756	Yes	
row_19	Numa1	542	10.2670316696167	0.30561867	Yes	
row_20	Rasa2	577	9.729500770568848	0.31459436	Yes	
row_21	Cdc42ep1	594	9.592679977416992	0.32433462	Yes	
row_22	Epb41l2	619	9.384506225585938	0.33343914	Yes	
row_23	Apc	630	9.301277160644531	0.34316385	Yes	
row_24	Arhgdia	715	8.612970352172852	0.3483692	Yes	
row_25	Rapgef6	749	8.264010429382324	0.35578343	Yes	
row_26	Myo9b	753	8.240315437316895	0.36469677	Yes	
row_27	Kif1b	760	8.137447357177734	0.3733444	Yes	
row_28	Farp1	895	7.4547624588012695	0.37473357	Yes	
row_29	Lats1	932	7.242416858673096	0.38087136	Yes	
row_30	Nin	951	7.161108493804932	0.38783476	Yes	
row_31	Ckap5	1016	6.877065181732178	0.3921471	Yes	
row_32	Pcm1	1077	6.576056003570557	0.3963316	Yes	
row_33	Actn4	1092	6.524710178375244	0.40279824	Yes	
row_34	Kif3b	1106	6.4600090980529785	0.4092445	Yes	
row_35	Csnk1d	1118	6.423251628875732	0.41575202	Yes	
row_36	Rock1	1151	6.292191028594971	0.42104772	Yes	
row_37	Rapgef5	1200	6.145905494689941	0.42536905	Yes	
row_38	Shroom2	1235	6.0070414543151855	0.43024936	Yes	
row_39	Epb41	1286	5.820845603942871	0.43411142	Yes	
row_40	Hook3	1287	5.8207879066467285	0.44051534	Yes	
row_41	Rfc1	1458	5.282279968261719	0.4376842	Yes	
row_42	Stau1	1606	4.8956780433654785	0.43559703	Yes	
row_43	Cntrl	1632	4.823610782623291	0.4396329	Yes	
row_44	Klc1	1634	4.821146488189697	0.44488618	Yes	
row_45	Clip2	1661	4.733601093292236	0.4487722	Yes	
row_46	Pdlim5	1680	4.696972846984863	0.45302463	Yes	
row_47	Taok2	1699	4.65271520614624	0.45722833	Yes	
row_48	Map3k11	1748	4.528491497039795	0.45977023	Yes	
row_49	Pcnt	1776	4.449662208557129	0.46329302	Yes	
row_50	Myh9	1777	4.448874473571777	0.4681876	Yes	
row_51	Arhgef11	1877	4.260098934173584	0.46784142	Yes	
row_52	Nf1	1930	4.15609073638916	0.46977025	Yes	
row_53	Clasp1	1961	4.08601713180542	0.47274044	Yes	
row_54	Hdac6	2299	3.448639392852783	0.45940188	No	
row_55	Fgd6	2349	3.3762216567993164	0.46062523	No	
