NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Plk2	11	47.14738845825195	0.035898115	No	
row_1	Sdc4	93	22.662038803100586	0.04930448	No	
row_2	Tnc	143	19.26553726196289	0.061711054	No	
row_3	Abca1	193	17.094131469726562	0.07243857	No	
row_4	Vegfa	201	16.898441314697266	0.08514966	No	
row_5	Egr3	222	16.017925262451172	0.09651908	No	
row_6	B4galt5	244	15.569849014282227	0.107491195	No	
row_7	Btg2	249	15.434636116027832	0.11922288	No	
row_8	Nfat5	357	12.801226615905762	0.12368265	No	
row_9	Tiparp	363	12.67812728881836	0.133232	No	
row_10	Klf4	388	12.20142650604248	0.14144695	No	
row_11	Cd44	424	11.745752334594727	0.1487504	No	
row_12	Tnfaip3	455	11.310098648071289	0.15597112	No	
row_13	Irs2	476	11.082090377807617	0.16352387	No	
row_14	Zc3h12a	496	10.938939094543457	0.17101672	No	
row_15	Dusp5	551	10.180331230163574	0.17614391	No	
row_16	Egr2	609	9.458895683288574	0.18056074	No	
row_17	Ccnl1	815	7.804911136627197	0.1761756	No	
row_18	Pfkfb3	1081	6.568116664886475	0.16778423	No	
row_19	Plek	1181	6.193299770355225	0.167541	No	
row_20	Ier2	1189	6.177191734313965	0.17196177	No	
row_21	Nr4a3	1191	6.173363208770752	0.17668456	No	
row_22	Kdm6b	1289	5.81937837600708	0.17625384	No	
row_23	Slc16a6	1389	5.4917802810668945	0.17546815	No	
row_24	Btg1	1455	5.305408477783203	0.1762666	No	
row_25	Nr4a1	1486	5.209959506988525	0.17877032	No	
row_26	Pnrc1	1540	5.093444347381592	0.18001483	No	
row_27	Pdlim5	1680	4.696972846984863	0.17658131	No	
row_28	Klf10	1704	4.646086692810059	0.17900483	No	
row_29	Rhob	1802	4.396676540374756	0.17747399	No	
row_30	Map2k3	1824	4.352375507354736	0.17977206	No	
row_31	Per1	2131	3.7612974643707275	0.16712622	No	
row_32	Il6st	2151	3.7306790351867676	0.16904522	No	
row_33	Ptpre	2288	3.459955930709839	0.16480765	No	
row_34	Bhlhe40	2345	3.3859221935272217	0.1645793	No	
row_35	Rigi	2486	3.144408702850342	0.1598944	No	
row_36	Dnajb4	2652	2.8844797611236572	0.15373772	No	
row_37	Egr1	2690	2.8310701847076416	0.15404613	No	
row_38	Klf9	2691	2.8309593200683594	0.1562352	No	
row_39	Irf1	2902	2.5969438552856445	0.14756879	No	
row_40	Cdkn1a	2960	2.5161283016204834	0.14661705	No	
row_41	Tsc22d1	2992	2.4850807189941406	0.14696291	No	
row_42	Jun	3364	2.0969619750976562	0.12972607	No	
row_43	Zbtb10	3606	1.8540726900100708	0.11890946	No	
row_44	Bmp2	3762	1.7131195068359375	0.11235533	No	
