NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a11	13	14.551641464233398	0.06749026	Yes	
row_1	Cd9	33	13.035675048828125	0.12757802	Yes	
row_2	Mal2	48	11.468439102172852	0.18057881	Yes	
row_3	Alcam	104	8.785940170288086	0.21894625	Yes	
row_4	Clu	125	8.366909980773926	0.25711918	Yes	
row_5	Gpx8	133	8.226521492004395	0.29529127	Yes	
row_6	Atf3	145	7.914340972900391	0.33179936	Yes	
row_7	Lgals3	149	7.872376918792725	0.368515	Yes	
row_8	Errfi1	175	7.558224678039551	0.40264824	Yes	
row_9	Cxcl16	176	7.547329902648926	0.4379932	Yes	
row_10	Plscr1	185	7.311619758605957	0.47183022	Yes	
row_11	Tnfrsf12a	213	6.956140041351318	0.50304276	Yes	
row_12	Plaur	450	5.180907726287842	0.51538515	Yes	
row_13	Fbxo6	589	4.526595115661621	0.52961326	Yes	
row_14	Ebp	763	3.8745155334472656	0.53901976	Yes	
row_15	Actg1	965	3.3930094242095947	0.54475707	Yes	
row_16	Ech1	1076	3.1566388607025146	0.5539838	Yes	
row_17	Aldoc	1186	2.9504764080047607	0.5622956	Yes	
row_18	Ctnnb1	1308	2.7463080883026123	0.5690451	Yes	
row_19	Jag1	1505	2.4629688262939453	0.5706795	Yes	
row_20	Lgmn	1734	2.181804895401001	0.5693808	Yes	
row_21	Mvk	2078	1.8323982954025269	0.5606371	Yes	
row_22	Gusb	2100	1.813486099243164	0.56806916	Yes	
row_23	Gnai1	2136	1.7887412309646606	0.5746782	Yes	
row_24	Hmgcr	2338	1.6246421337127686	0.572134	Yes	
row_25	Sc5d	2339	1.6245659589767456	0.579742	Yes	
row_26	Nfil3	2610	1.417818546295166	0.5727441	No	
row_27	Pnrc1	2894	1.2416934967041016	0.5642647	No	
row_28	Ldlr	3187	1.0992634296417236	0.5546637	No	
row_29	Cpeb2	3399	1.0026501417160034	0.5487016	No	
row_30	Abca2	3724	0.8660379648208618	0.53639203	No	
row_31	Dhcr7	3891	0.791510283946991	0.5317141	No	
row_32	Fdps	4337	0.641082227230072	0.5122393	No	
row_33	Srebf2	5179	0.37922510504722595	0.47153622	No	
row_34	Atxn2	5274	0.3546466827392578	0.46844912	No	
row_35	Fdft1	5844	0.21118775010108948	0.44069785	No	
row_36	Acat2	5846	0.2103625386953354	0.44163248	No	
row_37	Hsd17b7	6339	0.08276588469743729	0.4171691	No	
row_38	Gldc	6526	0.036826130002737045	0.40794668	No	
row_39	Avpr1a	6573	0.026855748146772385	0.40574896	No	
row_40	Lss	6654	0.006331946235150099	0.4017378	No	
row_41	Pcyt2	6726	-0.010494565591216087	0.39820075	No	
row_42	Nsdhl	6770	-0.019845295697450638	0.39612174	No	
row_43	Fasn	6946	-0.05925985053181648	0.38755998	No	
row_44	Stx5a	7003	-0.07093772292137146	0.38506362	No	
row_45	Tm7sf2	7515	-0.1806287318468094	0.36009884	No	
row_46	Chka	9189	-0.401410847902298	0.2774752	No	
row_47	Pdk3	9257	-0.4078253507614136	0.27600092	No	
row_48	Pmvk	10056	-0.5002843141555786	0.23803669	No	
row_49	Trp53inp1	10244	-0.5209924578666687	0.23103116	No	
row_50	Ethe1	12074	-0.7615326642990112	0.14221443	No	
row_51	Mvd	12907	-0.8771405816078186	0.10429773	No	
row_52	Adh4	14289	-1.1062771081924438	0.03972402	No	
row_53	Sema3b	15566	-1.3764499425888062	-0.018280875	No	
row_54	Gstm7	15980	-1.4848068952560425	-0.032188058	No	
row_55	Hmgcs1	16414	-1.6056407690048218	-0.046539567	No	
row_56	Fads2	16515	-1.640650749206543	-0.04390724	No	
row_57	Sqle	17443	-2.007486343383789	-0.08132888	No	
row_58	Anxa5	17494	-2.035461187362671	-0.074322104	No	
row_59	Tmem97	17653	-2.104761838912964	-0.072445884	No	
row_60	Niban1	17712	-2.137061357498169	-0.065367386	No	
row_61	Stard4	17857	-2.220806360244751	-0.062240575	No	
row_62	Acss2	17913	-2.2582457065582275	-0.054443028	No	
row_63	Pparg	18018	-2.317629098892212	-0.048842378	No	
row_64	Lpl	18124	-2.387897253036499	-0.042963166	No	
row_65	Trib3	18295	-2.535810947418213	-0.03967442	No	
row_66	Idi1	18604	-2.8425889015197754	-0.0419194	No	
row_67	Cyp51	18628	-2.8699164390563965	-0.02964101	No	
row_68	Atf5	19464	-4.527353286743164	-0.05061491	No	
row_69	Antxr2	19548	-4.906782627105713	-0.031828262	No	
row_70	Fabp5	19857	-10.236969947814941	5.554339E-4	No	
