NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Irf7	4	16.514436721801758	0.033865858	Yes	
row_1	Timp2	26	13.35666275024414	0.06035362	Yes	
row_2	F3	30	13.18855094909668	0.08740903	Yes	
row_3	Cp	37	12.506315231323242	0.11290458	Yes	
row_4	Dusp6	88	9.398468017578125	0.12975337	Yes	
row_5	Ltf	103	8.798486709594727	0.14719328	Yes	
row_6	Ctsd	114	8.567955017089844	0.16436084	Yes	
row_7	Clu	125	8.366909980773926	0.18111365	Yes	
row_8	Lgals3	149	7.872376918792725	0.19618578	Yes	
row_9	Mmp15	162	7.753509044647217	0.21157154	Yes	
row_10	Cebpb	170	7.600259780883789	0.22689517	Yes	
row_11	Plscr1	185	7.311619758605957	0.24126771	Yes	
row_12	Ctsb	193	7.232231616973877	0.25583208	Yes	
row_13	Ctsl	195	7.2167067527771	0.27066925	Yes	
row_14	Cpq	219	6.891387939453125	0.28371763	Yes	
row_15	Itgam	299	6.183625221252441	0.29246098	Yes	
row_16	F5	441	5.205087661743164	0.29603583	Yes	
row_17	Plaur	450	5.180907726287842	0.30631754	Yes	
row_18	Hspa1a	460	5.109757423400879	0.3164017	Yes	
row_19	Fdx1	490	4.969422817230225	0.32518026	Yes	
row_20	Lap3	659	4.232804298400879	0.3253776	Yes	
row_21	Psmb9	729	3.987572431564331	0.33009854	Yes	
row_22	Ctsh	734	3.97920298576355	0.3381044	Yes	
row_23	Cfh	768	3.8663125038146973	0.34440404	Yes	
row_24	Serpinb2	853	3.6403186321258545	0.34764656	Yes	
row_25	Dusp5	905	3.540675640106201	0.35235998	Yes	
row_26	Pla2g7	1028	3.2609386444091797	0.35288933	Yes	
row_27	C3	1082	3.1396985054016113	0.35667396	Yes	
row_28	Plat	1100	3.0993282794952393	0.36220416	Yes	
row_29	Gnb2	1101	3.096949577331543	0.36859316	Yes	
row_30	Kif2a	1331	2.7191414833068848	0.36256889	Yes	
row_31	Serping1	1426	2.5705349445343018	0.36309642	Yes	
row_32	Gpd2	1427	2.5692851543426514	0.36839682	Yes	
row_33	Adam9	1507	2.4621918201446533	0.36946288	Yes	
row_34	Lamp2	1513	2.4553415775299072	0.3742742	Yes	
row_35	Csrp1	1578	2.365434408187866	0.37590268	Yes	
row_36	Timp1	1634	2.308271646499634	0.37787047	Yes	
row_37	Calm1	1653	2.2810046672821045	0.3816617	Yes	
row_38	Dpp4	1673	2.258913516998291	0.38535658	Yes	
row_39	Lgmn	1734	2.181804895401001	0.38680944	Yes	
row_40	Irf1	1748	2.1642465591430664	0.39061382	Yes	
row_41	Xpnpep1	1801	2.0926012992858887	0.3922891	Yes	
row_42	Raf1	1819	2.0717275142669678	0.39569938	Yes	
row_43	Phex	1841	2.0538859367370605	0.39886966	Yes	
row_44	Ang	1928	1.9769353866577148	0.39857903	No	
row_45	Prep	2048	1.8571853637695312	0.39636487	No	
row_46	Maff	2177	1.756180763244629	0.3934851	No	
row_47	Msrb1	2354	1.6101969480514526	0.38786563	No	
row_48	Lrp1	2365	1.599632740020752	0.39065763	No	
row_49	Gnai2	2487	1.5132663249969482	0.38763237	No	
row_50	Ppp2cb	2503	1.5012787580490112	0.38996744	No	
row_51	Psen1	2679	1.376002311706543	0.38391563	No	
row_52	Irf2	3055	1.1593706607818604	0.3672564	No	
row_53	Jak2	3071	1.154076099395752	0.3688752	No	
row_54	Sirt6	3151	1.1114646196365356	0.36715475	No	
row_55	Prkcd	3349	1.023795485496521	0.35925868	No	
row_56	Casp9	3431	0.9910369515419006	0.35718817	No	
row_57	Akap10	3575	0.9213435649871826	0.3518241	No	
row_58	Gata3	4033	0.7369012236595154	0.3301275	No	
row_59	Pdgfb	4231	0.6762061715126038	0.32151437	No	
row_60	Cblb	4386	0.6222683787345886	0.3149745	No	
row_61	Dgkh	4409	0.6144339442253113	0.3151244	No	
row_62	Rce1	4510	0.5830130577087402	0.31124687	No	
row_63	Brpf3	4598	0.5568623542785645	0.30797586	No	
row_64	Gzma	4794	0.4935120642185211	0.29908744	No	
row_65	Vcpip1	4994	0.43096211552619934	0.28986678	No	
row_66	Prdm4	5188	0.376692533493042	0.28083897	No	
row_67	Lyn	5412	0.31517845392227173	0.27016017	No	
row_68	Sh2b3	5430	0.31158918142318726	0.26993933	No	
row_69	Lck	5636	0.25743433833122253	0.26005587	No	
row_70	Tnfaip3	5867	0.20492401719093323	0.248794	No	
row_71	L3mbtl4	5896	0.19819945096969604	0.24778041	No	
row_72	Cpm	5988	0.170786052942276	0.2435097	No	
row_73	Mmp14	6037	0.15718932449817657	0.24139544	No	
row_74	Ppp4c	6076	0.14771246910095215	0.23976967	No	
row_75	Grb2	6157	0.1280716359615326	0.23596966	No	
row_76	Casp7	6342	0.0818103477358818	0.22679076	No	
row_77	Pfn1	6991	-0.06821433454751968	0.19401133	No	
row_78	C2	7176	-0.1092563346028328	0.18488903	No	
row_79	Usp14	7382	-0.1537511795759201	0.17479168	No	
row_80	Gmfb	7808	-0.23403054475784302	0.15368333	No	
row_81	C9	7934	-0.25440073013305664	0.14785783	No	
row_82	Gzmk	7987	-0.2599853277206421	0.14575243	No	
row_83	Rhog	8308	-0.2984452545642853	0.13011126	No	
row_84	Rbsn	8323	-0.3006357252597809	0.13002023	No	
row_85	Zeb1	8576	-0.330073744058609	0.1178989	No	
row_86	Cda	9263	-0.4083923101425171	0.083890766	No	
row_87	Tmprss6	9272	-0.4097490906715393	0.08432965	No	
row_88	Cd40lg	9499	-0.4354363679885864	0.07374654	No	
row_89	Atox1	9888	-0.48290959000587463	0.055031337	No	
row_90	Hpcal4	10006	-0.49420759081840515	0.05010697	No	
row_91	Cfb	10248	-0.5214664340019226	0.0389393	No	
row_92	Tfpi2	10615	-0.5686235427856445	0.02151858	No	
row_93	Stx4a	10669	-0.5753219127655029	0.02001292	No	
row_94	Ctss	11106	-0.629672646522522	-8.3804247E-4	No	
row_95	Il6	11113	-0.6306554675102234	1.5817554E-4	No	
row_96	Apoc1	11129	-0.6324633955955505	7.0089917E-4	No	
row_97	Lipa	11178	-0.6385475397109985	-4.2031423E-4	No	
row_98	Actn2	11455	-0.6747283339500427	-0.013049899	No	
row_99	Cd46	11556	-0.6892948150634766	-0.01670816	No	
row_100	Gngt2	11693	-0.707068681716919	-0.022158653	No	
row_101	Ctso	11757	-0.7155886888504028	-0.02388297	No	
row_102	Lta4h	12096	-0.7638174891471863	-0.039478533	No	
row_103	Usp8	12134	-0.7679840326309204	-0.03977389	No	
row_104	Mmp8	12334	-0.7949036955833435	-0.048243746	No	
row_105	Gp1ba	12345	-0.7960673570632935	-0.047109496	No	
row_106	Zfpm2	12359	-0.7983492016792297	-0.04612295	No	
row_107	Cd36	12420	-0.8067970275878906	-0.047506697	No	
row_108	Mmp13	12487	-0.8165042996406555	-0.049175236	No	
row_109	Dgkg	12768	-0.8553062677383423	-0.0616355	No	
