NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Slc12a2	10	15.141388893127441	0.07939292	No	
row_1	Cftr	248	6.5858917236328125	0.102139294	No	
row_2	Taldo1	426	5.297426223754883	0.12112624	No	
row_3	Pebp1	826	3.7003374099731445	0.12043875	No	
row_4	Map7	1583	2.3592734336853027	0.09458857	No	
row_5	Gstm5	1730	2.1861698627471924	0.09872824	No	
row_6	Tsn	1940	1.9679619073867798	0.098524794	No	
row_7	Ide	2333	1.629846453666687	0.08726616	No	
row_8	Agfg1	2372	1.5930322408676147	0.0937473	No	
row_9	Nphp1	2879	1.2496358156204224	0.074706964	No	
row_10	Parp2	3415	0.9980332255363464	0.05286978	No	
row_11	Mast2	3544	0.9387033581733704	0.051338598	No	
row_12	Hoxb1	3674	0.883460521697998	0.04946524	No	
row_13	Dpep3	3695	0.876096248626709	0.053075086	No	
row_14	Arl4a	3705	0.8721600770950317	0.05722143	No	
row_15	Sycp1	3804	0.8285109996795654	0.056628607	No	
row_16	Acrbp	3839	0.8171534538269043	0.059218165	No	
row_17	Hspa1l	3881	0.7952622175216675	0.061337575	No	
row_18	Ybx2	3941	0.7730715274810791	0.062427986	No	
row_19	Npy5r	3982	0.75505530834198	0.06438589	No	
row_20	H1f6	4064	0.728234052658081	0.06412515	No	
row_21	Dcc	4393	0.6189805269241333	0.050774597	No	
row_22	Pacrg	4408	0.6146060228347778	0.053308554	No	
row_23	Prm2	5121	0.3947812020778656	0.019321049	No	
row_24	Tle4	5327	0.3372807204723358	0.010715312	No	
row_25	Cnih2	5574	0.2758866548538208	-2.915005E-4	No	
row_26	Mtor	5603	0.2671842575073242	-3.0010857E-4	No	
row_27	Gfi1	5677	0.25049081444740295	-0.002676557	No	
row_28	Adam2	5796	0.22315824031829834	-0.0074769873	No	
row_29	Ip6k1	6082	0.14490874111652374	-0.02115074	No	
row_30	Ace	6619	0.013985147699713707	-0.048231307	No	
row_31	Chfr	6630	0.011537882499396801	-0.048677035	No	
