NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pmepa1	224	6.8308491706848145	0.039468236	Yes	
row_1	Id1	270	6.392375946044922	0.08471049	Yes	
row_2	Skil	275	6.368804931640625	0.13184659	Yes	
row_3	Smad7	311	6.072641372680664	0.17521697	Yes	
row_4	Tgif1	315	6.002058506011963	0.2196776	Yes	
row_5	Cdh1	319	5.996623992919922	0.2640978	Yes	
row_6	Tjp1	448	5.195838928222656	0.29625794	Yes	
row_7	Wwtr1	474	5.058816909790039	0.33259743	Yes	
row_8	Sptbn1	602	4.46443510055542	0.35937166	Yes	
row_9	Thbs1	611	4.443238258361816	0.39199358	Yes	
row_10	Klf10	823	3.7039265632629395	0.4088761	Yes	
row_11	Smad6	986	3.350382089614868	0.42560357	Yes	
row_12	Bmpr2	1114	3.0724294185638428	0.4420313	Yes	
row_13	Ctnnb1	1308	2.7463080883026123	0.45270443	Yes	
row_14	Bmpr1a	1377	2.6474862098693848	0.46895105	Yes	
row_15	Junb	1430	2.566169261932373	0.48540068	Yes	
row_16	Smad3	1481	2.4930832386016846	0.50140804	Yes	
row_17	Ski	1686	2.236130475997925	0.507734	Yes	
row_18	Ltbp2	1772	2.128769874572754	0.5192672	Yes	
row_19	Tgfbr1	1800	2.093803882598877	0.5334675	Yes	
row_20	Rhoa	1817	2.0733964443206787	0.54807115	Yes	
row_21	Acvr1	1835	2.062371015548706	0.56254244	Yes	
row_22	Smurf2	2422	1.5637714862823486	0.5445935	No	
row_23	Ppp1r15a	2514	1.491171956062317	0.5510849	No	
row_24	Apc	3421	0.9956130981445312	0.5127644	No	
row_25	Furin	3685	0.8806268572807312	0.50603783	No	
row_26	Rab31	4106	0.7152549624443054	0.49015915	No	
row_27	Nog	4353	0.6350035667419434	0.4824648	No	
row_28	Trim33	4375	0.6263052821159363	0.48606023	No	
row_29	Ube2d3	4412	0.6132501363754272	0.48880166	No	
row_30	Bcar3	4456	0.599414050579071	0.49108702	No	
row_31	Arid4b	4758	0.5031587481498718	0.47963715	No	
row_32	Smurf1	4967	0.4401204586029053	0.4724119	No	
row_33	Id2	5174	0.3808239698410034	0.46484685	No	
row_34	Ppp1ca	5841	0.21160109341144562	0.43281043	No	
row_35	Map3k7	5998	0.16869382560253143	0.42619187	No	
row_36	Ppm1a	6294	0.09309794753789902	0.41199687	No	
row_37	Ifngr2	6315	0.08851904422044754	0.41164553	No	
row_38	Cdk9	7234	-0.12530119717121124	0.36625066	No	
row_39	Xiap	7525	-0.18270692229270935	0.35297406	No	
row_40	Fnta	12182	-0.7727804780006409	0.12375632	No	
row_41	Id3	12780	-0.8567349314689636	0.09999707	No	
row_42	Eng	14640	-1.1749465465545654	0.014917122	No	
row_43	Hdac1	16027	-1.4973118305206299	-0.04389716	No	
row_44	Tgfb1	16480	-1.6294728517532349	-0.05459549	No	
row_45	Hipk2	16624	-1.6789473295211792	-0.049332626	No	
row_46	Serpine1	18266	-2.512333869934082	-0.11347086	No	
row_47	Cdkn1c	19139	-3.556934356689453	-0.13103777	No	
row_48	Ncor2	19229	-3.7966392040252686	-0.10730949	No	
row_49	Bmp2	19329	-4.085832595825195	-0.081936345	No	
row_50	Slc20a1	19387	-4.284343719482422	-0.0529682	No	
row_51	Fkbp1a	19578	-5.088778495788574	-0.024732614	No	
row_52	Smad1	19618	-5.28964376449585	0.0126160635	No	
