NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gsto1	18	13.87472915649414	0.0317304	Yes	
row_1	Pmm1	44	11.91740608215332	0.058499686	Yes	
row_2	Arg1	73	9.768558502197266	0.08006055	Yes	
row_3	Ces1d	85	9.47792911529541	0.101801686	Yes	
row_4	Gcnt2	160	7.760200023651123	0.11629905	Yes	
row_5	Aldh3a1	169	7.608908176422119	0.13379513	Yes	
row_6	Spint2	181	7.449465751647949	0.15076357	Yes	
row_7	Por	197	7.145586967468262	0.16681372	Yes	
row_8	Cbr1	254	6.513638973236084	0.179293	Yes	
row_9	Tmbim6	312	6.0707268714904785	0.19067936	Yes	
row_10	Enpep	391	5.487763404846191	0.19962668	Yes	
row_11	Cyb5a	425	5.310112476348877	0.2104433	Yes	
row_12	Ddah2	427	5.2939019203186035	0.22284828	Yes	
row_13	Ptges	438	5.217091083526611	0.23461509	Yes	
row_14	Slc1a5	531	4.764403343200684	0.24114884	Yes	
row_15	Acsm1	576	4.582605361938477	0.24969463	Yes	
row_16	Aldh2	650	4.2629804611206055	0.25601435	Yes	
row_17	Pts	666	4.219257831573486	0.26517925	Yes	
row_18	Blvrb	708	4.055263519287109	0.27263674	Yes	
row_19	Csad	725	3.996286392211914	0.2812262	Yes	
row_20	Ephx1	728	3.993013381958008	0.29051954	Yes	
row_21	Lpin2	776	3.851242780685425	0.29719204	Yes	
row_22	Cdo1	816	3.726059913635254	0.30397663	Yes	
row_23	Bcar1	956	3.418086528778076	0.30495375	Yes	
row_24	Pgd	1043	3.234694242477417	0.3081933	Yes	
row_25	Ech1	1076	3.1566388607025146	0.3139939	Yes	
row_26	Pdlim5	1103	3.091952323913574	0.3199473	Yes	
row_27	Jup	1122	3.0575919151306152	0.32622647	Yes	
row_28	Gsr	1164	2.9916977882385254	0.33118156	Yes	
row_29	Ets2	1346	2.7046899795532227	0.32834536	Yes	
row_30	Slc6a6	1379	2.6439208984375	0.33293962	Yes	
row_31	Npc1	1417	2.5821850299835205	0.3371345	Yes	
row_32	Il1r1	1457	2.535360813140869	0.34111753	Yes	
row_33	Slc46a3	1501	2.467069149017334	0.34473658	Yes	
row_34	Comt	1518	2.44852876663208	0.3496844	Yes	
row_35	Idh1	1569	2.3821029663085938	0.3527477	Yes	
row_36	Cyfip2	1584	2.359264373779297	0.35758713	Yes	
row_37	Ndrg2	1680	2.249194860458374	0.35805047	Yes	
row_38	Smox	1788	2.1101505756378174	0.3575767	Yes	
row_39	Hsd11b1	1844	2.0491769313812256	0.35960257	Yes	
row_40	Bphl	1886	2.0139546394348145	0.36225715	Yes	
row_41	Gch1	1903	2.001121759414673	0.36615226	Yes	
row_42	Gabarapl1	1975	1.931959629058838	0.36708906	Yes	
row_43	Abcc3	2032	1.8798445463180542	0.3686657	Yes	
row_44	Epha2	2033	1.8794807195663452	0.37308785	Yes	
row_45	Vnn1	2158	1.76772940158844	0.37094432	Yes	
row_46	Pink1	2163	1.765499472618103	0.374895	Yes	
row_47	Dhrs7	2185	1.7498518228530884	0.37794474	Yes	
row_48	Acox2	2245	1.690501093864441	0.3789234	Yes	
row_49	Fetub	2421	1.5639448165893555	0.37370813	No	
row_50	Rbp4	2490	1.5095468759536743	0.37380356	No	
row_51	Sertad1	2644	1.3968161344528198	0.3693133	No	
row_52	Tgfb2	2650	1.3938746452331543	0.37233877	No	
row_53	Atp2a2	3152	1.111454963684082	0.34948877	No	
row_54	Entpd5	3363	1.0165166854858398	0.34120652	No	
row_55	Gclc	3491	0.9611980319023132	0.33701286	No	
row_56	Ppard	3650	0.8923599123954773	0.33108157	No	
row_57	Hsd17b2	3655	0.8900770545005798	0.33297247	No	
row_58	Tnfrsf1a	3688	0.8790438771247864	0.33341423	No	
row_59	Casp6	3825	0.8224267959594727	0.3284366	No	
row_60	Ssr3	4027	0.7383432984352112	0.3199573	No	
row_61	Hrg	4303	0.6542816758155823	0.3075189	No	
row_62	Dhrs1	4340	0.6405614018440247	0.30719623	No	
row_63	Marchf6	4346	0.6385506987571716	0.3084445	No	
row_64	Sar1b	4606	0.553838312625885	0.29658303	No	
row_65	Acp1	4614	0.5510415434837341	0.29752374	No	
row_66	Acp2	4642	0.5432517528533936	0.29742956	No	
row_67	Cyp2j6	4796	0.4933525025844574	0.2908136	No	
row_68	Ttpa	4801	0.4915800392627716	0.2917669	No	
row_69	Tmem176b	4824	0.48336443305015564	0.29178596	No	
row_70	Ptgr1	4912	0.45563504099845886	0.28843594	No	
row_71	Leap2	4916	0.4544767439365387	0.28935277	No	
row_72	Ap4b1	5095	0.4028266966342926	0.2812531	No	
row_73	Id2	5174	0.3808239698410034	0.27818447	No	
row_74	Asl	5194	0.37420421838760376	0.2780992	No	
row_75	Acox3	5219	0.36760473251342773	0.27774423	No	
row_76	Nfs1	5249	0.3604855239391327	0.27711838	No	
row_77	Pros1	5310	0.34089118242263794	0.27487075	No	
row_78	Cyp2s1	5473	0.3010963201522827	0.26734495	No	
row_79	Fmo3	5527	0.28579649329185486	0.2653235	No	
row_80	Upp1	5578	0.27480649948120117	0.26342866	No	
row_81	Pdk4	5951	0.18338409066200256	0.24495192	No	
row_82	Upb1	6146	0.1305723488330841	0.23539841	No	
row_83	Adh5	6399	0.06641007959842682	0.22274588	No	
row_84	Kars1	6461	0.05435596778988838	0.21977323	No	
row_85	Crot	6595	0.018854506313800812	0.2130574	No	
row_86	Dhps	6695	-0.0034460306633263826	0.20803349	No	
row_87	Cat	6768	-0.019563525915145874	0.20441987	No	
row_88	Mpp2	6873	-0.04185390844941139	0.19923218	No	
row_89	Retsat	6977	-0.06578968465328217	0.19415164	No	
row_90	Man1a	7256	-0.12898693978786469	0.18032481	No	
row_91	Abcd2	7310	-0.1402091681957245	0.17796078	No	
row_92	Cyp2e1	7903	-0.2505095303058624	0.14845972	No	
row_93	Serpina6	8034	-0.2653971016407013	0.14247645	No	
row_94	F11	8148	-0.27969053387641907	0.13739091	No	
row_95	Cyp1a1	8635	-0.3375362455844879	0.11348243	No	
