NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Adam10	86	7.017213344573975	0.085186	Yes	
row_1	Hspb1	206	5.581323146820068	0.15038869	Yes	
row_2	Lypd3	317	4.876045227050781	0.20704757	Yes	
row_3	Atp8b1	424	4.474008560180664	0.25877914	Yes	
row_4	Gata3	1252	2.6975889205932617	0.25147933	Yes	
row_5	Adipor2	1550	2.293724536895752	0.26576105	Yes	
row_6	Afap1l2	1639	2.2113137245178223	0.28953362	Yes	
row_7	B4galt1	1875	1.9557126760482788	0.30263042	Yes	
row_8	Shroom2	2115	1.785737156867981	0.31335697	Yes	
row_9	Plaur	2136	1.7651937007904053	0.33486807	Yes	
row_10	Sulf2	2404	1.584472417831421	0.34161454	Yes	
row_11	Dcbld2	3394	1.073290467262268	0.30542082	No	
row_12	Ncoa6	3451	1.050982117652893	0.31600428	No	
row_13	Crybg1	3561	1.0089770555496216	0.32337847	No	
row_14	Lyn	4482	0.6882555484771729	0.285753	No	
row_15	Pkhd1	5514	0.39381688833236694	0.2387722	No	
row_16	Crocc	5515	0.39370477199554443	0.243795	No	
row_17	Tmem8b	6007	0.26546555757522583	0.22241503	No	
row_18	Ntng1	7273	-0.060747891664505005	0.15938172	No	
row_19	Il2rb	8090	-0.2771666347980499	0.12175759	No	
row_20	Slc2a4	8179	-0.29751062393188477	0.12111432	No	
row_21	Rtn4rl1	9339	-0.4669029414653778	0.068609424	No	
row_22	App	9493	-0.4888068735599518	0.06712798	No	
row_23	Scube1	10270	-0.5988011360168457	0.035624843	No	
row_24	Cx3cl1	10419	-0.6224288940429688	0.036100324	No	
row_25	Ghrl	11027	-0.7109224200248718	0.014552198	No	
row_26	Efna5	11052	-0.7133187651634216	0.022441959	No	
row_27	Cd160	11271	-0.7472425699234009	0.020978887	No	
row_28	Mal	11758	-0.8312540054321289	0.007069328	No	
row_29	Flot2	11799	-0.836075484752655	0.015718129	No	
row_30	Srpx	11909	-0.8575378060340881	0.021160286	No	
row_31	Rhcg	12746	-1.0132901668548584	-0.008081376	No	
row_32	Slc34a3	12872	-1.0340304374694824	-0.0011946287	No	
row_33	Slc22a12	13454	-1.1596935987472534	-0.015705962	No	
row_34	Akap7	14179	-1.3276112079620361	-0.035288155	No	
row_35	Thy1	14681	-1.453532338142395	-0.042015456	No	
row_36	Mdga1	15388	-1.681107997894287	-0.056179877	No	
row_37	Pcsk9	15602	-1.7646692991256714	-0.04441065	No	
row_38	Gstm5	15884	-1.878172516822815	-0.034623392	No	
row_39	Brca1	16620	-2.2173449993133545	-0.043409426	No	
row_40	Atp6v0a4	17183	-2.577619791030884	-0.0388728	No	
row_41	Ephb4	17674	-2.9578335285186768	-0.025853727	No	
row_42	Gas1	18827	-4.716829776763916	-0.023785971	No	
row_43	Il2rg	19228	-5.976375579833984	0.03228268	No	
