NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Anxa1	9	10.27308464050293	0.037884004	Yes	
row_1	Serpinb2	25	8.80147647857666	0.06997183	Yes	
row_2	Pecam1	37	8.412694931030273	0.10081137	Yes	
row_3	Mmp15	56	7.742518901824951	0.12879507	Yes	
row_4	Gsn	112	6.585065841674805	0.15058431	Yes	
row_5	Klkb1	474	4.316409111022949	0.14840207	Yes	
row_6	Dusp6	499	4.229127883911133	0.16296947	Yes	
row_7	Plat	546	4.112859725952148	0.17598826	Yes	
row_8	Clu	596	3.955334424972534	0.18826713	Yes	
row_9	C3	612	3.902925491333008	0.20207314	Yes	
row_10	Mst1	782	3.520597457885742	0.20664927	Yes	
row_11	Dpp4	861	3.3486545085906982	0.21519457	Yes	
row_12	Lrp1	1036	3.026118040084839	0.21767192	Yes	
row_13	Capn5	1131	2.8605809211730957	0.22358498	Yes	
row_14	F3	1308	2.6167333126068115	0.22443314	Yes	
row_15	Wdr1	1367	2.5343310832977295	0.23095268	Yes	
row_16	Vwf	2010	1.8569620847702026	0.20535363	No	
row_17	Ctsb	2397	1.5885459184646606	0.19172406	No	
row_18	Plau	2548	1.502784013748169	0.18973225	No	
row_19	F11	2674	1.4183688163757324	0.18869212	No	
row_20	Furin	2830	1.333739161491394	0.18581608	No	
row_21	Prep	3070	1.217918872833252	0.17825161	No	
row_22	F2rl2	3125	1.1881835460662842	0.1799499	No	
row_23	Hrg	3339	1.0995742082595825	0.17326114	No	
row_24	Klf7	3382	1.0798802375793457	0.17516324	No	
row_25	Adam9	3385	1.0782235860824585	0.17908593	No	
row_26	Cpn1	3422	1.0602322816848755	0.18121873	No	
row_27	Gda	3594	0.9948996901512146	0.17626742	No	
row_28	Maff	3650	0.9719364047050476	0.17710797	No	
row_29	Comp	3665	0.9672213196754456	0.18000837	No	
row_30	Cfh	4338	0.7371777892112732	0.14871012	No	
row_31	Hpn	4514	0.6797162294387817	0.14237984	No	
row_32	Rapgef3	4594	0.6560933589935303	0.14082558	No	
row_33	Mmp7	4718	0.6246731281280518	0.13692465	No	
row_34	Ang	4761	0.6092722415924072	0.13707042	No	
row_35	Fyn	4837	0.5890675187110901	0.1354687	No	
row_36	Olr1	5744	0.33499032258987427	0.09081296	No	
row_37	F10	6378	0.16484305262565613	0.0593548	No	
row_38	P2ry1	6547	0.1210310310125351	0.051294133	No	
row_39	Thbs1	6587	0.11176030337810516	0.049735148	No	
row_40	Hmgcs2	6599	0.10934112966060638	0.049585864	No	
row_41	Rabif	6677	0.08997472375631332	0.046020154	No	
row_42	Proz	6718	0.08019021898508072	0.04429268	No	
row_43	F9	6757	0.06985262781381607	0.04262796	No	
row_44	Pdgfb	6948	0.022570842877030373	0.03308512	No	
row_45	Itga2	7040	-9.257261408492923E-4	0.02847771	No	
row_46	Prss23	7076	-0.009858766570687294	0.026741095	No	
row_47	F13b	7255	-0.05510244518518448	0.01792769	No	
row_48	Lgmn	7405	-0.10023801028728485	0.01075213	No	
row_49	Mmp3	7736	-0.19346192479133606	-0.005246567	No	
row_50	Hnf4a	7804	-0.21052241325378418	-0.007855691	No	
row_51	Sirt2	7873	-0.2295299619436264	-0.010444546	No	
row_52	Casp9	8229	-0.30562376976013184	-0.027291367	No	
row_53	Ctsk	8715	-0.3733091950416565	-0.050472528	No	
row_54	A2m	8893	-0.400110125541687	-0.057947665	No	
row_55	Acox2	10509	-0.6348752975463867	-0.13740842	No	
row_56	C8a	10778	-0.6748939156532288	-0.1484689	No	
row_57	Tfpi2	10878	-0.6902069449424744	-0.1509092	No	
row_58	Capn2	10903	-0.6933768391609192	-0.14953752	No	
row_59	Sh2b2	11000	-0.7072042226791382	-0.15176238	No	
row_60	F2	11232	-0.7412620782852173	-0.16070043	No	
row_61	Mmp10	11406	-0.7696841955184937	-0.16659361	No	
row_62	Gp9	11769	-0.8323957920074463	-0.18182915	No	
row_63	Klk8	12003	-0.8754326701164246	-0.1903678	No	
row_64	Ctse	12085	-0.8901927471160889	-0.1911497	No	
row_65	C1qa	12246	-0.9177905321121216	-0.19583145	No	
row_66	C8b	12465	-0.9554740190505981	-0.20331134	No	
row_67	Mmp8	12502	-0.9648734331130981	-0.20153442	No	
row_68	Gp1ba	12510	-0.9662859439849854	-0.19828285	No	
row_69	F12	12584	-0.9794727563858032	-0.1983262	No	
row_70	Mmp14	12590	-0.9802124500274658	-0.1949213	No	
row_71	Cfb	12824	-1.0250649452209473	-0.20290151	No	
row_72	C9	12984	-1.0565667152404785	-0.20701467	No	
row_73	Proc	12987	-1.057828664779663	-0.2031681	No	
row_74	Fga	13008	-1.0621747970581055	-0.20021734	No	
row_75	Pf4	13096	-1.080045223236084	-0.20059471	No	
row_76	Plg	13116	-1.0839256048202515	-0.19751212	No	
row_77	Usp11	13243	-1.1108438968658447	-0.19975062	No	
row_78	Serpinc1	13266	-1.1178996562957764	-0.19669324	No	
row_79	Timp1	13565	-1.1848241090774536	-0.20737068	No	
row_80	Cfd	13864	-1.253671407699585	-0.21779118	No	
row_81	Apoa1	13910	-1.2617030143737793	-0.2153625	No	
row_82	Msrb2	13979	-1.278374195098877	-0.21403699	No	
row_83	Cd9	14227	-1.3353804349899292	-0.22156844	No	
row_84	Csrp1	14282	-1.348548173904419	-0.21927166	No	
row_85	Rgn	14343	-1.3668577671051025	-0.21721055	No	
row_86	Crip2	14426	-1.3866209983825684	-0.21619041	No	
row_87	Masp2	14445	-1.390647530555725	-0.21191244	No	
row_88	Mbl2	14482	-1.4010626077651978	-0.20850763	No	
row_89	Mmp11	14522	-1.4103481769561768	-0.20522018	No	
row_90	Fgg	14606	-1.4332804679870605	-0.20407656	No	
row_91	Gng12	14655	-1.4473809003829956	-0.20110692	No	
row_92	Dusp14	14720	-1.4656000137329102	-0.19887997	No	
row_93	Cpq	14841	-1.5018330812454224	-0.19935527	No	
row_94	Pros1	14994	-1.543280005455017	-0.20129728	No	
row_95	Thbd	15154	-1.599002718925476	-0.20338601	No	
row_96	Lta4h	15172	-1.6051400899887085	-0.19825687	No	
row_97	Apoc1	15452	-1.7099392414093018	-0.20601183	No	
row_98	Pef1	15460	-1.7120484113693237	-0.199977	No	
row_99	Itgb3	15614	-1.7692140340805054	-0.20112647	No	
row_100	Serping1	15808	-1.844321370124817	-0.2040224	No	
row_101	C8g	15821	-1.853046178817749	-0.19771469	No	
row_102	C2	16055	-1.9473214149475098	-0.20225297	No	
row_103	Cfi	16109	-1.9749737977981567	-0.19756764	No	
row_104	Trf	16120	-1.9779162406921387	-0.19069257	No	
row_105	Mmp2	16214	-2.0244758129119873	-0.18784927	No	
row_106	Itih1	16255	-2.044874906539917	-0.18224438	No	
row_107	Timp3	16535	-2.176988363265991	-0.18825626	No	
row_108	Fbn1	16579	-2.194934368133545	-0.18224335	No	
row_109	Dct	16640	-2.2285959720611572	-0.17696616	No	
row_110	Lamp2	16678	-2.248647928237915	-0.17044877	No	
row_111	Rac1	16939	-2.4124345779418945	-0.17461926	No	
row_112	Bmp1	16976	-2.432730197906494	-0.16736418	No	
row_113	F8	17002	-2.444711685180664	-0.15950702	No	
row_114	Apoc3	17034	-2.4659743309020996	-0.15187453	No	
row_115	Tmprss6	17066	-2.487380266189575	-0.14416215	No	
row_116	Serpine1	17378	-2.709510326385498	-0.14980803	No	
row_117	Cpb2	17395	-2.7187037467956543	-0.14047231	No	
row_118	Plek	17631	-2.913767099380493	-0.14150505	No	
row_119	C1s1	17784	-3.0699803829193115	-0.13774928	No	
row_120	Ctsh	18055	-3.39469313621521	-0.1387606	No	
row_121	Htra1	18181	-3.5496671199798584	-0.13184653	No	
row_122	Mep1a	18593	-4.167999744415283	-0.13711609	No	
row_123	Fn1	18639	-4.252830505371094	-0.12352427	No	
row_124	Gnb2	18650	-4.274084091186523	-0.10807971	No	
row_125	Iscu	18763	-4.534014701843262	-0.09683329	No	
row_126	Sparc	18835	-4.7385172843933105	-0.08274623	No	
row_127	Mmp9	18894	-4.910407543182373	-0.06735896	No	
row_128	Ctsl	19019	-5.250602722167969	-0.054046206	No	
row_129	Arf4	19035	-5.296911716461182	-0.03503771	No	
row_130	Ctso	19083	-5.435084342956543	-0.017134951	No	
row_131	S100a13	19491	-7.4653639793396	-0.009895793	No	
row_132	S100a1	19533	-7.756409168243408	0.016974362	No	
