NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Btg2	6	10.696913719177246	0.036536332	Yes	
row_1	Serpinb2	25	8.80147647857666	0.06593471	Yes	
row_2	Mfsd6	174	5.918873310089111	0.07879806	Yes	
row_3	Tfcp2l1	194	5.665494441986084	0.097344965	Yes	
row_4	Sgk1	289	5.035782814025879	0.10991133	Yes	
row_5	Lypd3	317	4.876045227050781	0.1253327	Yes	
row_6	Sidt1	345	4.761864185333252	0.14036082	Yes	
row_7	Celsr2	350	4.747142791748047	0.15650718	Yes	
row_8	Krt5	443	4.407205581665039	0.1670103	Yes	
row_9	Skil	535	4.136988162994385	0.1766336	Yes	
row_10	Kmt2d	617	3.8894331455230713	0.1859125	Yes	
row_11	Pkp1	715	3.625303268432617	0.19346857	Yes	
row_12	Nr6a1	747	3.5780246257781982	0.20421612	Yes	
row_13	Htr1b	911	3.2500061988830566	0.20712528	Yes	
row_14	Tgm1	920	3.233673572540283	0.2178558	Yes	
row_15	Selenop	1001	3.084808588027954	0.22441433	Yes	
row_16	Mast3	1269	2.688633918762207	0.22010443	Yes	
row_17	Mthfr	1409	2.4794466495513916	0.22157946	Yes	
row_18	Scgb1a1	1501	2.3521876335144043	0.22505571	Yes	
row_19	Edar	1580	2.273250102996826	0.2289208	Yes	
row_20	Calm4	1716	2.119330644607544	0.22935884	Yes	
row_21	Pdk2	1750	2.084869861602783	0.23486218	Yes	
row_22	Tcf7l1	1799	2.027543306350708	0.23940572	Yes	
row_23	Thrb	1800	2.0266201496124268	0.24638562	Yes	
row_24	Slc6a14	1840	1.9872153997421265	0.25124767	Yes	
row_25	Gp2	1903	1.9356003999710083	0.25476304	Yes	
row_26	Plag1	2081	1.80682373046875	0.2519902	Yes	
row_27	Hc	2162	1.750878095626831	0.25395453	Yes	
row_28	P2ry4	2203	1.7221096754074097	0.25785273	Yes	
row_29	Slc12a3	2306	1.6458196640014648	0.2583371	Yes	
row_30	Serpina10	2317	1.6397440433502197	0.26347634	Yes	
row_31	Camk1d	2552	1.501932144165039	0.25675648	No	
row_32	Pax3	2620	1.457417607307434	0.25837082	No	
row_33	Cyp39a1	2828	1.334903359413147	0.25244793	No	
row_34	Prkn	2938	1.2839897871017456	0.25133038	No	
row_35	Ptprj	3126	1.18662428855896	0.24591327	No	
row_36	Fgfr3	3331	1.1019468307495117	0.23934053	No	
row_37	Synpo	3431	1.05769681930542	0.23795183	No	
row_38	Krt1	3435	1.056820034980774	0.24143916	No	
row_39	Msh5	3497	1.035429835319519	0.24190506	No	
row_40	Nr4a2	3631	0.9814742803573608	0.23852585	No	
row_41	Lgals7	3723	0.9425320029258728	0.23714711	No	
row_42	Asb7	3801	0.9145745038986206	0.2363836	No	
row_43	Sptbn2	3882	0.8878803253173828	0.23537569	No	
row_44	Ybx2	3911	0.874206006526947	0.23696348	No	
row_45	Tlx1	4018	0.8394509553909302	0.23446737	No	
row_46	Itgb1bp2	4069	0.8173192739486694	0.23474114	No	
row_47	Brdt	4104	0.8073698282241821	0.2357938	No	
row_48	Edn1	4306	0.7463715076446533	0.22814889	No	
row_49	Sphk2	4317	0.7426955699920654	0.23019858	No	
row_50	Slc16a7	4334	0.7376844882965088	0.23192607	No	
row_51	Klhdc8a	4439	0.7002956867218018	0.22905234	No	
row_52	Gprc5c	4466	0.6928060054779053	0.23011702	No	
row_53	Abcg4	4517	0.6787957549095154	0.2299137	No	
row_54	Krt4	4706	0.6266018152236938	0.22251698	No	
row_55	Cldn16	4736	0.6185279488563538	0.22317338	No	
row_56	Htr1d	4737	0.6183169484138489	0.22530293	No	
row_57	Slc25a23	4872	0.5800992846488953	0.22049053	No	
row_58	Epha5	4899	0.5678135752677917	0.22112472	No	
row_59	Rgs11	4932	0.5612700581550598	0.22143145	No	
row_60	Dtnb	4944	0.5584613084793091	0.2227958	No	
row_61	Cd40lg	4959	0.5571598410606384	0.22400318	No	
row_62	Entpd7	4989	0.5493557453155518	0.22442135	No	
row_63	Myo15a	5206	0.4845828711986542	0.21511246	No	
row_64	Klk7	5238	0.4768145680427551	0.21517913	No	
row_65	Insl5	5287	0.46074286103248596	0.21432646	No	
row_66	Ccdc106	5295	0.458313524723053	0.21554917	No	
row_67	Pde6b	5466	0.4049607515335083	0.20830393	No	
row_68	Gtf3c5	5748	0.3342803418636322	0.19517387	No	
row_69	Tgfb2	5776	0.3287367820739746	0.19493385	No	
row_70	Cpb1	5828	0.31510499119758606	0.19342712	No	
row_71	Ptgfr	6119	0.23842079937458038	0.17950949	No	
row_72	Magix	6147	0.22979889810085297	0.1789287	No	
row_73	Dcc	6167	0.22514942288398743	0.1787385	No	
row_74	Pdcd1	6292	0.18762995302677155	0.17308262	No	
row_75	Slc38a3	6351	0.17311009764671326	0.17073108	No	
row_76	Cldn8	6578	0.1143285259604454	0.15963876	No	
row_77	Zbtb16	6781	0.06425206363201141	0.14959374	No	
row_78	Kcne2	7087	-0.012355352751910686	0.13413517	No	
row_79	Egf	7119	-0.021352507174015045	0.1326332	No	
row_80	Ypel1	7247	-0.0539991594851017	0.1263646	No	
row_81	P2rx6	7315	-0.07675494253635406	0.1232238	No	
row_82	Slc5a5	7317	-0.07711531221866608	0.12343857	No	
row_83	Cdh16	7447	-0.11403209716081619	0.1172751	No	
row_84	Cd80	7501	-0.12802056968212128	0.115022376	No	
row_85	Kcnq2	7543	-0.13722893595695496	0.11341125	No	
row_86	Vps50	7566	-0.14583802223205566	0.11279541	No	
row_87	Abcb11	7591	-0.15451326966285706	0.11210781	No	
row_88	Grid2	7791	-0.20686477422714233	0.10270643	No	
row_89	Nrip2	7948	-0.2489200085401535	0.095635295	No	
row_90	Oxt	8000	-0.2618396580219269	0.09394511	No	
row_91	Fshb	8017	-0.2658288776874542	0.09404748	No	
row_92	Cacng1	8067	-0.27411431074142456	0.092501216	No	
row_93	Tshb	8086	-0.27661892771720886	0.0925391	No	
row_94	Sprr3	8095	-0.27825379371643066	0.09309085	No	
row_95	Edn2	8116	-0.2834588587284088	0.093050644	No	
row_96	Pcdhb1	8225	-0.30474424362182617	0.08861129	No	
row_97	Slc29a3	8314	-0.3182186484336853	0.08523481	No	
row_98	Cdkal1	8484	-0.34159308671951294	0.077822156	No	
row_99	Irs4	8834	-0.3906755745410919	0.061430335	No	
row_100	Stag3	9042	-0.4249095022678375	0.052373335	No	
row_101	Cpeb3	9155	-0.44075772166252136	0.048199136	No	
row_102	Tff2	9168	-0.44233161211013794	0.049112692	No	
row_103	Cyp11b2	9458	-0.4844367802143097	0.036093198	No	
row_104	Tcl1	9677	-0.5109367966651917	0.026773429	No	
row_105	Capn9	9870	-0.5414574146270752	0.018880183	No	
row_106	Zfp112	10045	-0.5655239224433899	0.011984644	No	
row_107	Mx2	10314	-0.6073449850082397	4.557487E-4	No	
row_108	Idua	10455	-0.6273995637893677	-0.00449869	No	
row_109	Ccr8	10463	-0.6294435858726501	-0.0026865846	No	
row_110	Ambn	10550	-0.6399685740470886	-0.0048532737	No	
row_111	Gpr3	10752	-0.670948326587677	-0.0127579495	No	
row_112	Mefv	10836	-0.6844658851623535	-0.0146189155	No	
row_113	Atp6v1b1	11113	-0.7220553755760193	-0.026159324	No	
row_114	Tnni3	11300	-0.7516759037971497	-0.033023614	No	
row_115	Wnt16	11671	-0.8149285912513733	-0.049021553	No	
row_116	Prop1	11765	-0.8321253061294556	-0.050882198	No	
row_117	Clstn3	11829	-0.8416459560394287	-0.051185355	No	
row_118	Arpp21	11907	-0.8563483953475952	-0.052149396	No	
row_119	Fgf22	11919	-0.860047459602356	-0.049746364	No	
row_120	Adra2c	11979	-0.8729227185249329	-0.049738504	No	
row_121	Klk8	12003	-0.8754326701164246	-0.04789236	No	
row_122	Gdnf	12112	-0.8957171440124512	-0.05029634	No	
row_123	Krt15	12174	-0.9063194990158081	-0.050275106	No	
row_124	Efhd1	12230	-0.9151952862739563	-0.04991836	No	
row_125	Alox12b	12358	-0.935946524143219	-0.05314943	No	
row_126	Ccna1	12397	-0.9416196942329407	-0.05183768	No	
row_127	Pax4	12504	-0.9652314782142639	-0.053900596	No	
row_128	Gp1ba	12510	-0.9662859439849854	-0.050826725	No	
row_129	Tent5c	12567	-0.9767978191375732	-0.05030864	No	
row_130	Nos1	12617	-0.9877984523773193	-0.049396902	No	
row_131	Ifng	12688	-0.9991135001182556	-0.049513485	No	
row_132	Krt13	12704	-1.0032870769500732	-0.046820413	No	
row_133	Smpx	12862	-1.0320868492126465	-0.051245064	No	
row_134	Gamt	12950	-1.0495240688323975	-0.052052025	No	
row_135	Itih3	13030	-1.0670593976974487	-0.052392006	No	
row_136	Sox10	13100	-1.0808405876159668	-0.05217629	No	
row_137	Zc2hc1c	13115	-1.0838408470153809	-0.049154956	No	
row_138	Ribc2	13119	-1.0849448442459106	-0.045570765	No	
row_139	Scn10a	13143	-1.089272379875183	-0.042988136	No	
row_140	Ntf3	13162	-1.093386173248291	-0.04013722	No	
row_141	Slc30a3	13444	-1.1575689315795898	-0.05043179	No	
row_142	Myh7	13481	-1.1649224758148193	-0.04824932	No	
row_143	Fggy	13550	-1.1818546056747437	-0.047634877	No	
row_144	Gpr19	13582	-1.1890387535095215	-0.04511523	No	
row_145	Lfng	13635	-1.2002325057983398	-0.04362432	No	
row_146	Ryr1	13645	-1.2030677795410156	-0.039938238	No	
row_147	Fgf16	13940	-1.2705127000808716	-0.050504524	No	
row_148	Actc1	14092	-1.309359073638916	-0.053669278	No	
row_149	Kcnd1	14281	-1.3485075235366821	-0.05857967	No	
row_150	Hsd11b2	14287	-1.3501338958740234	-0.054183785	No	
row_151	Cacna1f	14295	-1.3517569303512573	-0.049883958	No	
row_152	Slc6a3	14302	-1.353175163269043	-0.045528423	No	
row_153	Rsad2	14496	-1.4046710729599	-0.050499495	No	
row_154	Ngb	14728	-1.4673293828964233	-0.057186052	No	
row_155	Ckm	14757	-1.4773868322372437	-0.053520832	No	
row_156	Il12b	14910	-1.5204362869262695	-0.05600944	No	
row_157	Tas2r108	15078	-1.571527123451233	-0.059084438	No	
row_158	Cd207	15080	-1.571931004524231	-0.05372137	No	
row_159	Ryr2	15084	-1.5729999542236328	-0.048456263	No	
row_160	Tex15	15299	-1.652216911315918	-0.053642053	No	
row_161	Pnmt	15401	-1.6866790056228638	-0.052966114	No	
row_162	Bmpr1b	15499	-1.724593997001648	-0.051956296	No	
row_163	Clps	15534	-1.740017056465149	-0.04769149	No	
row_164	Col2a1	15538	-1.7412128448486328	-0.041847046	No	
row_165	Kcnmb1	15550	-1.7438195943832397	-0.036400206	No	
row_166	Il5	15593	-1.7594586610794067	-0.032475032	No	
row_167	Prodh	15711	-1.8087214231491089	-0.03219194	No	
row_168	Ifi44l	15713	-1.8094255924224854	-0.026010914	No	
row_169	Thnsl2	15724	-1.8146194219589233	-0.02026941	No	
row_170	Kcnn1	15737	-1.8175709247589111	-0.014619389	No	
row_171	Coq8a	15809	-1.8454885482788086	-0.011871793	No	
row_172	Tenm2	15862	-1.869216799736023	-0.008076831	No	
row_173	Cpa2	16178	-2.0114002227783203	-0.017158713	No	
row_174	Shox2	16324	-2.072765350341797	-0.017389279	No	
row_175	Igfbp2	16329	-2.073961019515991	-0.010449637	No	
row_176	Chrng	16406	-2.108158588409424	-0.007051495	No	
row_177	Tg	16818	-2.3353259563446045	-0.019896783	No	
row_178	Cntfr	16894	-2.3859329223632812	-0.0154911345	No	
row_179	Atp4a	17011	-2.4496800899505615	-0.012949691	No	
row_180	Dlk2	17097	-2.5117127895355225	-0.008619077	No	
row_181	Arhgdig	17117	-2.5278892517089844	-8.7840867E-4	No	
row_182	Myot	17148	-2.5542140007019043	0.006393868	No	
row_183	Nphs1	17164	-2.5635805130004883	0.014460754	No	
row_184	Macroh2a2	17276	-2.6358587741851807	0.017897533	No	
row_185	Tfap2b	17479	-2.777163505554199	0.017196056	No	
row_186	Sncb	17584	-2.8679850101470947	0.021788064	No	
row_187	Bard1	17801	-3.0875020027160645	0.021443898	No	
row_188	Copz2	18385	-3.827120780944824	0.004994891	No	
row_189	Chst2	18534	-4.056154251098633	0.01144285	No	
row_190	Calcb	18715	-4.402433395385742	0.017457085	No	
row_191	Hnf1a	19100	-5.503826141357422	0.016896667	No	
row_192	Snn	19329	-6.412391662597656	0.027393883	No	
