NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Erbb2	145	6.192081451416016	0.014903835	Yes	
row_1	Nipbl	184	5.8075852394104	0.033850342	Yes	
row_2	Runx1	228	5.375343322753906	0.050989848	Yes	
row_3	Dusp1	232	5.366357803344727	0.07012494	Yes	
row_4	Add3	341	4.781433582305908	0.08183457	Yes	
row_5	Prdm2	372	4.63313627243042	0.096965574	Yes	
row_6	Nfkb1	379	4.623030185699463	0.11327699	Yes	
row_7	Notch2	430	4.45821475982666	0.12676537	Yes	
row_8	Adgrl2	453	4.377795219421387	0.14138423	Yes	
row_9	Tjp1	551	4.092343807220459	0.15117487	Yes	
row_10	Sipa1l1	573	4.019355773925781	0.16455618	Yes	
row_11	Pik3r3	579	4.0162224769592285	0.17873736	Yes	
row_12	Plcb4	702	3.657748222351074	0.1856986	Yes	
row_13	Atrx	848	3.390897512435913	0.19053473	Yes	
row_14	Zmiz1	851	3.3856050968170166	0.2026015	Yes	
row_15	Acvr2a	890	3.289653778076172	0.21249834	Yes	
row_16	Dlg1	906	3.2577548027038574	0.22344655	Yes	
row_17	Nek7	916	3.238208055496216	0.23462869	Yes	
row_18	Nr1d2	973	3.1320817470550537	0.24304666	Yes	
row_19	Rnd3	1005	3.0802931785583496	0.2525459	Yes	
row_20	Met	1072	2.968251943588257	0.25986806	Yes	
row_21	Atp2b1	1080	2.956183671951294	0.27013797	Yes	
row_22	Ythdc1	1086	2.947622537612915	0.2804785	Yes	
row_23	Mapk14	1089	2.9330639839172363	0.29091883	Yes	
row_24	Phf3	1226	2.7237794399261475	0.29381353	Yes	
row_25	Cdc42bpa	1238	2.7105565071105957	0.30299786	Yes	
row_26	Pdlim5	1262	2.6930978298187256	0.31151107	Yes	
row_27	F3	1308	2.6167333126068115	0.31863448	Yes	
row_28	Nr3c1	1344	2.564903974533081	0.3260786	Yes	
row_29	Cdk13	1372	2.524894952774048	0.33378446	Yes	
row_30	Rxra	1376	2.5211257934570312	0.34269354	Yes	
row_31	Smad7	1456	2.4061379432678223	0.34733635	Yes	
row_32	Kalrn	1560	2.2876601219177246	0.3503366	Yes	
row_33	Spop	1645	2.2022080421447754	0.353993	Yes	
row_34	Tgfbr3	1687	2.150620698928833	0.35964394	Yes	
row_35	Atrn	1894	1.9422588348388672	0.356181	Yes	
row_36	Akt3	2077	1.8095523118972778	0.35345784	Yes	
row_37	Slc22a18	2282	1.6577367782592773	0.34907368	Yes	
row_38	Smad3	2288	1.6567120552062988	0.35477456	Yes	
row_39	Scaf8	2315	1.6403371095657349	0.35935196	Yes	
row_40	Ldlr	2355	1.6164971590042114	0.36318463	Yes	
row_41	Atp2c1	2384	1.598418951034546	0.36750996	Yes	
row_42	Tent4a	2409	1.5812548398971558	0.3719764	Yes	
row_43	Arhgef9	2419	1.5728932619094849	0.37717327	Yes	
row_44	Insig1	2538	1.507064700126648	0.37660754	Yes	
row_45	Cacna1a	2550	1.5026531219482422	0.38145053	Yes	
row_46	Igf1r	3012	1.242422103881836	0.36254457	No	
row_47	Adora2b	3026	1.237397313117981	0.36633283	No	
row_48	Synj2	3059	1.2264196872711182	0.3691184	No	
row_49	Apbb2	3112	1.1929577589035034	0.37076974	No	
row_50	Pias3	3341	1.0981911420822144	0.3631578	No	
row_51	Vav2	3602	0.9934667348861694	0.3535472	No	
row_52	Atp2b4	3740	0.9374655485153198	0.349971	No	
row_53	Pten	3812	0.9074038863182068	0.3496328	No	
row_54	Fhl2	3813	0.9071453213691711	0.35289317	No	
row_55	Mios	4024	0.8366150856018066	0.34525365	No	
row_56	Sfmbt1	4047	0.8262303471565247	0.34710786	No	
row_57	Irs1	4388	0.7169408202171326	0.33244762	No	
row_58	Bmpr1a	4391	0.7158384323120117	0.334919	No	
row_59	Ica1	4636	0.6427119374275208	0.32485887	No	
row_60	Dyrk1a	4672	0.6332060098648071	0.3253603	No	
row_61	Mmp16	4776	0.6050881743431091	0.32231322	No	
row_62	Fyn	4837	0.5890675187110901	0.32138857	No	
row_63	Pik3cd	5212	0.48356813192367554	0.30416584	No	
row_64	Wdr37	5442	0.4116038382053375	0.29403555	No	
row_65	Atxn1	5470	0.40441155433654785	0.29412022	No	
row_66	Rgs4	5660	0.35597145557403564	0.28581786	No	
row_67	Nfib	5840	0.3107048273086548	0.2778598	No	
row_68	Cited2	5851	0.30667737126350403	0.27845505	No	
row_69	Prkce	5930	0.28599750995635986	0.27552858	No	
row_70	Ptgfr	6119	0.23842079937458038	0.26685444	No	
row_71	Amph	6194	0.2155226320028305	0.26387745	No	
row_72	Grk5	6501	0.1350371390581131	0.24884948	No	
row_73	Ccn1	6895	0.036576516926288605	0.22905698	No	
row_74	Cdon	7084	-0.01193296629935503	0.21956882	No	
row_75	Cap2	7240	-0.05255541577935219	0.21189967	No	
row_76	Bdnf	7355	-0.0865911990404129	0.20643142	No	
row_77	Igfbp5	7388	-0.09534468501806259	0.20515178	No	
row_78	Col1a2	7729	-0.1915571540594101	0.18860325	No	
row_79	Plpp3	7830	-0.21643155813217163	0.18431142	No	
row_80	Tgfbr2	8066	-0.27400779724121094	0.1733824	No	
row_81	Ptprm	8118	-0.28406795859336853	0.17181782	No	
row_82	Pparg	8164	-0.29428520798683167	0.17059414	No	
row_83	Col1a1	8532	-0.3476782441139221	0.1532379	No	
row_84	Cav1	8590	-0.3565193712711334	0.15162952	No	
row_85	Myc	8682	-0.3693333864212036	0.14834352	No	
row_86	Scn8a	8848	-0.39322468638420105	0.14139178	No	
row_87	Ddah1	8849	-0.39326032996177673	0.14280519	No	
row_88	Prkca	8866	-0.39596858620643616	0.14341718	No	
row_89	Rasa2	9386	-0.4737367331981659	0.11880805	No	
row_90	Inpp4b	9530	-0.49349135160446167	0.113332026	No	
row_91	Abcc1	9844	-0.5365812182426453	0.099392354	No	
row_92	Kit	10531	-0.6376301646232605	0.066905856	No	
row_93	Pex14	10657	-0.6557741165161133	0.06292564	No	
row_94	Celf2	10689	-0.6597398519515991	0.06372519	No	
row_95	Bhlhe40	10786	-0.675710916519165	0.061286837	No	
row_96	Prkar2b	10815	-0.6816065311431885	0.062317077	No	
row_97	Aggf1	11231	-0.7410644888877869	0.043941237	No	
row_98	Vldlr	11711	-0.8220432996749878	0.022611834	No	
row_99	Syne1	11820	-0.8397801518440247	0.020154795	No	
row_100	Slc7a1	12054	-0.884452223777771	0.011521177	No	
row_101	Mgmt	12989	-1.0580278635025024	-0.032027252	No	
row_102	Cdkn1b	13032	-1.0675081014633179	-0.030319806	No	
row_103	Pdgfrb	13237	-1.1084171533584595	-0.03667826	No	
row_104	Dlc1	13415	-1.1529474258422852	-0.041507844	No	
row_105	Col11a1	13495	-1.168384075164795	-0.041313633	No	
row_106	Col3a1	13539	-1.1776814460754395	-0.039260913	No	
row_107	Sdc2	13554	-1.182381510734558	-0.035721086	No	
row_108	Togaram1	13814	-1.2431877851486206	-0.0443835	No	
row_109	Map2k5	13963	-1.2748782634735107	-0.047304638	No	
