NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pdgfa	1075	5.436605453491211	0.032931287	No	
row_1	Jag2	1370	4.47636079788208	0.089851305	No	
row_2	Jag1	3102	2.130084991455078	0.036711946	No	
row_3	Pglyrp1	3619	1.763670802116394	0.03896151	No	
row_4	App	5130	0.9997075200080872	-0.02115165	No	
row_5	Lrpap1	6049	0.6814116835594177	-0.056516983	No	
row_6	Ptk2	6141	0.6542704105377197	-0.050619133	No	
row_7	Vtn	8449	0.04141472280025482	-0.16627665	No	
row_8	Cxcl5	8835	-0.04623347148299217	-0.18494774	No	
row_9	Postn	9418	-0.1805858463048935	-0.21139848	No	
row_10	Kcnj8	11820	-0.5177279710769653	-0.3241616	No	
row_11	Tnfrsf21	12409	-0.604336678981781	-0.34412327	No	
row_12	Vav2	12451	-0.6090115904808044	-0.33642974	No	
row_13	Stc1	12578	-0.6263855695724487	-0.33274356	No	
row_14	Vcan	12803	-0.6592457294464111	-0.33347195	No	
row_15	Olr1	12830	-0.6638413667678833	-0.32414335	No	
row_16	Serpina5	12987	-0.6891322135925293	-0.32096413	No	
row_17	Lpl	13236	-0.7262961864471436	-0.321828	No	
row_18	Thbd	14141	-0.8792893290519714	-0.353316	No	
row_19	Msx1	14594	-0.9624786972999573	-0.3606804	No	
row_20	Fgfr1	15374	-1.1240473985671997	-0.381943	Yes	
row_21	Col3a1	15519	-1.1589105129241943	-0.37062946	Yes	
row_22	Apoh	15634	-1.1837351322174072	-0.35740542	Yes	
row_23	Lum	16256	-1.3475245237350464	-0.36711973	Yes	
row_24	Spp1	16807	-1.543791651725769	-0.37010854	Yes	
row_25	Pf4	17021	-1.6284931898117065	-0.35474795	Yes	
row_26	Nrp1	17393	-1.7939022779464722	-0.3447028	Yes	
row_27	Ccnd2	17535	-1.8599923849105835	-0.3220016	Yes	
row_28	Itgav	17740	-1.971301555633545	-0.30069292	Yes	
row_29	Slco2a1	18319	-2.3098530769348145	-0.29281566	Yes	
row_30	Col5a2	18973	-2.98279070854187	-0.2779346	Yes	
row_31	Fstl1	19205	-3.380296230316162	-0.235405	Yes	
row_32	Timp1	19387	-3.8801915645599365	-0.18234237	Yes	
row_33	Prg2	19438	-4.0178022384643555	-0.12046906	Yes	
row_34	Vegfa	19504	-4.265443325042725	-0.055383064	Yes	
row_35	S100a4	19572	-4.597536563873291	0.014924633	Yes	
