NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cadm1	411	9.488967895507812	0.0016836968	No	
row_1	Tpm4	769	6.690944194793701	-5.440051E-4	No	
row_2	Glipr1	826	6.37998628616333	0.011786419	No	
row_3	Ccn1	843	6.285090446472168	0.025924042	No	
row_4	Tgfbr3	844	6.275496959686279	0.040852018	No	
row_5	Rhob	865	6.174917697906494	0.05452427	No	
row_6	Wipf1	895	6.059684753417969	0.067465	No	
row_7	Sdc4	925	5.919911861419678	0.080073245	No	
row_8	Jun	952	5.822553634643555	0.092602365	No	
row_9	Serpine2	1097	5.334509372711182	0.097973384	No	
row_10	Sgcb	1170	5.090688705444336	0.10642369	No	
row_11	Pmepa1	1205	4.983585834503174	0.116550505	No	
row_12	Sat1	1209	4.966551303863525	0.12821233	No	
row_13	Htra1	1212	4.956116676330566	0.13990015	No	
row_14	Vim	1615	3.9674477577209473	0.12890683	No	
row_15	Pvr	1789	3.6645305156707764	0.12883148	No	
row_16	Gpx7	1887	3.526825189590454	0.13229112	No	
row_17	Col8a2	2083	3.256845235824585	0.13012786	No	
row_18	Qsox1	2196	3.091763973236084	0.13179025	No	
row_19	Fermt2	2322	2.9178507328033447	0.13237824	No	
row_20	Slc6a8	2532	2.66593337059021	0.1280978	No	
row_21	Cald1	2697	2.478620767593384	0.12565884	No	
row_22	Col5a3	2923	2.270533561706543	0.119624674	No	
row_23	Sntb1	2955	2.239290952682495	0.123375915	No	
row_24	Colgalt1	3091	2.1352622509002686	0.121594064	No	
row_25	Plod3	3191	2.066352128982544	0.12147793	No	
row_26	Pcolce	3213	2.041832685470581	0.1252677	No	
row_27	Ecm1	3432	1.8816156387329102	0.118664145	No	
row_28	Plod1	3465	1.858831524848938	0.12145953	No	
row_29	Fuca1	3561	1.7928271293640137	0.12089604	No	
row_30	Pfn2	3646	1.744585394859314	0.120776854	No	
row_31	Tpm1	3755	1.6803804636001587	0.11928517	No	
row_32	Thbs1	3903	1.5916111469268799	0.11560022	No	
row_33	Fzd8	4273	1.3932613134384155	0.10016066	No	
row_34	Sgcg	4344	1.3611994981765747	0.099841006	No	
row_35	Sfrp1	4744	1.1595603227615356	0.082320824	No	
row_36	Itga5	4750	1.1565492153167725	0.08481788	No	
row_37	Dst	5192	0.9726026058197021	0.06471838	No	
row_38	Cdh6	5265	0.9452188611030579	0.06330756	No	
row_39	Tnfrsf12a	5333	0.9190132021903992	0.062088523	No	
row_40	Inhba	5404	0.8973163962364197	0.0606654	No	
row_41	Areg	5529	0.8501478433609009	0.056385614	No	
row_42	Fgf2	5626	0.8213395476341248	0.053460352	No	
row_43	Nt5e	5843	0.7454132437705994	0.044255678	No	
row_44	Itgb5	5875	0.7350811958312988	0.044428743	No	
row_45	Matn2	6284	0.6145457029342651	0.025154687	No	
row_46	Ppib	6299	0.6086723804473877	0.025891053	No	
row_47	Itgb3	6383	0.5859652757644653	0.023066593	No	
row_48	Ecm2	6490	0.5552648901939392	0.019000167	No	
row_49	Col4a2	6683	0.49937665462493896	0.01042999	No	
row_50	Flna	6766	0.47884953022003174	0.0074015497	No	
row_51	Sfrp4	7134	0.38306036591529846	-0.010339403	No	
row_52	Serpinh1	7476	0.2910541892051697	-0.02697781	No	
row_53	Fas	7501	0.28443247079849243	-0.02752097	No	
row_54	Fstl3	7505	0.2830686867237091	-0.027000085	No	
row_55	Lama1	7796	0.21441735327243805	-0.0412288	No	
row_56	Igfbp2	7799	0.21402180194854736	-0.04082134	No	
row_57	Magee1	7967	0.16597779095172882	-0.048914015	No	
row_58	Ccn2	8294	0.08113403618335724	-0.06528942	No	
row_59	Fbn2	8349	0.06462918967008591	-0.067880146	No	
row_60	Edil3	8389	0.0585310123860836	-0.069723025	No	
row_61	Cxcl5	8835	-0.04623347148299217	-0.09222943	No	
row_62	Lamc1	9228	-0.1385694295167923	-0.11182255	No	
row_63	Lama3	9351	-0.16456089913845062	-0.11763155	No	
row_64	Postn	9418	-0.1805858463048935	-0.12055632	No	
row_65	Efemp2	9435	-0.18326421082019806	-0.12093355	No	
row_66	Dab2	9462	-0.19054041802883148	-0.121801704	No	
row_67	Cxcl15	9520	-0.20268511772155762	-0.12421649	No	
row_68	Itgb1	9990	-0.2794758081436157	-0.14738783	No	
row_69	Slit2	10948	-0.4048578143119812	-0.1950627	No	
row_70	Col7a1	10952	-0.40538719296455383	-0.19425084	No	
row_71	Col4a1	12351	-0.5975025296211243	-0.26388055	No	
row_72	Tfpi2	12433	-0.6068388819694519	-0.2665537	No	
row_73	Ptx3	12518	-0.6184794902801514	-0.26935166	No	
row_74	Mmp3	12586	-0.6273776292800903	-0.27126443	No	
row_75	Crlf1	12629	-0.6336705684661865	-0.27189165	No	
row_76	Loxl1	12663	-0.640563428401947	-0.27204508	No	
row_77	Sgcd	12734	-0.6503467559814453	-0.27405566	No	
row_78	Vcan	12803	-0.6592457294464111	-0.27594346	No	
row_79	Il6	12889	-0.6730398535728455	-0.27866244	No	
