NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Aldh3b1	62	18.772005081176758	0.03459345	Yes	
row_1	Ttc39a	186	13.605031967163086	0.055696744	Yes	
row_2	Arl3	284	11.293045997619629	0.07347297	Yes	
row_3	Fhl2	379	9.923907279968262	0.088648744	Yes	
row_4	Igf1r	416	9.384864807128906	0.10568902	Yes	
row_5	Myb	426	9.232131004333496	0.12379469	Yes	
row_6	Krt19	430	9.207257270812988	0.14215535	Yes	
row_7	Kazn	432	9.174123764038086	0.16055106	Yes	
row_8	Nherf1	467	8.840725898742676	0.17659889	Yes	
row_9	Krt8	517	8.350261688232422	0.19089803	Yes	
row_10	B4galt1	565	7.989086627960205	0.20457262	Yes	
row_11	Il6st	624	7.577116012573242	0.21685968	Yes	
row_12	Wwc1	627	7.571159839630127	0.23198146	Yes	
row_13	Slc27a2	677	7.212817668914795	0.24399352	Yes	
row_14	Rara	762	6.737126350402832	0.25326994	Yes	
row_15	Fos	879	6.110306262969971	0.2596593	Yes	
row_16	Plaat3	902	6.030789852142334	0.27066717	Yes	
row_17	Chpt1	903	6.026516437530518	0.28278476	Yes	
row_18	Fkbp4	924	5.920027256011963	0.29367158	Yes	
row_19	Slc24a3	973	5.753891468048096	0.30280098	Yes	
row_20	Inhbb	975	5.752323627471924	0.31431642	Yes	
row_21	Elf3	1198	4.994689464569092	0.31307426	Yes	
row_22	Amfr	1208	4.971839904785156	0.3226137	Yes	
row_23	Bag1	1237	4.880238056182861	0.33100313	Yes	
row_24	Frk	1365	4.489626407623291	0.3335746	Yes	
row_25	Aff1	1452	4.292001247406006	0.3378329	Yes	
row_26	Elf1	1529	4.1360015869140625	0.34228584	Yes	
row_27	Tjp3	1553	4.094390392303467	0.34934932	Yes	
row_28	Kcnk5	1631	3.9279534816741943	0.35333312	Yes	
row_29	Scnn1a	1646	3.9119040966033936	0.36048716	Yes	
row_30	Celsr1	1755	3.714571237564087	0.36246607	Yes	
row_31	Cant1	1758	3.7095067501068115	0.3698232	Yes	
row_32	Mast4	1785	3.6731395721435547	0.37588713	Yes	
row_33	Hes1	1848	3.588667631149292	0.37995124	Yes	
row_34	Tsku	1908	3.4980976581573486	0.38398573	Yes	
row_35	Tob1	2227	3.052825450897217	0.37395898	Yes	
row_36	Olfml3	2319	2.9187722206115723	0.3752019	Yes	
row_37	Dhrs3	2429	2.8010268211364746	0.3752931	Yes	
row_38	Gfra1	2450	2.7798006534576416	0.37986583	Yes	
row_39	Nav2	2601	2.5921051502227783	0.37745276	Yes	
row_40	Cldn7	2626	2.561983108520508	0.38138416	Yes	
row_41	Abca3	2652	2.528315305709839	0.38519704	Yes	
row_42	Deptor	2685	2.4950928688049316	0.3885873	Yes	
row_43	Pex11a	2693	2.4804813861846924	0.393219	Yes	
row_44	Abat	2701	2.474071741104126	0.39783782	Yes	
row_45	Tbc1d30	2756	2.4234089851379395	0.39996558	Yes	
row_46	Siah2	2765	2.4152274131774902	0.40441525	Yes	
row_47	Klf10	2873	2.3194103240966797	0.4036397	Yes	
row_48	Dynlt3	2952	2.2426679134368896	0.40418404	Yes	
row_49	Endod1	3004	2.1989080905914307	0.4060129	Yes	
row_50	Slc1a4	3024	2.183859348297119	0.4094382	Yes	
row_51	Retreg1	3036	2.1722466945648193	0.41324678	Yes	
row_52	Slc19a2	3049	2.1643409729003906	0.41698864	Yes	
row_53	Eeig1	3163	2.0864417552948	0.41543967	Yes	
row_54	Slc2a1	3217	2.0398263931274414	0.416847	Yes	
row_55	Farp1	3263	2.0005242824554443	0.41858196	Yes	
row_56	Elovl5	3332	1.952608585357666	0.4190514	Yes	
row_57	Add3	3452	1.8675583600997925	0.41675735	Yes	
row_58	Sox3	3625	1.758470892906189	0.41154972	Yes	
row_59	Rab31	3629	1.756144404411316	0.41492835	Yes	
row_60	Sfn	3631	1.754469394683838	0.41840523	Yes	
row_61	Thsd4	3690	1.7181252241134644	0.41891155	Yes	
row_62	Jak2	3700	1.7126858234405518	0.42189777	Yes	
row_63	Asb13	3809	1.6535558700561523	0.41973254	Yes	
row_64	Xbp1	3841	1.6305086612701416	0.4214352	Yes	
row_65	Snx24	3852	1.6263352632522583	0.42419696	Yes	
row_66	Ovol2	3904	1.5910358428955078	0.42480356	Yes	
row_67	Tiparp	3930	1.5754715204238892	0.42670053	Yes	
row_68	Slc1a1	4080	1.4856029748916626	0.42211345	No	
row_69	Mindy1	4091	1.4803961515426636	0.42458177	No	
row_70	Mybl1	4300	1.382064938545227	0.4167873	No	
row_71	Rps6ka2	4337	1.3656724691390991	0.41770327	No	
row_72	Rrp12	4417	1.3210272789001465	0.4163436	No	
row_73	Clic3	4516	1.268574833869934	0.41391265	No	
row_74	Krt18	4520	1.2666256427764893	0.41630697	No	
row_75	Podxl	4541	1.2575829029083252	0.41781893	No	
row_76	Lrig1	4612	1.219660758972168	0.41671297	No	
row_77	Fkbp5	4751	1.156417727470398	0.41202316	No	
row_78	Fasn	4761	1.150905966758728	0.41387978	No	
row_79	Zfp185	4859	1.1154890060424805	0.41119185	No	
row_80	Adcy1	4885	1.1052278280258179	0.41214332	No	
row_81	Scarb1	5078	1.0210621356964111	0.40443632	No	
row_82	Areg	5529	0.8501478433609009	0.38327056	No	
row_83	Ppif	5617	0.8241859674453735	0.38050523	No	
row_84	Klf4	5851	0.7431082725524902	0.37015516	No	
row_85	Ugcg	5893	0.7282794713973999	0.36953536	No	
row_86	Tiam1	6500	0.5523668527603149	0.3398408	No	
row_87	Adcy9	6586	0.5288206338882446	0.33658326	No	
row_88	Isg20l2	6720	0.48955512046813965	0.33080673	No	
