NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Nudt4	33	21.55592918395996	0.047035657	Yes	
row_1	Gclm	323	10.57354736328125	0.056246407	Yes	
row_2	Gde1	333	10.449668884277344	0.07940341	Yes	
row_3	Sec14l1	476	8.789656639099121	0.092051655	Yes	
row_4	Ucp2	570	7.954573631286621	0.105302356	Yes	
row_5	Myl4	743	6.840878486633301	0.1120225	Yes	
row_6	Gclc	790	6.592165946960449	0.12458238	Yes	
row_7	Sdcbp	800	6.562494277954102	0.1389551	Yes	
row_8	Minpp1	832	6.34456205368042	0.15171757	Yes	
row_9	Slc6a9	971	5.759915351867676	0.1577224	Yes	
row_10	Mkrn1	1036	5.531119346618652	0.16696998	Yes	
row_11	Arl2bp	1061	5.468066215515137	0.1781074	Yes	
row_12	Slc30a1	1080	5.418548583984375	0.18943775	Yes	
row_13	Map2k3	1103	5.311347007751465	0.20032261	Yes	
row_14	Mpp1	1153	5.156191349029541	0.20948504	Yes	
row_15	Bsg	1201	4.9897990226745605	0.21837308	Yes	
row_16	Ppox	1233	4.900397777557373	0.227872	Yes	
row_17	Agpat4	1239	4.879170894622803	0.23864396	Yes	
row_18	Aldh6a1	1260	4.801630020141602	0.24847858	Yes	
row_19	Slc11a2	1311	4.668355464935303	0.2564878	Yes	
row_20	Selenbp1	1387	4.437807083129883	0.2627058	Yes	
row_21	Psmd9	1482	4.228264808654785	0.26748493	Yes	
row_22	Bcam	1508	4.174405574798584	0.27564812	Yes	
row_23	Pigq	1585	4.035758018493652	0.28090677	Yes	
row_24	Marchf8	1673	3.8483211994171143	0.28518295	Yes	
row_25	Smox	1683	3.8275232315063477	0.29337516	Yes	
row_26	Htatip2	1864	3.5620486736297607	0.2922793	Yes	
row_27	Mxi1	1882	3.532780408859253	0.299399	Yes	
row_28	Kdm7a	2023	3.3472418785095215	0.29985002	Yes	
row_29	Nek7	2024	3.346611499786377	0.30741274	Yes	
row_30	Cdc27	2028	3.333829641342163	0.31479412	Yes	
row_31	Ppp2r5b	2148	3.158267021179199	0.3158851	Yes	
row_32	Gapvd1	2164	3.139141321182251	0.32221684	Yes	
row_33	Ezh1	2184	3.111360549926758	0.32828256	Yes	
row_34	Synj1	2246	3.0134129524230957	0.33199304	Yes	
row_35	Fn3k	2250	2.999511241912842	0.33861893	Yes	
row_36	Urod	2403	2.8393421173095703	0.33731252	Yes	
row_37	Btrc	2405	2.8381025791168213	0.3436753	Yes	
row_38	Slc6a8	2532	2.66593337059021	0.34329802	Yes	
row_39	Adipor1	2538	2.662217617034912	0.3490601	Yes	
row_40	Slc66a2	2557	2.644462823867798	0.3541215	Yes	
row_41	Slc22a4	2595	2.5989208221435547	0.3581147	Yes	
row_42	Vezf1	2660	2.519146203994751	0.3605558	Yes	
row_43	Ccnd3	2678	2.498772144317627	0.3653388	Yes	
row_44	Fbxo34	2692	2.4813156127929688	0.3702856	Yes	
row_45	C3	2786	2.392780303955078	0.37096772	Yes	
row_46	Mark3	2845	2.3376195430755615	0.37330344	Yes	
row_47	Endod1	3004	2.1989080905914307	0.37024492	Yes	
row_48	Lpin2	3017	2.1917004585266113	0.37458804	Yes	
row_49	Ftcd	3143	2.1019325256347656	0.37298703	Yes	
row_50	Pdzk1ip1	3177	2.077731132507324	0.37600565	Yes	
row_51	Kat2b	3216	2.04080867767334	0.3786868	Yes	
row_52	Slc2a1	3217	2.0398263931274414	0.38329643	Yes	
row_53	Klf3	3335	1.9516857862472534	0.38176233	Yes	
row_54	Tnrc6b	3425	1.8934624195098877	0.38151932	Yes	
row_55	Rnf19a	3428	1.8887031078338623	0.3856858	Yes	
row_56	Rcl1	3516	1.8240997791290283	0.38538763	Yes	
row_57	Marchf2	3543	1.8015432357788086	0.3881378	Yes	
row_58	Cat	3655	1.7363752126693726	0.38642198	No	
row_59	Fbxo9	3876	1.6077966690063477	0.37887758	No	
row_60	Dcaf11	3952	1.5568220615386963	0.37858513	No	
row_61	Lrp10	4061	1.4942792654037476	0.37647465	No	
row_62	Khnyn	4129	1.4585298299789429	0.37636653	No	
row_63	Xk	4133	1.4570356607437134	0.37950674	No	
row_64	Add1	4187	1.435926914215088	0.38005885	No	
row_65	Rad23a	4224	1.421994686126709	0.3814432	No	
row_66	Rnf123	4254	1.406064748764038	0.3831472	No	
row_67	Fech	4293	1.3866223096847534	0.38435	No	
row_68	Rbm5	4432	1.310367465019226	0.38029972	No	
row_69	Clcn3	4446	1.3035035133361816	0.38258487	No	
row_70	Tfdp2	4664	1.1958473920822144	0.37426198	No	
row_71	Arhgef12	4869	1.111419439315796	0.36640877	No	
row_72	Ctsb	4888	1.1036256551742554	0.3679882	No	
row_73	Blvra	4909	1.0946403741836548	0.36944574	No	
row_74	Abcb6	5190	0.9728479385375977	0.357418	No	
row_75	Glrx5	5309	0.9271456003189087	0.35351783	No	
row_76	Foxo3	5358	0.9112655520439148	0.35313836	No	
row_77	Uros	5455	0.880234956741333	0.35024995	No	
row_78	Nnt	5855	0.7419925928115845	0.3316544	No	
row_79	Ranbp10	5878	0.7341798543930054	0.33219573	No	
row_80	Bpgm	6086	0.6712319254875183	0.32319537	No	
row_81	Cir1	6288	0.6131613254547119	0.3143686	No	
row_82	Picalm	6292	0.6117128133773804	0.31559855	No	
row_83	Cdr2	6542	0.5419308543205261	0.30417204	No	
row_84	Ctns	6717	0.4902350604534149	0.29643932	No	
row_85	Hdgf	7430	0.3017231822013855	0.26094598	No	
row_86	Sidt2	7459	0.2947368919849396	0.2601894	No	
row_87	Ubac1	7629	0.24974754452705383	0.25216725	No	
row_88	Cast	7674	0.238576278090477	0.25047085	No	
row_89	Ypel5	7752	0.22182805836200714	0.24705994	No	
row_90	Tspo2	8040	0.14862069487571716	0.23281394	No	
row_91	Daam1	8077	0.14069099724292755	0.2313028	No	
row_92	Ctse	8106	0.1319112628698349	0.23017827	No	
row_93	Mospd1	8276	0.08502478152513504	0.22178389	No	
row_94	Igsf3	8292	0.08170406520366669	0.2212064	No	
