NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lgals3bp	24	22.665307998657227	0.06724751	Yes	
row_1	Bst2	147	14.333696365356445	0.10437369	Yes	
row_2	Ifitm3	246	12.19749927520752	0.13626103	Yes	
row_3	Tent5a	318	10.652753829956055	0.16484772	Yes	
row_4	Ifi27	320	10.631050109863281	0.19690849	Yes	
row_5	Ifitm1	371	10.010436058044434	0.22461693	Yes	
row_6	Rtp4	424	9.253647804260254	0.24993835	Yes	
row_7	Irf7	489	8.634658813476562	0.2727833	Yes	
row_8	Txnip	640	7.529091835021973	0.28794014	Yes	
row_9	Ddx60	649	7.455941200256348	0.31005648	Yes	
row_10	Ifit3	702	7.094633102416992	0.32885653	Yes	
row_11	Usp18	714	7.031728267669678	0.3495398	Yes	
row_12	Ly6e	761	6.738486289978027	0.3675675	Yes	
row_13	Ifi44	803	6.553112030029297	0.38528812	Yes	
row_14	Cmpk2	809	6.500099182128906	0.404669	Yes	
row_15	Ifi35	828	6.373402118682861	0.4230098	Yes	
row_16	Isg20	931	5.900036334991455	0.43567324	Yes	
row_17	Uba7	1057	5.480538368225098	0.44590655	Yes	
row_18	Gbp3	1256	4.806621551513672	0.45041293	Yes	
row_19	Isg15	1294	4.7081780433654785	0.46276313	Yes	
row_20	Rsad2	1330	4.597908020019531	0.4748814	Yes	
row_21	Ifitm2	1348	4.546657562255859	0.48775506	Yes	
row_22	Samd9l	1419	4.368006706237793	0.49740908	Yes	
row_23	Trim12c	1494	4.204200744628906	0.5063661	Yes	
row_24	Elf1	1529	4.1360015869140625	0.51713973	Yes	
row_25	Herc6	1636	3.922208547592163	0.5236268	Yes	
row_26	Irf9	1678	3.8409526348114014	0.53315526	Yes	
row_27	Parp12	1708	3.7918620109558105	0.54314226	Yes	
row_28	Stat2	1778	3.6797051429748535	0.55076784	Yes	
row_29	Gmpr	1846	3.5894463062286377	0.5582219	Yes	
row_30	Trim25	1896	3.5169849395751953	0.56636727	Yes	
row_31	Plscr1	1940	3.443516731262207	0.57459414	Yes	
row_32	Parp14	2001	3.375772476196289	0.5817568	Yes	
row_33	Parp9	2037	3.324845552444458	0.5900297	Yes	
row_34	Oas1a	2205	3.079102039337158	0.59088564	Yes	
row_35	Mov10	2257	2.9918999671936035	0.59734386	Yes	
row_36	Epsti1	2290	2.954820156097412	0.60465086	Yes	
row_37	Dhx58	2332	2.9087331295013428	0.61136353	Yes	
row_38	Mx2	2353	2.8838613033294678	0.61906296	Yes	
row_39	Adar	3121	2.1203463077545166	0.58668315	No	
row_40	Trafd1	3355	1.9390952587127686	0.5807583	No	
row_41	Trim26	3554	1.7957676649093628	0.57617027	No	
row_42	Oasl1	3683	1.7200335264205933	0.5748932	No	
row_43	Eif2ak2	3723	1.6991726160049438	0.5780535	No	
row_44	Cnp	4044	1.5062490701675415	0.5664219	No	
row_45	Mvb12a	4092	1.4800394773483276	0.5685158	No	
row_46	Trim14	4386	1.3332303762435913	0.5577269	No	
row_47	Ogfr	5186	0.9775598049163818	0.52027714	No	
row_48	Ncoa7	5507	0.861560046672821	0.50669825	No	
row_49	Cmtr1	5740	0.782757580280304	0.49733123	No	
row_50	Csf1	5836	0.7499744296073914	0.49479273	No	
row_51	Psma3	6052	0.6808250546455383	0.4859774	No	
row_52	Irf2	6170	0.6454164385795593	0.48201066	No	
row_53	Rnf31	6954	0.42933782935142517	0.44371402	No	
row_54	Casp8	7305	0.3343217372894287	0.42702565	No	
row_55	Batf2	7492	0.28663113713264465	0.41848606	No	
row_56	Ifi44l	8438	0.04301363229751587	0.3708308	No	
row_57	Ripk2	8589	0.011874597519636154	0.36328173	No	
row_58	Wars1	8715	-0.020263103768229485	0.35702214	No	
row_59	Cd47	8826	-0.04446679726243019	0.35159415	No	
row_60	Trim21	8985	-0.08148110657930374	0.3438508	No	
row_61	Lpar6	9157	-0.12294447422027588	0.33557528	No	
row_62	Tdrd7	9639	-0.22663217782974243	0.31193742	No	
row_63	Irf1	9821	-0.256753146648407	0.30356044	No	
row_64	Pnpt1	9944	-0.27374252676963806	0.2982182	No	
row_65	Ccrl2	10023	-0.2830565869808197	0.295129	No	
row_66	Sell	10268	-0.3160669505596161	0.2837455	No	
row_67	Ifih1	10510	-0.34711405634880066	0.27260748	No	
row_68	Slc25a28	10727	-0.37723466753959656	0.2628246	No	
row_69	Helz2	11514	-0.4749213755130768	0.22451396	No	
row_70	Lap3	11941	-0.5360548496246338	0.20459186	No	
row_71	Lamp3	12570	-0.6256275177001953	0.17472592	No	
row_72	Sp110	12795	-0.6581588387489319	0.16538705	No	
row_73	Nub1	12999	-0.6917221546173096	0.15721144	No	
row_74	Tmem140	13383	-0.7480764389038086	0.14010412	No	
row_75	B2m	15628	-1.1829363107681274	0.030206323	No	
row_76	Il7	15929	-1.2561800479888916	0.01883074	No	
