NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lgals3bp	24	22.665307998657227	0.041196056	Yes	
row_1	Bst2	147	14.333696365356445	0.061821315	Yes	
row_2	Ifitm3	246	12.19749927520752	0.07966833	Yes	
row_3	Ifi27	320	10.631050109863281	0.09585411	Yes	
row_4	Rtp4	424	9.253647804260254	0.10793801	Yes	
row_5	Irf7	489	8.634658813476562	0.12084505	Yes	
row_6	Txnip	640	7.529091835021973	0.12731367	Yes	
row_7	Ddx60	649	7.455941200256348	0.14086013	Yes	
row_8	Ifit3	702	7.094633102416992	0.15149489	Yes	
row_9	Usp18	714	7.031728267669678	0.16409504	Yes	
row_10	Ly6e	761	6.738486289978027	0.17436817	Yes	
row_11	Ifi44	803	6.553112030029297	0.18454842	Yes	
row_12	Cmpk2	809	6.500099182128906	0.19645855	Yes	
row_13	Ifi35	828	6.373402118682861	0.20747107	Yes	
row_14	Peli1	852	6.2068657875061035	0.21791792	Yes	
row_15	Isg20	931	5.900036334991455	0.22499612	Yes	
row_16	Oas3	957	5.805535316467285	0.23459029	Yes	
row_17	Stat1	1071	5.445350170135498	0.23903935	Yes	
row_18	Sod2	1083	5.410935878753662	0.24860638	Yes	
row_19	Isoc1	1101	5.317558288574219	0.25769383	Yes	
row_20	Arl4a	1155	5.1472320556640625	0.26463345	Yes	
row_21	Mvp	1244	4.847968578338623	0.26923475	Yes	
row_22	Gbp3	1256	4.806621551513672	0.2776709	Yes	
row_23	Isg15	1294	4.7081780433654785	0.2846018	Yes	
row_24	Rsad2	1330	4.597908020019531	0.29142797	Yes	
row_25	Cdkn1a	1332	4.594480514526367	0.2999752	Yes	
row_26	Ifitm2	1348	4.546657562255859	0.3077216	Yes	
row_27	Samd9l	1419	4.368006706237793	0.31233928	Yes	
row_28	Eif4e3	1425	4.344084739685059	0.32021466	Yes	
row_29	Oas2	1528	4.137153625488281	0.32277447	Yes	
