NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dnaja4	75	18.000171661376953	0.08901762	No	
row_1	Cebpb	987	5.6986403465271	0.07229565	No	
row_2	Dnajc3	1142	5.187206268310547	0.09124826	No	
row_3	Ddit4	1416	4.371644496917725	0.09997306	No	
row_4	Atf3	1463	4.262840747833252	0.11962527	No	
row_5	Exoc2	1724	3.765726327896118	0.12588373	No	
row_6	Atf6	1987	3.397341728210449	0.13014148	No	
row_7	Spcs1	2582	2.6139450073242188	0.11355739	No	
row_8	Lsm1	2590	2.6062304973602295	0.1266415	No	
row_9	Gosr2	2935	2.252821683883667	0.120847814	No	
row_10	Slc1a4	3024	2.183859348297119	0.12765467	No	
row_11	Calr	3166	2.084962844848633	0.13126926	No	
row_12	Edc4	3505	1.8322169780731201	0.123610504	No	
row_13	Slc30a5	3699	1.7127982378005981	0.12267441	No	
row_14	Sdad1	3703	1.7106600999832153	0.13134317	No	
row_15	Aldh18a1	3771	1.6727455854415894	0.1365774	No	
row_16	Xbp1	3841	1.6305086612701416	0.14149264	No	
row_17	Fus	3874	1.607879877090454	0.14816375	No	
row_18	Cnot6	4071	1.489474892616272	0.14592431	No	
row_19	Cxxc1	4160	1.445072054862976	0.1489218	No	
row_20	Kif5b	4220	1.423477292060852	0.15327562	No	
row_21	Dcp2	4414	1.3212809562683105	0.15032078	No	
row_22	Xpot	4457	1.2998064756393433	0.15489729	No	
row_23	Hspa9	4805	1.1364712715148926	0.1431956	No	
row_24	Fkbp14	5054	1.030890941619873	0.13595988	No	
row_25	Parn	5228	0.9582817554473877	0.13214552	No	
row_26	Ywhaz	5250	0.9522102475166321	0.13599254	No	
row_27	Hsp90b1	5295	0.934249997138977	0.13858294	No	
row_28	Eif4a2	5627	0.8209292888641357	0.12606399	No	
row_29	H2ax	5848	0.7433615326881409	0.11876278	No	
row_30	Exosc4	5873	0.7367636561393738	0.121347085	No	
row_31	Dctn1	6454	0.5659855008125305	0.09491173	No	
row_32	Cebpg	6611	0.5226598381996155	0.08971156	No	
row_33	Arfgap1	6848	0.45684483647346497	0.080123246	No	
row_34	Bag3	7007	0.4143722355365753	0.0742635	No	
row_35	Wfs1	7141	0.3803268373012543	0.06949344	No	
row_36	Khsrp	7172	0.3733255863189697	0.06990011	No	
row_37	Hspa5	7382	0.31584909558296204	0.060951248	No	
row_38	Tspyl2	7597	0.25859150290489197	0.0514541	No	
row_39	Sec31a	8032	0.15099133551120758	0.030267976	No	
row_40	Ssr1	8213	0.10278041660785675	0.021688165	No	
row_41	Herpud1	8640	-0.0017731183907017112	1.3751283E-4	No	
row_42	Preb	8863	-0.05153918266296387	-0.010832124	No	
row_43	Nhp2	9071	-0.10081560164690018	-0.020788534	No	
row_44	Dcp1a	9240	-0.13952887058258057	-0.028571542	No	
row_45	Kdelr3	10294	-0.31883910298347473	-0.0802197	No	
row_46	Iars1	10546	-0.3521755635738373	-0.09110686	No	
row_47	Nabp1	10634	-0.3645783066749573	-0.09363007	No	
row_48	Nfyb	10762	-0.3831360638141632	-0.09808197	No	
row_49	Mtrex	10890	-0.39805570244789124	-0.10245695	No	
row_50	Eif4a3	11300	-0.4478975832462311	-0.120846905	No	
row_51	Arxes2	11331	-0.450587660074234	-0.120041855	No	
row_52	Exosc2	11373	-0.4581132233142853	-0.11975472	No	
row_53	Eif2ak3	11415	-0.46357461810112	-0.119439416	No	
row_54	Gemin4	11516	-0.4750470519065857	-0.12205094	No	
row_55	Tatdn2	11863	-0.5248856544494629	-0.1368555	No	
row_56	Rrp9	11883	-0.5270727276802063	-0.13509937	No	
row_57	Hyou1	12236	-0.5788811445236206	-0.14992918	No	
row_58	Nop14	12747	-0.6513120532035828	-0.17238188	No	
row_59	Srprb	12933	-0.6805443167686462	-0.17823565	No	
row_60	Ero1a	13099	-0.7047809958457947	-0.18295224	No	
row_61	Eif4g1	13284	-0.7332301139831543	-0.18848374	No	
row_62	Dkc1	13297	-0.7348278164863586	-0.18530211	No	
row_63	Nop56	13471	-0.7599512934684753	-0.19013911	No	
row_64	Pdia6	13788	-0.8150795698165894	-0.20192906	No	
row_65	Paip1	14261	-0.9018735289573669	-0.22116663	No	
row_66	Eif2s1	14750	-0.9938232898712158	-0.24073984	No	
row_67	Ddx10	14927	-1.0283929109573364	-0.24434452	No	
row_68	Yif1a	14974	-1.0363011360168457	-0.24132915	No	
row_69	Shc1	15121	-1.0685842037200928	-0.2432083	No	
row_70	Eif4e	15131	-1.070063829421997	-0.23814628	No	
row_71	Igfbp1	15175	-1.0804905891418457	-0.23475122	No	
row_72	Pdia5	15493	-1.1517245769500732	-0.24485597	No	
row_73	Zbtb17	15663	-1.1897122859954834	-0.24727458	No	
row_74	Ern1	15849	-1.2312238216400146	-0.2502889	No	
row_75	Tubb2a	15858	-1.235991358757019	-0.2443207	No	
row_76	Exosc10	15912	-1.2493462562561035	-0.24056108	No	
row_77	Chac1	16238	-1.3432773351669312	-0.250083	No	
row_78	Exosc9	16278	-1.3564342260360718	-0.24506268	No	
row_79	Mthfd2	16285	-1.3583719730377197	-0.23836224	No	
row_80	Exosc1	16677	-1.5011767148971558	-0.25041026	Yes	
row_81	Nolc1	16680	-1.5028108358383179	-0.24276261	Yes	
row_82	Cnot2	16704	-1.509145736694336	-0.23614511	Yes	
row_83	Pop4	16862	-1.5624310970306396	-0.23603457	Yes	
row_84	Psat1	16947	-1.5938740968704224	-0.23206738	Yes	
row_85	Lsm4	17191	-1.7023673057556152	-0.23558775	Yes	
row_86	Skic3	17275	-1.7380062341690063	-0.23082677	Yes	
row_87	Edem1	17328	-1.7650725841522217	-0.22435734	Yes	
row_88	Serp1	17350	-1.772998571395874	-0.21627812	Yes	
row_89	Cnot4	17430	-1.8134722709655762	-0.21092558	Yes	
row_90	Slc7a5	17551	-1.8639804124832153	-0.20738761	Yes	
row_91	Stc2	17586	-1.8816794157028198	-0.19940594	Yes	
row_92	Exosc5	17776	-1.9919612407684326	-0.19870016	Yes	
row_93	Asns	18038	-2.13142466545105	-0.20091918	Yes	
row_94	Imp3	18350	-2.327836513519287	-0.20465593	Yes	
row_95	Eif4a1	18499	-2.4563486576080322	-0.19948065	Yes	
row_96	Cks1b	18548	-2.512310028076172	-0.18895583	Yes	
row_97	Atf4	18572	-2.5299878120422363	-0.17707461	Yes	
row_98	Sec11a	18611	-2.5614173412323	-0.16579048	Yes	
row_99	Banf1	18713	-2.665436267852783	-0.15715842	Yes	
row_100	Atp6v0d1	18717	-2.671069860458374	-0.14353755	Yes	
row_101	Tars1	18742	-2.695929527282715	-0.1308513	Yes	
row_102	Eif4ebp1	18921	-2.9109086990356445	-0.12485049	Yes	
row_103	Nfya	18926	-2.9159276485443115	-0.11001768	Yes	
row_104	Eef2	19349	-3.7480809688568115	-0.112049	Yes	
row_105	Vegfa	19504	-4.265443325042725	-0.09784923	Yes	
row_106	Wipi1	19549	-4.466154098510742	-0.07704746	Yes	
row_107	Dnajb9	19736	-5.835728168487549	-0.05637043	Yes	
row_108	Npm1	19755	-6.039660453796387	-0.026139418	Yes	
row_109	Rps14	19764	-6.168814659118652	0.0052636433	Yes	
