NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Col4a1	90	6.962474822998047	0.016565291	Yes	
row_1	Sdhb	315	4.666455268859863	0.01934657	Yes	
row_2	Reep5	320	4.652741432189941	0.03327075	Yes	
row_3	Taldo1	327	4.61362886428833	0.046974495	Yes	
row_4	G3bp2	374	4.360353469848633	0.05787564	Yes	
row_5	Cox7b	377	4.331448078155518	0.07092593	Yes	
row_6	Cd151	393	4.28284215927124	0.083167724	Yes	
row_7	Tst	455	3.985722303390503	0.09216876	Yes	
row_8	Cyc1	464	3.9671831130981445	0.10380796	Yes	
row_9	Mrpl15	485	3.9175519943237305	0.11468641	Yes	
row_10	Samm50	548	3.7657692432403564	0.12296874	Yes	
row_11	Idh3a	550	3.758939266204834	0.13433151	Yes	
row_12	Ucp2	565	3.718085289001465	0.14490932	Yes	
row_13	Ndufa5	578	3.6813337802886963	0.15547721	Yes	
row_14	Lpcat3	580	3.6786208152770996	0.1665961	Yes	
row_15	Uqcrc1	584	3.6713082790374756	0.17759112	Yes	
row_16	Acads	675	3.4627182483673096	0.18352978	Yes	
row_17	Idh3g	750	3.3231418132781982	0.18985806	Yes	
row_18	Dld	806	3.2199976444244385	0.1968391	Yes	
row_19	Ndufab1	854	3.1333582401275635	0.20396376	Yes	
row_20	Mtch2	1017	2.906930685043335	0.20455444	Yes	
row_21	Acadl	1072	2.837907075881958	0.21042614	Yes	
row_22	Acaa2	1121	2.774060010910034	0.216409	Yes	
row_23	Dlat	1189	2.697275400161743	0.22119278	Yes	
row_24	Uqcr11	1221	2.6601033210754395	0.22769389	Yes	
row_25	Ndufs3	1258	2.6093668937683105	0.23378675	Yes	
row_26	Gpx4	1338	2.5108954906463623	0.23739454	Yes	
row_27	Grpel1	1410	2.444377899169922	0.24120706	Yes	
row_28	Mdh2	1448	2.4007070064544678	0.2466155	Yes	
row_29	Ndufb7	1535	2.3090410232543945	0.24925451	Yes	
row_30	Mgst3	1603	2.259126901626587	0.2527079	Yes	
row_31	Ptcd3	1663	2.207585573196411	0.2564115	Yes	
row_32	Immt	1693	2.1881909370422363	0.26158136	Yes	
row_33	Cox8a	1736	2.1384716033935547	0.26593938	Yes	
row_34	Uqcrq	1827	2.0616939067840576	0.267624	Yes	
row_35	Uqcr10	1922	1.9767972230911255	0.26884747	Yes	
row_36	Dnajc15	1942	1.9593936204910278	0.273831	Yes	
row_37	Cidea	2036	1.898956060409546	0.27486897	Yes	
row_38	Lama4	2053	1.8859550952911377	0.27978206	Yes	
row_39	Chchd10	2247	1.7558565139770508	0.2753016	No	
row_40	Pex14	2656	1.513142704963684	0.25915384	No	
row_41	Cavin2	2703	1.486809492111206	0.2613298	No	
row_42	Ppm1b	2704	1.4867215156555176	0.26584408	No	
row_43	Sspn	2743	1.4652711153030396	0.26836133	No	
row_44	Echs1	2915	1.3848258256912231	0.26387274	No	
row_45	Etfb	2919	1.3838447332382202	0.26792213	No	
row_46	Esrra	2941	1.3749301433563232	0.27102935	No	
row_47	Cmpk1	3049	1.3199877738952637	0.2695976	No	
row_48	Aifm1	3087	1.305696964263916	0.27168116	No	
row_49	Ywhag	3280	1.2254728078842163	0.2656411	No	
row_50	Pfkl	3353	1.1899176836013794	0.26559377	No	
row_51	Vegfb	3445	1.1555286645889282	0.26447606	No	
row_52	Dbt	3476	1.1451817750930786	0.2664281	No	
row_53	Nmt1	3568	1.1065820455551147	0.26516178	No	
row_54	Lifr	3642	1.0805225372314453	0.26473144	No	
row_55	Aldh2	3644	1.0799932479858398	0.2679599	No	
row_56	Gadd45a	3707	1.0593547821044922	0.2680245	No	
row_57	Sod1	3739	1.0498651266098022	0.2696363	No	
row_58	Pgm1	3803	1.0255777835845947	0.2695475	No	
row_59	Stat5a	3948	0.9715150594711304	0.2651766	No	
row_60	Slc25a10	4007	0.9537330269813538	0.26512384	No	
row_61	Abcb8	4086	0.9270977973937988	0.26397344	No	
row_62	Cd36	4106	0.9215758442878723	0.26580578	No	
row_63	Coq3	4139	0.9081846475601196	0.26693654	No	
row_64	Cs	4142	0.9066725969314575	0.26958787	No	
row_65	Hspb8	4173	0.8956811428070068	0.27078235	No	
row_66	Gpat4	4205	0.8860632181167603	0.27189678	No	
row_67	Pfkfb3	4245	0.8773735761642456	0.27257812	No	
row_68	Miga2	4252	0.8734596967697144	0.27492523	No	
row_69	Ltc4s	4468	0.8093447685241699	0.26645237	No	
row_70	Scp2	4504	0.7984293103218079	0.26709735	No	
row_71	Qdpr	4598	0.7675656676292419	0.26469997	No	
row_72	Ifngr1	4728	0.7250963449478149	0.26034343	No	
row_73	Gbe1	4776	0.7093412280082703	0.26010785	No	
row_74	Agpat3	4816	0.7006667852401733	0.26025262	No	
row_75	Lipe	4827	0.6978233456611633	0.2618631	No	
row_76	Bcl6	4953	0.6637538075447083	0.2575237	No	
row_77	Coq5	5031	0.6430492997169495	0.25556162	No	
row_78	Slc66a3	5036	0.642030656337738	0.25730774	No	
row_79	Phldb1	5334	0.5587232112884521	0.2439051	No	
row_80	Aplp2	5433	0.5337389707565308	0.24054353	No	
row_81	Rmdn3	5635	0.47955450415611267	0.23178104	No	
row_82	Aco2	5677	0.46955031156539917	0.23112239	No	
row_83	Abca1	5723	0.4585460424423218	0.23022696	No	
row_84	Slc19a1	5726	0.45833998918533325	0.23151699	No	
row_85	Rab34	5832	0.4298740327358246	0.22748417	No	
row_86	Cox6a1	6055	0.3678722679615021	0.21731494	No	
row_87	Rreb1	6171	0.3300654888153076	0.2124707	No	
row_88	Slc27a1	6173	0.32990962266921997	0.21342158	No	
row_89	Ubqln1	6285	0.304006963968277	0.20870157	No	
row_90	Rnf11	6312	0.29601532220840454	0.20827857	No	
row_91	Hadh	6319	0.29424241185188293	0.20886697	No	
row_92	Retsat	6440	0.26299047470092773	0.20356485	No	
row_93	Hibch	6465	0.2562158703804016	0.20312269	No	
row_94	Bcl2l13	6620	0.21627601981163025	0.19595021	No	
row_95	Map4k3	6970	0.12776952981948853	0.17859541	No	
row_96	Slc25a1	7187	0.08012386411428452	0.16785751	No	
row_97	Pdcd4	7332	0.05050226300954819	0.16069005	No	
