NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ifitm3	128	6.438035011291504	0.018908612	No	
row_1	Ccnd1	183	5.65214204788208	0.03847089	No	
row_2	Dnaja1	860	3.1277689933776855	0.016513348	No	
row_3	Bcl10	933	3.012286424636841	0.02474603	No	
row_4	Cd44	1016	2.9083805084228516	0.032061342	No	
row_5	Bcl2l11	1097	2.801457166671753	0.039056234	No	
row_6	Vdac2	1256	2.6131324768066406	0.041350454	No	
row_7	Gpx4	1338	2.5108954906463623	0.047148112	No	
row_8	Gsr	1358	2.489975690841675	0.056009	No	
row_9	Mcl1	1561	2.2870004177093506	0.05478389	No	
row_10	Cdk2	1594	2.2654523849487305	0.062099252	No	
row_11	Tnfrsf12a	1648	2.218388080596924	0.06816341	No	
row_12	Btg2	1777	2.0994558334350586	0.06995292	No	
row_13	Jun	1908	1.9927375316619873	0.07121986	No	
row_14	Dnm1l	1997	1.9227635860443115	0.074341714	No	
row_15	Hmgb2	2102	1.8494136333465576	0.07636233	No	
row_16	Bcap31	2188	1.789192795753479	0.07910935	No	
row_17	Bax	2282	1.7250173091888428	0.08119724	No	
row_18	Casp3	2319	1.6992120742797852	0.086075395	No	
row_19	Cdc25b	2462	1.6219998598098755	0.08527063	No	
row_20	Ccnd2	2551	1.5756882429122925	0.08702299	No	
row_21	Bnip3l	2637	1.5209009647369385	0.08871139	No	
row_22	Atf3	2902	1.3906500339508057	0.0808037	No	
row_23	Igf2r	3321	1.203046441078186	0.06434208	No	
row_24	Plcb2	3438	1.1582640409469604	0.063026704	No	
row_25	Ier3	3534	1.1195909976959229	0.06262424	No	
row_26	Nedd9	3662	1.072982907295227	0.060414243	No	
row_27	Gadd45a	3707	1.0593547821044922	0.062361747	No	
row_28	Ptk2	3716	1.055985450744629	0.06612253	No	
row_29	Sod1	3739	1.0498651266098022	0.06914884	No	
row_30	Casp6	3799	1.027769923210144	0.07021064	No	
row_31	Timp2	3848	1.009833812713623	0.07175979	No	
row_32	Add1	3892	0.9953031539916992	0.073505305	No	
row_33	Il18	3931	0.9799176454544067	0.0754438	No	
row_34	Anxa1	3941	0.9750638008117676	0.07883454	No	
row_35	Dap3	4167	0.8986347317695618	0.07096426	No	
row_36	Rock1	4260	0.8713366389274597	0.06973445	No	
row_37	Diablo	4321	0.8512973785400391	0.07004919	No	
row_38	Ifngr1	4728	0.7250963449478149	0.05231054	No	
row_39	Bid	4777	0.7089731097221375	0.05267256	No	
row_40	Emp1	4886	0.680010974407196	0.04987601	No	
row_41	Bik	4939	0.6684715747833252	0.049875267	No	
row_42	Dffa	5132	0.617185115814209	0.042568803	No	
row_43	H1f0	5146	0.6127837300300598	0.04432712	No	
row_44	Timp3	5372	0.5501009225845337	0.035081595	No	
row_45	Casp9	5676	0.4696985185146332	0.021561239	No	
row_46	Irf1	5709	0.461914598941803	0.02176023	No	
row_47	Egr3	6013	0.3786848187446594	0.007880753	No	
row_48	Rhot2	6410	0.27120620012283325	-0.01114147	No	
row_49	Cyld	6439	0.2635641396045685	-0.011522173	No	
row_50	Retsat	6440	0.26299047470092773	-0.010484469	No	
row_51	Hspb1	6545	0.23425227403640747	-0.014836937	No	
row_52	Casp2	6599	0.22113379836082458	-0.016653517	No	
row_53	Crebbp	6729	0.18987950682640076	-0.022449527	No	
row_54	Rhob	6831	0.1606205254793167	-0.026940314	No	
row_55	Casp7	6978	0.1262422800064087	-0.033849973	No	
row_56	Mmp2	7266	0.06451889127492905	-0.04815727	No	
row_57	Pdcd4	7332	0.05050226300954819	-0.051255986	No	
row_58	Ebp	7346	0.04796303063631058	-0.05172633	No	
row_59	Etf1	7441	0.024087823927402496	-0.05640068	No	
row_60	Lef1	7463	0.020414873957633972	-0.05738563	No	
row_61	Cdkn1b	7527	0.007731521502137184	-0.060551632	No	
row_62	Wee1	8607	-0.19400106370449066	-0.11453271	No	
row_63	Ppt1	9189	-0.25083622336387634	-0.14302188	No	
row_64	Fasl	9292	-0.26099729537963867	-0.14716734	No	
row_65	Dpyd	9565	-0.2846743166446686	-0.15984489	No	
row_66	Top2a	10136	-0.33737435936927795	-0.18743448	No	
row_67	Satb1	11000	-0.42216023802757263	-0.22955583	No	
row_68	Il6	11183	-0.4405886232852936	-0.23705171	No	
row_69	Bmf	11393	-0.46269547939300537	-0.24583031	No	
row_70	Rela	11439	-0.4671858251094818	-0.24627012	No	
row_71	Sod2	11596	-0.48359841108322144	-0.2522771	No	
row_72	Xiap	11697	-0.4949287474155426	-0.25539804	No	
row_73	Ifnb1	11899	-0.5166707634925842	-0.26355776	No	
row_74	Ccna1	12139	-0.5419509410858154	-0.27354577	No	
row_75	Cd69	12154	-0.5444293022155762	-0.2721079	No	
row_76	Ctnnb1	12501	-0.5833287239074707	-0.28736165	No	
row_77	Il1a	12728	-0.6081149578094482	-0.296429	No	
row_78	Prf1	12817	-0.6207931041717529	-0.29844445	No	
row_79	F2r	13000	-0.6411876082420349	-0.30514884	No	
row_80	Hgf	13845	-0.7506316900253296	-0.34501007	No	
row_81	Ppp3r1	13910	-0.7611205577850342	-0.3452541	No	
row_82	Ereg	14137	-0.7924336791038513	-0.35359415	No	
row_83	Fez1	14163	-0.7959758639335632	-0.35172188	No	
row_84	Dap	14194	-0.800544261932373	-0.35008526	No	
row_85	Cd38	14199	-0.8013047575950623	-0.34712642	No	
row_86	Smad7	14477	-0.8446203470230103	-0.35784823	No	
row_87	Psen2	14490	-0.8464589715003967	-0.35511714	No	
row_88	Tnfsf10	14636	-0.8693451881408691	-0.35904393	No	
row_89	Pak1	14753	-0.8855502009391785	-0.36143538	No	
row_90	Nefh	14760	-0.886696457862854	-0.35824108	No	
row_91	Il1b	14833	-0.8964535593986511	-0.35835704	No	
row_92	Avpr1a	14883	-0.9037352204322815	-0.35727724	No	
row_93	Gadd45b	15113	-0.9414668083190918	-0.36518148	No	
row_94	Gucy2e	15181	-0.9537216424942017	-0.36481777	No	
row_95	Cth	15258	-0.9640473127365112	-0.36486995	No	
row_96	Lum	15367	-0.9823657274246216	-0.36647347	No	
row_97	Cd2	15469	-1.0004111528396606	-0.36765063	No	
row_98	Psen1	15529	-1.0114598274230957	-0.36665317	No	
row_99	Fdxr	15550	-1.0171539783477783	-0.36365446	No	
row_100	Sptan1	15818	-1.0674574375152588	-0.37298962	No	
row_101	Plppr4	15986	-1.1025086641311646	-0.37711266	No	
row_102	Rara	16135	-1.135947823524475	-0.3801397	No	
row_103	Cav1	16168	-1.1433820724487305	-0.37725177	No	
row_104	Btg3	16260	-1.169443964958191	-0.37725458	No	
row_105	Ppp2r5b	16404	-1.2050211429595947	-0.3797554	No	
row_106	Sc5d	16509	-1.23202383518219	-0.38017088	No	
row_107	Brca1	16657	-1.2714638710021973	-0.38261247	No	
row_108	Bcl2l2	16673	-1.2739843130111694	-0.37834668	No	
row_109	Casp8	16753	-1.2952109575271606	-0.37724438	No	
row_110	Clu	16832	-1.3181735277175903	-0.37600073	No	
row_111	Bgn	17121	-1.3996343612670898	-0.38509068	No	
row_112	Aifm3	17159	-1.4122625589370728	-0.38139552	No	
row_113	Txnip	17455	-1.514708399772644	-0.39038658	No	
row_114	Krt18	17688	-1.6079181432724	-0.39581335	No	
row_115	Ddit3	18031	-1.7459417581558228	-0.4062767	Yes	
row_116	App	18107	-1.7891716957092285	-0.4030224	Yes	
row_117	Madd	18200	-1.8315706253051758	-0.4004633	Yes	
row_118	Lgals3	18249	-1.8631041049957275	-0.39554736	Yes	
row_119	Pea15a	18265	-1.8715533018112183	-0.38892367	Yes	
row_120	F2	18364	-1.9339756965637207	-0.38626498	Yes	
row_121	Dcn	18403	-1.9535036087036133	-0.3804849	Yes	
row_122	Bcl2l1	18533	-2.038390874862671	-0.3789871	Yes	
row_123	Cd14	18546	-2.0492782592773438	-0.37150994	Yes	
row_124	Gch1	18550	-2.0511221885681152	-0.36356887	Yes	
row_125	Pdgfrb	18555	-2.0535972118377686	-0.35566875	Yes	
row_126	Igfbp6	18587	-2.074064254760742	-0.34905782	Yes	
row_127	Mgmt	18626	-2.1077847480773926	-0.342669	Yes	
row_128	Plat	18641	-2.1174428462982178	-0.3350244	Yes	
row_129	Timp1	18699	-2.161435604095459	-0.3293879	Yes	
row_130	Tgfb2	18716	-2.176318645477295	-0.32161242	Yes	
row_131	Erbb2	18746	-2.2028021812438965	-0.31439203	Yes	
row_132	Cflar	18752	-2.2095284461975098	-0.3059274	Yes	
row_133	Gna15	18794	-2.238898277282715	-0.29917347	Yes	
row_134	Tspo	18883	-2.3064284324645996	-0.29453775	Yes	
row_135	Erbb3	18970	-2.4006495475769043	-0.2894288	Yes	
row_136	Tgfbr3	19002	-2.4414429664611816	-0.28136826	Yes	
row_137	Slc20a1	19007	-2.4535152912139893	-0.27189016	Yes	
