NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdk4	4	12.050305366516113	0.035790186	Yes	
row_1	Stmn1	8	11.072376251220703	0.06871019	Yes	
row_2	Cbx1	67	7.437244415283203	0.08797672	Yes	
row_3	Top1	70	7.357207775115967	0.10985058	Yes	
row_4	Snrpd1	83	7.093222141265869	0.13042764	Yes	
row_5	Smarcc1	96	6.881662845611572	0.15037279	Yes	
row_6	Hmgb3	101	6.799807548522949	0.17048007	Yes	
row_7	Hnrnpu	170	5.81583833694458	0.18439528	Yes	
row_8	Ncl	174	5.745760917663574	0.20140502	Yes	
row_9	Ccnd1	183	5.65214204788208	0.21788098	Yes	
row_10	H2az2	204	5.470041275024414	0.23320308	Yes	
row_11	Hnrnpd	236	5.210013389587402	0.24718937	Yes	
row_12	Syncrip	243	5.131091117858887	0.26221067	Yes	
row_13	Cks1b	302	4.722511291503906	0.27336845	Yes	
row_14	Srsf1	317	4.658130645751953	0.2865704	Yes	
row_15	Sfpq	324	4.634791374206543	0.30010924	Yes	
row_16	Jpt1	350	4.497958660125732	0.31227365	Yes	
row_17	H2az1	351	4.49627685546875	0.32570374	Yes	
row_18	Sap30	446	4.01569128036499	0.3329205	Yes	
row_19	Meis2	458	3.979072332382202	0.3442466	Yes	
row_20	Srsf2	501	3.8858840465545654	0.3537187	Yes	
row_21	Kif5b	518	3.843658447265625	0.3643862	Yes	
row_22	Ilf3	542	3.7797300815582275	0.37450698	Yes	
row_23	Hif1a	648	3.516608953475952	0.37967387	Yes	
row_24	Ewsr1	678	3.45119047164917	0.38850832	Yes	
row_25	Dtymk	695	3.42167329788208	0.3979154	Yes	
row_26	Lmnb1	715	3.3952693939208984	0.4070911	Yes	
row_27	Cul3	768	3.2968435287475586	0.4142955	Yes	
row_28	Ube2s	774	3.2789814472198486	0.42383546	Yes	
row_29	Ddx39a	787	3.2503645420074463	0.43293414	Yes	
row_30	Map3k20	884	3.0884745121002197	0.4372797	Yes	
row_31	Dkc1	935	3.011204481124878	0.44373253	Yes	
row_32	Srsf10	976	2.9547219276428223	0.45052496	Yes	
row_33	G3bp1	1008	2.9166736602783203	0.4576612	Yes	
row_34	Smc1a	1034	2.883397102355957	0.465003	Yes	
row_35	Cul5	1066	2.8458023071289062	0.47192755	Yes	
row_36	Gspt1	1265	2.603133201599121	0.4696389	Yes	
row_37	Ccnb2	1273	2.5903220176696777	0.47702023	Yes	
row_38	Cul4a	1297	2.5597147941589355	0.4834969	Yes	
row_39	Ctcf	1345	2.5034890174865723	0.4885857	Yes	
row_40	Hspa8	1386	2.4701008796691895	0.4939306	Yes	
row_41	Foxn3	1440	2.4107842445373535	0.49843755	Yes	
row_42	Tra2b	1525	2.318366289138794	0.5010928	Yes	
row_43	Prpf4b	1679	2.1956400871276855	0.49987426	Yes	
row_44	Stag1	1689	2.191071033477783	0.5059614	Yes	
row_45	Ube2c	1717	2.1607394218444824	0.511043	Yes	
row_46	E2f3	1741	2.1350455284118652	0.5162512	Yes	
row_47	Mnat1	1803	2.0818893909454346	0.5193691	Yes	
row_48	Cdc25a	1834	2.0549306869506836	0.5239822	Yes	
row_49	Nasp	1895	2.003445863723755	0.5269167	Yes	
row_50	Ythdc1	1951	1.9496090412139893	0.5299445	Yes	
row_51	Lig3	1962	1.9423911571502686	0.535238	Yes	
row_52	Mki67	2016	1.9093782901763916	0.5382473	Yes	
row_53	Cul1	2171	1.8000366687774658	0.5357963	Yes	
row_54	Xpo1	2302	1.714107632637024	0.5343085	Yes	
row_55	Cenpe	2375	1.6701112985610962	0.5356374	Yes	
row_56	Nolc1	2443	1.6295074224472046	0.5370991	Yes	
row_57	Cdc25b	2462	1.6219998598098755	0.541029	Yes	
row_58	Dr1	2513	1.5941729545593262	0.54324925	Yes	
row_59	E2f2	2552	1.574001431465149	0.54601926	Yes	
row_60	Pura	2564	1.5669543743133545	0.5501405	Yes	
row_61	Bub3	2573	1.5603151321411133	0.5543944	Yes	
row_62	Cenpa	2605	1.5433613061904907	0.55742866	Yes	
row_63	Atrx	2657	1.5123211145401	0.55935365	Yes	
row_64	Mcm6	2675	1.5029571056365967	0.5629788	Yes	
row_65	Kpnb1	2689	1.4935601949691772	0.5667792	Yes	
row_66	Odc1	2767	1.4596717357635498	0.56722534	Yes	
row_67	Kmt5a	2860	1.4117563962936401	0.56676596	Yes	
row_68	Slc12a2	2995	1.343745231628418	0.5639686	Yes	
row_69	Cdkn3	3200	1.2587352991104126	0.55735934	Yes	
row_70	Ezh2	3230	1.2457506656646729	0.5596063	Yes	
row_71	Nsd2	3247	1.2388664484024048	0.56249344	Yes	
row_72	Mtf2	3270	1.2302340269088745	0.5650499	Yes	
row_73	Racgap1	3312	1.2097264528274536	0.5665793	Yes	
row_74	Pafah1b1	3368	1.1824253797531128	0.5673155	Yes	
row_75	Slc7a1	3377	1.1805838346481323	0.5704352	Yes	
row_76	Tmpo	3382	1.1785674095153809	0.5737522	Yes	
row_77	Meis1	3512	1.1295530796051025	0.5705693	No	
row_78	Upf1	3683	1.0673245191574097	0.56511647	No	
row_79	Prmt5	3883	0.9979590773582458	0.55798244	No	
row_80	Dbf4	3909	0.9884353876113892	0.55966413	No	
row_81	Rad23b	4160	0.9009944796562195	0.54964817	No	
row_82	Aurka	4184	0.8931240439414978	0.55114686	No	
