NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ppia	52	7.678415298461914	0.018859483	Yes	
row_1	Serpinh1	140	6.242572784423828	0.03191893	Yes	
row_2	Pdap1	145	6.139084339141846	0.048907552	Yes	
row_3	Cacybp	192	5.554614067077637	0.06212451	Yes	
row_4	Txnrd1	201	5.491613388061523	0.077096626	Yes	
row_5	Hspd1	226	5.280432224273682	0.090664044	Yes	
row_6	Hspa4	265	4.934233665466309	0.102550335	Yes	
row_7	Hspe1	298	4.727747917175293	0.11416336	Yes	
row_8	Hspa9	383	4.301815032958984	0.12194039	Yes	
row_9	Ddit4	411	4.170228481292725	0.1322463	Yes	
row_10	Igfbp5	424	4.1106696128845215	0.14314787	Yes	
row_11	Tes	430	4.088120937347412	0.15434213	Yes	
row_12	Stip1	452	3.992957592010498	0.16445659	Yes	
row_13	Psmd12	503	3.8813765048980713	0.17278448	Yes	
row_14	Tomm40	561	3.7303824424743652	0.1803337	Yes	
row_15	Prdx1	654	3.501908302307129	0.18546401	Yes	
row_16	Mthfd2l	711	3.4027416706085205	0.19214654	Yes	
row_17	Psmc6	718	3.3903350830078125	0.20133588	Yes	
row_18	Psmc4	749	3.323251724243164	0.2091174	Yes	
row_19	Ddx39a	787	3.2503645420074463	0.216339	Yes	
row_20	Tpi1	800	3.2301735877990723	0.22477484	Yes	
row_21	Psmb5	828	3.178776502609253	0.23230426	Yes	
row_22	Pitpnb	857	3.1287574768066406	0.2396428	Yes	
row_23	Acsl3	903	3.067272901535034	0.245945	Yes	
row_24	Cd9	905	3.065237522125244	0.2544781	Yes	
row_25	Gpi1	918	3.032757520675659	0.26236108	Yes	
row_26	Abcf2	930	3.0143649578094482	0.2702434	Yes	
row_27	Phgdh	1032	2.8865110874176025	0.27319288	Yes	
row_28	Eef1e1	1054	2.8591504096984863	0.2801322	Yes	
row_29	Atp5mc1	1076	2.8313493728637695	0.28699368	Yes	
row_30	Ssr1	1087	2.820847749710083	0.2943849	Yes	
row_31	Ppa1	1090	2.815708637237549	0.30216837	Yes	
row_32	Sec11a	1101	2.7988789081573486	0.30949807	Yes	
row_33	Psmd14	1142	2.7477591037750244	0.31515968	Yes	
row_34	Gmps	1171	2.718442678451538	0.32134914	Yes	
row_35	Tcea1	1174	2.7164502143859863	0.32885465	Yes	
row_36	Cops5	1253	2.6167025566101074	0.33221766	Yes	
row_37	Gga2	1260	2.6070191860198975	0.3392134	Yes	
row_38	Gsr	1358	2.489975690841675	0.34125572	Yes	
row_39	Arpc5l	1375	2.478649139404297	0.34738368	Yes	
row_40	Psph	1468	2.3838894367218018	0.3493831	Yes	
row_41	Shmt2	1523	2.320054054260254	0.3531353	Yes	
row_42	Pno1	1542	2.300663948059082	0.35866314	Yes	
row_43	Psma4	1545	2.299499988555908	0.36500102	Yes	
row_44	Eprs1	1606	2.257108449935913	0.36827198	Yes	
row_45	Immt	1693	2.1881909370422363	0.37002832	Yes	
row_46	Btg2	1777	2.0994558334350586	0.37168866	Yes	
row_47	Pgk1	1821	2.066777467727661	0.37529075	Yes	
row_48	Cdc25a	1834	2.0549306869506836	0.38043544	Yes	
row_49	Psmc2	1870	2.02309250831604	0.38432184	Yes	
row_50	Psmd13	1963	1.9411593675613403	0.3850814	Yes	
row_51	Psmg1	2236	1.7616915702819824	0.3761888	No	
row_52	Psme3	2320	1.699031949043274	0.37672782	No	
row_53	Rrp9	2326	1.6950427293777466	0.38122046	No	
row_54	Fads2	2457	1.6236237287521362	0.37915924	No	
row_55	Fads1	2466	1.6203168630599976	0.38329014	No	
row_56	Hmbs	2613	1.5358984470367432	0.38016996	No	
row_57	Mllt11	2762	1.4608542919158936	0.37673792	No	
row_58	Uchl5	2810	1.4367949962615967	0.3783725	No	
row_59	Tm7sf2	2943	1.3739690780639648	0.37551045	No	
row_60	Rab1a	2956	1.3668409585952759	0.37872818	No	
row_61	Actr3	3214	1.2554363012313843	0.36918035	No	
row_62	Egln3	3305	1.2138105630874634	0.3680047	No	
row_63	Pfkl	3353	1.1899176836013794	0.3689479	No	
row_64	Ykt6	3397	1.1738758087158203	0.3700495	No	
row_65	Psat1	3421	1.1623530387878418	0.37213546	No	
row_66	Skap2	3453	1.1529415845870972	0.3737884	No	
row_67	Lta4h	3525	1.1243715286254883	0.3733281	No	
row_68	Nmt1	3568	1.1065820455551147	0.37429205	No	
row_69	Mcm4	3667	1.0718568563461304	0.37231225	No	
row_70	Rpn1	3718	1.0555411577224731	0.37272665	No	
row_71	Pgm1	3803	1.0255777835845947	0.37132886	No	
row_72	Tuba4a	3863	1.005185842514038	0.37114477	No	
row_73	Gsk3b	3896	0.9941190481185913	0.37230211	No	
row_74	Eif2s2	3917	0.9829462766647339	0.37403813	No	
row_75	Ung	3987	0.9583727717399597	0.37321463	No	
row_76	Psma3	4015	0.9523058533668518	0.37450904	No	
row_77	P4ha1	4113	0.9198795557022095	0.37215444	No	
row_78	Aurka	4184	0.8931240439414978	0.3710974	No	
row_79	Nufip1	4197	0.8892256617546082	0.3729776	No	
row_80	Tfrc	4450	0.8154593706130981	0.3624518	No	
row_81	Slc7a11	4459	0.8118445873260498	0.36431864	No	
row_82	Polr3g	4481	0.8069295883178711	0.36551094	No	
row_83	Gla	4494	0.8022632598876953	0.36714762	No	
row_84	Qdpr	4598	0.7675656676292419	0.3640615	No	
row_85	Plod2	4601	0.7672985196113586	0.3661086	No	
row_86	Bhlhe40	4628	0.7603767514228821	0.36691636	No	
row_87	Gbe1	4776	0.7093412280082703	0.36143064	No	
row_88	Nfyc	4984	0.657184898853302	0.352749	No	
row_89	Canx	5097	0.628061830997467	0.34881473	No	
row_90	Nup205	5102	0.626455545425415	0.35036573	No	
row_91	Rpa1	5235	0.5886368155479431	0.34530446	No	
row_92	Tubg1	5530	0.5118331909179688	0.33179346	No	
row_93	Slc7a5	5602	0.4919419586658478	0.3295621	No	
row_94	Cyb5b	5648	0.4777123034000397	0.32861248	No	
row_95	Mcm2	5657	0.4742107391357422	0.32953382	No	
row_96	Tbk1	5667	0.4715721607208252	0.33039692	No	
row_97	Asns	5860	0.42192715406417847	0.32181895	No	
row_98	Gtf2h1	5989	0.38517501950263977	0.3163912	No	
row_99	Slc6a6	6219	0.3186332881450653	0.30564317	No	
row_100	Hmgcr	6262	0.3085843324661255	0.30437243	No	
row_101	Actr2	6456	0.2580183148384094	0.2952846	No	
row_102	Rrm2	6549	0.233790323138237	0.29126284	No	
row_103	Slc2a1	6575	0.2280322015285492	0.29063064	No	
row_104	Stc1	6734	0.18746785819530487	0.28312433	No	
row_105	Fkbp2	6781	0.17634354531764984	0.28127992	No	
row_106	Ebp	7346	0.04796303063631058	0.2527455	No	
row_107	Etf1	7441	0.024087823927402496	0.24803485	No	
row_108	Serp1	7539	0.003166015725582838	0.2431131	No	
row_109	Map2k3	7593	-0.00973547250032425	0.24044631	No	
row_110	Ube2d3	7667	-0.027246415615081787	0.23681195	No	
row_111	Pdk1	8757	-0.20868855714797974	0.1820413	No	
row_112	Idh1	9021	-0.2348473221063614	0.1693304	No	
row_113	G6pdx	9160	-0.24817100167274475	0.16301069	No	
