feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Xkr4,2.528056052652791,0.6529970512667735,"GABAergic neuron,glutamatergic neuron,neuron,oligodendrocyte,oligodendrocyte precursor cell",12.258258819580078,"hypothalamus,primary motor cortex",7.387259006500244,0.9751388,True,True,True,True,True,True
Rp1,4.766550763458,0.3457395185241555,"cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,endothelial cell,leptomeningeal cell,native cell,pancreatic ductal cell,pericyte",0.09108331799507141,primary motor cortex,0.018887052312493324,0.882903,True,True,False,False,False,False
Sox17,3.276587322875299,0.5502530643549013,"bronchial smooth muscle cell,endothelial cell,endothelial cell of coronary artery,erythrocyte,fenestrated cell,kidney capillary endothelial cell,kidney cortex artery cell,smooth muscle cell of the pulmonary artery,vein endothelial cell",7.14821720123291,"heart,limb muscle",2.7683260440826416,0.9496673,True,True,True,True,False,False
Mrpl15,5.9726293215674975,0.1801922334357766,"female germ cell,male germ cell,oocyte,oogonial cell,primordial germ cell",3.777336359024048,ovary,2.3035359382629395,0.8152007,False,False,False,False,False,False
Lypla1,5.884905098946,0.1922333287639626,"brush cell,epithelial cell of proximal tubule,hepatocyte,kidney collecting duct epithelial cell,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",2.493476390838623,"kidney,large intestine,liver",1.25490403175354,0.7942125,False,False,False,False,False,False
Gm37988,3.80978823103298,0.477065491158572,"GABAergic neuron,astrocyte,ependymal cell,glutamatergic neuron,leptomeningeal cell,microglial cell,mural cell,native cell,oligodendrocyte,oligodendrocyte precursor cell,pericyte,tanycyte",0.2099151760339737,"hypothalamus,primary motor cortex",0.11644070595502853,0.9342914,True,True,True,True,False,False
Tcea1,6.853961295219995,0.0592199182256859,"erythroblast,male germ cell,mesothelial cell,primordial germ cell",3.048110008239746,mesonephros,2.0227880477905273,0.68018305,False,False,False,False,False,False
Rgs20,1.3170667879218825,0.8192183837823073,"astrocyte,ependymal cell,native cell,tanycyte",11.77282428741455,"hypothalamus,primary motor cortex",1.24626624584198,0.98598063,True,True,True,True,True,True
Atp6v1h,6.296635004764581,0.1357189602432248,"GABAergic neuron,astrocyte,glutamatergic neuron,leptomeningeal cell,microglial cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,oocyte,oogonial cell,pericyte",1.5631673336029053,"diencephalon,hypothalamus,primary motor cortex",1.211345911026001,0.7087125,False,False,False,False,False,False
Oprk1,3.120334205260403,0.5717004893454323,"ependymal cell,glioblast,glutamatergic neuron,granulosa cell,neuron,ovarian surface epithelial cell,pituitary gland cell,supporting cell",0.3686525821685791,"diencephalon,hypothalamus",0.3234025835990906,0.9624884,True,True,True,True,True,True
Npbwr1,3.687299091400772,0.493878446154396,"Leydig cell,Sertoli cell,epidermal cell,keratinocyte stem cell,mesothelial cell,stem cell of epidermis,supporting cell",0.08174637705087662,"gonad,mesonephros,skin of body",0.05891747027635574,0.9327489,True,True,True,True,False,False
Rb1cc1,6.565094419316598,0.098870011278271,"ependymal cell,glioblast,glutamatergic neuron,leptomeningeal cell,microglial cell,mural cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,oogonial cell,pericyte,pituitary gland cell,tanycyte",2.2344372272491455,diencephalon,2.0016231536865234,0.6840375,False,False,False,False,False,False
Alkal1,3.339253329300784,0.5416514793575431,"ependymal cell,glutamatergic neuron,leptomeningeal cell,mural cell,native cell,pericyte,pituitary gland cell,tanycyte",0.04822304844856262,primary motor cortex,0.023565517738461494,0.9581915,True,True,True,True,True,False
St18,0.1786519015871234,0.9754781004232568,oligodendrocyte,29.275341033935547,"hypothalamus,primary motor cortex",1.929544448852539,0.9962959,True,True,True,True,True,True
Pcmtd1,6.553046690658356,0.1005236919257236,"astrocyte,ependymal cell,microglial cell,mural cell,oligodendrocyte,pericyte,pituitary gland cell,tanycyte",2.4443557262420654,hypothalamus,1.845869779586792,0.64417326,False,False,False,False,False,False
Sntg1,2.31662780495339,0.682017857716142,"GABAergic neuron,glutamatergic neuron,neuron,oligodendrocyte precursor cell,pituitary gland cell",18.54479217529297,"hypothalamus,primary motor cortex",8.921586990356445,0.977627,True,True,True,True,True,True
Rrs1,5.999464118546924,0.1765088682387323,"Sertoli cell,basal cell,fibroblast of lung,male germ cell,primordial germ cell,pulmonary interstitial fibroblast,skeletal muscle satellite cell",1.8714759349822998,"gonad,mesonephros",0.6851649880409241,0.80245036,False,False,False,False,False,False
Adhfe1,3.925442092189297,0.4611907518261459,"astrocyte,brush cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",2.206792116165161,kidney,0.8868306875228882,0.9137597,True,True,True,True,False,False
Vxn,1.989880890284205,0.7268673944820356,"glutamatergic neuron,native cell,oligodendrocyte precursor cell",2.5994527339935303,primary motor cortex,2.0204825401306152,0.97577536,True,True,True,True,True,True
Mybl1,3.54294270167666,0.5136929169807791,"Sertoli cell,female germ cell,glioblast,native cell,oligodendrocyte precursor cell,oocyte,oogonial cell",0.5229769945144653,ovary,0.4643998146057129,0.9427007,True,True,True,True,False,False
Vcpip1,6.26053447048727,0.1406741477802759,"GABAergic neuron,Sertoli cell,glioblast,glutamatergic neuron,microglial cell,native cell,oligodendrocyte,oogonial cell",0.9667342305183411,"diencephalon,ovary,primary motor cortex",0.6649102568626404,0.76498485,False,False,False,False,False,False
Sgk3,4.762282841994189,0.346325336758427,"macrophage,microglial cell,oligodendrocyte",4.327170372009277,primary motor cortex,0.6527128219604492,0.91645706,True,True,True,False,False,False
Mcmdc2,3.7683589863013367,0.4827521016554339,"GABAergic neuron,ependymal cell,glutamatergic neuron,mural cell,native cell,neuron,oligodendrocyte precursor cell,oogonial cell,pituitary gland cell,tanycyte",0.321572482585907,"hypothalamus,primary motor cortex",0.29865705966949463,0.93857235,True,True,True,True,False,False
Tcf24,2.845066685491331,0.6094839241510484,"Leydig cell,Sertoli cell,female germ cell,oocyte,oogonial cell,type B pancreatic cell",0.19368113577365875,"islet of Langerhans,ovary",0.16385844349861145,0.9600511,True,True,True,True,True,True
Ppp1r42,3.3866249185850394,0.5351492180051627,"granulocyte,granulocytopoietic cell,immature B cell,megakaryocyte-erythroid progenitor cell,proerythroblast",0.6437637209892273,bone marrow,0.3119351863861084,0.9490644,True,True,True,True,False,False
Cops5,6.6703911412726535,0.0844169009635875,"Leydig cell,Sertoli cell,female germ cell,male germ cell,neural progenitor cell,oocyte,oogonial cell,primordial germ cell",2.0146524906158447,ovary,1.3891422748565674,0.6802364,False,False,False,False,False,False
Cspp1,4.929224337394907,0.323410816683132,"astrocyte,ependymal cell,glioblast,glutamatergic neuron,microglial cell,mural cell,native cell,neural progenitor cell,neuron,pituitary gland cell,tanycyte",2.6932029724121094,"diencephalon,hypothalamus",2.574401378631592,0.84606975,False,True,False,False,False,False
Arfgef1,6.491384718948608,0.1089874623336364,"kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leptomeningeal cell,native cell,neuron,oocyte,pituitary gland cell,urethra urothelial cell",1.7506736516952515,hypothalamus,1.3951349258422852,0.63427156,False,False,False,False,False,False
Cpa6,4.7541336160657055,0.3474439058756385,"ependymal cell,glutamatergic neuron,neuron,pituitary gland cell,tanycyte,urethra urothelial cell",0.37083500623703003,"hypothalamus,primary motor cortex",0.30359137058258057,0.90649444,True,True,True,False,False,False
Prex2,2.272238394835096,0.6881107828264905,"astrocyte,ependymal cell,leptomeningeal cell,pericyte,tanycyte",16.2700138092041,"hypothalamus,primary motor cortex",0.9259541630744934,0.9759443,True,True,True,True,True,True
A830018L16Rik,2.0823907021486114,0.7141694254358113,"GABAergic neuron,glutamatergic neuron,neuron,pituitary gland cell",5.489026069641113,"hypothalamus,primary motor cortex",3.8006346225738525,0.98087156,True,True,True,True,True,True
Sulf1,4.342166374188934,0.403990851329133,"ependymal cell,granulosa cell,leptomeningeal cell,mesothelial cell,neuron,oligodendrocyte precursor cell,ovarian surface epithelial cell,pituitary gland cell,supporting cell,tanycyte",2.5731520652770996,"gonad,mesonephros",1.8836013078689575,0.90897435,True,True,True,True,False,False
Slco5a1,4.178039202886935,0.4265190750800559,"GABAergic neuron,glioblast,glutamatergic neuron,neural progenitor cell,neuron,pituitary gland cell",0.3293828070163727,diencephalon,0.741197943687439,0.92097247,True,True,True,True,False,False
Prdm14,1.799888732170995,0.7529458665286868,"female germ cell,male germ cell,oogonial cell,primordial germ cell",0.2531820833683014,ovary,0.048566047102212906,0.9759976,True,True,True,True,True,True
Ncoa2,4.549256875468273,0.3755654473420791,"GABAergic neuron,astrocyte,ependymal cell,glutamatergic neuron,leptomeningeal cell,macrophage,microglial cell,mural cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,pericyte,pituitary gland cell,tanycyte",3.205228567123413,"hypothalamus,primary motor cortex",1.9445693492889404,0.88179755,True,True,False,False,False,False
Tram1,6.444586175857028,0.1154110669179402,"double negative thymocyte,late pro-B cell,luminal cell of prostate epithelium,plasma cell",6.075531959533691,prostate gland,3.3777596950531006,0.7811988,False,False,False,False,False,False
Lactb2,4.364762142789893,0.4008893384788944,"brush cell,epithelial cell of proximal tubule,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell,leptomeningeal cell,microglial cell,mural cell",2.019402027130127,kidney,0.777250349521637,0.89952,True,True,False,True,False,False
Xkr9,2.200852696028216,0.6979092396120417,"duct epithelial cell,enterocyte of epithelium of large intestine,epithelial cell of large intestine,hepatocyte,large intestine goblet cell",0.22654011845588684,"large intestine,liver",0.09686123579740524,0.97347873,True,True,True,True,True,True
