feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Xkr4,1.028514124321611,0.7785215385036494,"GABAergic neuron,glutamatergic neuron,neuron,oligodendrocyte,oligodendrocyte precursor cell",12.258258819580078,"hypothalamus,primary motor cortex",7.387259006500244,0.9519666,True,True,True,True,True,False
Rp1,3.427746314371639,0.2618750076888319,"cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,endothelial cell,leptomeningeal cell,native cell,pancreatic ductal cell,pericyte",0.09108331799507141,primary motor cortex,0.018887052312493324,0.743638,False,False,False,False,False,False
Sox17,1.6260450570432003,0.6498502557801902,"bronchial smooth muscle cell,endothelial cell,endothelial cell of coronary artery,erythrocyte,fenestrated cell,kidney capillary endothelial cell,kidney cortex artery cell,smooth muscle cell of the pulmonary artery,vein endothelial cell",7.14821720123291,"heart,limb muscle",2.7683260440826416,0.9218357,True,True,True,True,False,False
Mrpl15,3.594961950117832,0.2258670804592195,"female germ cell,male germ cell,oocyte,oogonial cell,primordial germ cell",3.777336359024048,ovary,2.3035359382629395,0.75131243,False,False,False,False,False,False
Lypla1,3.668948542553711,0.209934934972288,"brush cell,epithelial cell of proximal tubule,hepatocyte,kidney collecting duct epithelial cell,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",2.493476390838623,"kidney,large intestine,liver",1.25490403175354,0.6717286,False,False,False,False,False,False
Gm37988,1.0346356747964218,0.7772033343593673,"GABAergic neuron,astrocyte,ependymal cell,glutamatergic neuron,leptomeningeal cell,microglial cell,mural cell,native cell,oligodendrocyte,oligodendrocyte precursor cell,pericyte,tanycyte",0.2099151760339737,"hypothalamus,primary motor cortex",0.11644070595502853,0.9520325,True,True,True,True,True,False
Tcea1,4.262804292017687,0.0820550598866676,"erythroblast,male germ cell,mesothelial cell,primordial germ cell",3.048110008239746,mesonephros,2.0227880477905273,0.578445,False,False,False,False,False,False
Rgs20,1.6245682420202414,0.6501682705856897,"astrocyte,ependymal cell,native cell,tanycyte",11.77282428741455,"hypothalamus,primary motor cortex",1.24626624584198,0.90588284,True,True,True,True,False,False
Atp6v1h,3.533063330280497,0.2391962227297379,"GABAergic neuron,astrocyte,glutamatergic neuron,leptomeningeal cell,microglial cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,oocyte,oogonial cell,pericyte",1.5631673336029053,"diencephalon,hypothalamus,primary motor cortex",1.211345911026001,0.6542513,False,False,False,False,False,False
Oprk1,1.607827106819954,0.6537732778288403,"ependymal cell,glioblast,glutamatergic neuron,granulosa cell,neuron,ovarian surface epithelial cell,pituitary gland cell,supporting cell",0.3686525821685791,"diencephalon,hypothalamus",0.3234025835990906,0.9297367,True,True,True,True,False,False
