feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Xkr4,0.0161632318413402,0.9963201129869356,"GABAergic neuron,glutamatergic neuron,neuron,oligodendrocyte,oligodendrocyte precursor cell",12.258258819580078,"hypothalamus,primary motor cortex",7.387259006500244,0.9958088,True,True,True,True,True,True
Rp1,3.304422370952143,0.2476813370055506,"cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,endothelial cell,leptomeningeal cell,native cell,pancreatic ductal cell,pericyte",0.09108331799507141,primary motor cortex,0.018887052312493324,0.72821605,False,False,False,False,False,False
Sox17,1.587759311204027,0.6385144427472764,"bronchial smooth muscle cell,endothelial cell,endothelial cell of coronary artery,erythrocyte,fenestrated cell,kidney capillary endothelial cell,kidney cortex artery cell,smooth muscle cell of the pulmonary artery,vein endothelial cell",7.14821720123291,"heart,limb muscle",2.7683260440826416,0.91002446,True,True,True,False,False,False
Mrpl15,3.3192424599422927,0.2443072436594522,"female germ cell,male germ cell,oocyte,oogonial cell,primordial germ cell",3.777336359024048,ovary,2.3035359382629395,0.7474413,False,False,False,False,False,False
Lypla1,3.5847963995906333,0.1838485121772588,"brush cell,epithelial cell of proximal tubule,hepatocyte,kidney collecting duct epithelial cell,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell",2.493476390838623,"kidney,large intestine,liver",1.25490403175354,0.6067059,False,False,False,False,False,False
Gm37988,0.2147395801612818,0.9511101863796017,"GABAergic neuron,astrocyte,ependymal cell,glutamatergic neuron,leptomeningeal cell,microglial cell,mural cell,native cell,oligodendrocyte,oligodendrocyte precursor cell,pericyte,tanycyte",0.2099151760339737,"hypothalamus,primary motor cortex",0.11644070595502853,0.9784786,True,True,True,True,True,True
Tcea1,4.172752800164714,0.0499883322355926,"erythroblast,male germ cell,mesothelial cell,primordial germ cell",3.048110008239746,mesonephros,2.0227880477905273,0.3819825,False,False,False,False,False,False
Rgs20,1.0439067435564833,0.7623334920780691,"astrocyte,ependymal cell,native cell,tanycyte",11.77282428741455,"hypothalamus,primary motor cortex",1.24626624584198,0.9388137,True,True,True,True,False,False
Atp6v1h,3.318045460692288,0.2445797647763909,"GABAergic neuron,astrocyte,glutamatergic neuron,leptomeningeal cell,microglial cell,native cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,oocyte,oogonial cell,pericyte",1.5631673336029053,"diencephalon,hypothalamus,primary motor cortex",1.211345911026001,0.7108627,False,False,False,False,False,False
Oprk1,1.1903588278726842,0.7289907096196125,"ependymal cell,glioblast,glutamatergic neuron,granulosa cell,neuron,ovarian surface epithelial cell,pituitary gland cell,supporting cell",0.3686525821685791,"diencephalon,hypothalamus",0.3234025835990906,0.92671597,True,True,True,True,False,False
