gene_celltype,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,cell_type,gene,abs_lfc,expression_0.99
Abcg2_Aire-stage,0.9656,0.03440000000000004,3.343703016936372,2.5270783e-05,4.9118466e-06,0.0,0.25,2.31165,2.3453608,1.4685588,-3.7833276,6.8014665,0.22493639635411694,0.05830483881065491,0.10977450351581387,0.049800167882974575,0.1491497632156658,0.04285642883485036,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Abcg2,2.31165,0.7054172194004058
Ablim2_Aire-stage,0.9619,0.03810000000000002,3.2453442130960704,1.9333696e-05,3.6108058e-06,0.0,0.25,2.152678,2.247859,1.320328,-3.0449085,6.474877,0.17896944032568457,0.02306037403416138,0.07305303988675635,0.02120956960644405,0.12958310997491226,0.02096231339783858,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Ablim2,2.152678,0.5537669473886488
Acaca_Aire-stage,0.9521999999999999,0.04780000000000001,3.024218690326,5.2611842e-05,1.2016599e-05,0.0,0.25,1.8869157,1.8851624,1.1653098,-2.3941908,5.7524333,0.6050941603180886,0.12807022104591667,0.27423443929576674,0.11029037724753436,0.4217279774318173,0.10297872011081866,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Acaca,1.8869157,1.5500292408466319
Acot1_Aire-stage,0.9412,0.05880000000000002,2.7732211196045897,3.808165e-05,1.2469371e-05,0.0,0.25,1.8914627,1.9628682,1.5404236,-3.77494,6.6406503,0.3431632048586999,0.07069478386028372,0.16570145493067578,0.05014092540529011,0.22634201429958511,0.053828939388605945,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Acot1,1.8914627,1.0387695741653435
Acoxl_Aire-stage,0.972,0.02799999999999997,3.5484014743692907,2.0707224e-05,2.4830515e-06,0.0,0.25,2.8212905,2.9969754,1.78585,-4.617441,8.414217,0.21555735833002682,0.004409427719641894,0.054225769967031864,0.0025480479258669156,0.15629836441773667,0.003164674253774994,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Acoxl,2.8212905,0.5583706516027442
Acp5_Aire-stage,0.9679,0.03209999999999996,3.4748837272867634,3.0541392e-05,5.459837e-06,0.0,0.25,2.334951,2.4268758,1.5052879,-4.079321,7.769547,0.26665720193928844,0.036289426310618496,0.10417570730517811,0.029974509906772112,0.17637760968720423,0.02788830037934296,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Acp5,2.334951,0.7923330289125442
Acta2_Aire-stage,0.9544,0.045599999999999974,3.0423374643694063,6.907056e-05,1.5923564e-05,0.0,0.25,2.2641058,2.2949378,1.7943654,-4.5562935,7.972213,0.823518779042423,0.08396098451351067,0.1819576568369401,0.03907582375948635,0.5440075158973787,0.05287280459878207,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Acta2,2.2641058,1.8949983048438999
Ada_Aire-stage,0.9447,0.055300000000000016,2.838682901630995,4.22551e-05,1.4480989e-05,0.0,0.25,1.874438,1.9713733,1.495801,-4.6218357,6.366544,0.34626821326510127,0.15050584090926905,0.12295087603121396,0.10115733729664703,0.2379301862752704,0.12394430277735843,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Ada,1.874438,0.9789858067035672
Adcy3_Aire-stage,0.9587,0.0413,3.160556941835991,2.0395139e-05,4.219579e-06,0.0,0.25,2.2260895,2.3030095,1.3604057,-3.7924652,6.006903,0.13423591711029348,0.03148198026844348,0.07200317178121868,0.027679770839893203,0.09094233066145867,0.02708092555471678,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Adcy3,2.2260895,0.5641195303201664
Adcyap1_Aire-stage,0.9311,0.06890000000000002,2.6056509680819255,2.8115432e-05,7.922551e-06,0.0,0.25,1.4673694,1.517384,2.0539396,-6.503959,8.351604,0.23147577405862174,0.08997744485927209,0.05295490757897075,0.07290903477749477,0.17015970746371317,0.0733299624313693,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Adcyap1,1.4673694,1.1730312788486446
Adh6a_Aire-stage,0.95,0.04999999999999999,2.966492748448843,2.4447283e-05,5.0158524e-06,0.0,0.25,2.1375055,2.2249498,1.913888,-5.629573,9.1451435,0.31863143528426596,0.03249702313059439,0.09871195777595301,0.02448220315870411,0.19922988561057542,0.026337171376862627,1.0,WT vs Aire_KO,WT,Aire_KO,Aire-stage,Adh6a,2.1375055,0.8745944392681105
