gene_celltype,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,cell_type,gene,abs_lfc,expression_0.99
2010003K11Rik_Gut/Liver,0.9299999999999999,0.07,2.5866932705175842,2.0545021e-05,8.085535e-06,0.0,0.25,1.7053231,1.6918077,2.2642953,-5.6639085,8.939413,0.15497953798933828,0.04277568585260893,0.09886381993430615,0.027982786444324906,0.14659103763581077,0.04485662522826622,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,2010003K11Rik,1.7053231,0.9609489285945889
Abcg5_Gut/Liver,0.9271,0.07289999999999996,2.5433851855846,3.8076614e-05,1.52458115e-05,0.0,0.25,1.5014303,1.5076854,1.8276613,-5.2158084,7.381378,0.3442665984599645,0.1430554061323292,0.19183808087878967,0.09984938138784294,0.35859193680605717,0.13119130518333455,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Abcg5,1.5014303,1.7005179047584527
Abcg8_Gut/Liver,0.9336,0.06639999999999996,2.64363981817592,3.014393e-05,1.0118649e-05,0.0,0.25,1.7813201,1.7753458,2.0233812,-5.3608613,8.993194,0.21256484123992614,0.07846153846153847,0.13709771507547613,0.05457772996234536,0.21764802383200932,0.0925532712204291,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Abcg8,1.7813201,1.5299370867013904
Acbd7_Gut/Liver,0.9390000000000001,0.061,2.736086983103437,8.0781565e-06,2.6060849e-05,0.0,0.25,-1.5336549,-1.5169914,2.703623,-9.777246,6.924539,0.05512178486170194,0.5831737493275955,0.03670821890761582,0.09553523399677248,0.04776489526439918,0.2778743290469804,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Acbd7,1.5336549,1.4464765924215262
Acsm2_Gut/Liver,0.9346000000000001,0.06539999999999996,2.659638109282735,2.9531207e-05,9.646672e-06,0.0,0.25,1.6981112,1.7390494,1.8568833,-4.836213,7.8054876,0.36912839014233595,0.027305002689618073,0.06767047188268449,0.01842926304464766,0.31655254109132663,0.014319954407103049,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Acsm2,1.6981112,1.1511237490177146
Acvr1b_Gut/Liver,0.9295,0.07050000000000001,2.5812483566310815,2.6283968e-05,8.798088e-06,0.0,0.25,1.6581858,1.666168,1.4750593,-3.103314,6.2727365,0.23499228187317145,0.08006455083378161,0.1781137257013625,0.05799892415277032,0.26990427055717525,0.05773871564178373,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Acvr1b,1.6581858,0.7316668850183485
Adamtsl1_Gut/Liver,0.9453,0.054700000000000026,2.8496800944301777,8.618974e-06,3.161801e-05,0.0,0.25,-2.0606265,-2.0953968,1.6860754,-7.7602544,4.2498527,0.017825731875863803,0.3300591715976329,0.01301760809864843,0.19880580957504035,0.016556822261927506,0.24744258041424583,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Adamtsl1,2.0606265,0.8814560854434959
Aifm3_Gut/Liver,0.9269000000000001,0.0731,2.540040439588612,2.4414034e-05,8.714139e-06,0.0,0.25,1.3682296,1.3902645,2.252993,-7.386024,8.737185,0.2364304560874482,0.1421947283485745,0.10209017643996912,0.05596557288864982,0.2259214586481305,0.08288023626992833,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Aifm3,1.3682296,1.3685160201787938
Ang4_Gut/Liver,0.9356,0.06440000000000001,2.6765544392276412,3.2693493e-05,7.852784e-05,0.0,0.25,-1.2341837,-1.1992602,2.8470197,-9.63753,7.9098372,0.29704243174842504,1.1648843464228082,0.05427144472564753,0.13621301775147926,0.29344960416087534,1.091380169512681,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Ang4,1.2341837,3.7590532481670365
Anxa1_Gut/Liver,0.9594,0.04059999999999997,3.162842667058605,0.00029902975,0.0018740295,0.0,0.25,-2.797011,-2.8470712,2.1941957,-9.11277,5.2899847,3.318520812018739,37.85419042495968,0.38036230323263864,0.8826465841850482,2.810420355035765,26.897716067739204,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Gut/Liver,Anxa1,2.797011,69.84427227020264
