,external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,gene
0,Cyp2f2,0.9872,0.012800000000000034,4.345426711105514,0.0012623487,0.00012391988,0.0,0.25,4.444195,4.6337247,2.2482827,-5.185381,11.231359,20.54397394136795,1.3198669991687524,0.8023887079261675,0.1413133832086466,14.223999422946418,0.9602778777681151,True,"Lung, basal vs Rest","Lung, basal",Rest,Cyp2f2
1,Gm2a,0.983,0.017000000000000015,4.057395198028768,0.00071574375,9.6214215e-05,0.0,0.25,4.0536833,4.3541217,2.2329164,-5.4470353,10.625791,10.954397394136716,1.2327514546965954,0.6525515743756788,0.1821280133000803,7.307254725583292,0.8998195708210055,True,"Lung, basal vs Rest","Lung, basal",Rest,Gm2a
2,Krt6a,0.9824,0.01759999999999995,4.0220990973462705,0.00036869774,5.7588528e-05,0.0,0.25,4.436658,4.8543453,2.6849353,-5.9287195,12.84189,5.30401737242126,0.7748960931005786,0.4375678610206299,0.07514546965918566,3.5575169517065715,0.5279505828172124,True,"Lung, basal vs Rest","Lung, basal",Rest,Krt6a
3,Gp2,0.9822,0.017800000000000038,4.010595944690734,0.0010257598,0.00011942389,0.0,0.25,4.4326725,4.7377906,2.818793,-6.8592463,12.129375,19.64712269272522,1.8332502078138238,0.3963083604777417,0.11612635078969519,12.6636578990698,1.236761733279971,True,"Lung, basal vs Rest","Lung, basal",Rest,Gp2
4,Spink5,0.9822,0.017800000000000038,4.010595944690734,0.002474247,0.00028562688,0.0,0.25,5.513464,5.9849873,2.7173007,-3.7372227,11.693032,46.47014115092281,4.1283458021612445,0.8697068403908798,0.18894430590190833,30.640124827719145,2.9814373336681776,True,"Lung, basal vs Rest","Lung, basal",Rest,Spink5
5,Gsta4,0.9814,0.01859999999999995,3.965818015491911,0.0013026635,0.00015937797,0.0,0.25,4.4924903,4.883269,2.5831058,-5.06096,12.803455,24.175895765472138,2.335245220282653,0.8393051031487516,0.19783873649209857,14.528432949621083,1.492773607172195,True,"Lung, basal vs Rest","Lung, basal",Rest,Gsta4
6,Bpifa1,0.9812,0.01880000000000004,3.9549189208252784,0.0018637943,0.00026537073,0.0,0.25,4.0662227,4.2879357,2.5721045,-7.8378277,11.689602,74.54505971769822,8.176226101413015,0.3778501628664496,0.18478802992518392,41.90891707509196,5.421587979026034,True,"Lung, basal vs Rest","Lung, basal",Rest,Bpifa1
7,Sbsn,0.98,0.020000000000000018,3.8918198083148323,0.001512417,0.00044674944,0.0,0.25,3.505281,3.8518515,2.4910264,-7.3924932,9.102618,31.380021715526446,7.16533665835396,0.8099891422366995,0.3126350789692268,18.269661721477984,4.990514871156545,True,"Lung, basal vs Rest","Lung, basal",Rest,Sbsn
8,Slc16a11,0.9798,0.020199999999999996,3.8816653799540974,0.00021601115,3.7417965e-05,0.0,0.25,3.1882107,3.4237208,1.6218059,-3.777196,8.887017,3.5624321389793714,0.3997506234413914,0.6862106406080349,0.14729842061512974,2.347117835455065,0.28749620422480165,True,"Lung, basal vs Rest","Lung, basal",Rest,Slc16a11
9,Serpinb11,0.9784,0.021599999999999953,3.813224816940758,0.0009621667,0.00013965595,0.0,0.25,3.7146187,3.9414792,2.1816485,-4.056485,10.310929,17.073832790445017,1.4902743142144736,0.8067318132464715,0.1504571903574403,11.274223355671964,1.0372812177755568,True,"Lung, basal vs Rest","Lung, basal",Rest,Serpinb11
