NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Idh1	54	19.396425247192383	0.020775776	Yes	
row_1	Por	55	19.329669952392578	0.044216175	Yes	
row_2	Nabp1	139	15.621854782104492	0.058940187	Yes	
row_3	Orm1	159	15.048744201660156	0.076223224	Yes	
row_4	Ubc	160	15.031336784362793	0.09445119	Yes	
row_5	Pdcd4	201	13.979569435119629	0.109369956	Yes	
row_6	Tob1	256	12.856803894042969	0.12221536	Yes	
row_7	Acox1	265	12.735953330993652	0.13725305	Yes	
row_8	Me1	287	12.321012496948242	0.15112658	Yes	
row_9	Elovl6	300	12.118757247924805	0.16521242	Yes	
row_10	Arl4a	394	11.013691902160645	0.17383985	Yes	
row_11	Tst	423	10.719114303588867	0.1854149	Yes	
row_12	Sqor	462	10.335930824279785	0.19601685	Yes	
row_13	Acaa2	500	10.056581497192383	0.20633087	Yes	
row_14	Cmpk1	600	9.189886093139648	0.21244156	Yes	
row_15	Bcl6	700	8.598377227783203	0.21783495	Yes	
row_16	Ppp1r15b	745	8.342242240905762	0.22571415	Yes	
row_17	Uqcr10	804	8.007863998413086	0.23247606	Yes	
row_18	Tank	822	7.905706882476807	0.24119867	Yes	
row_19	Cmbl	868	7.61945104598999	0.24815053	Yes	
row_20	Pim3	872	7.610579967498779	0.25722706	Yes	
row_21	Atp1b3	895	7.4691691398620605	0.2651661	Yes	
row_22	Gpd2	1032	6.920475959777832	0.26664352	Yes	
row_23	Hspb8	1076	6.729776859283447	0.2726182	Yes	
row_24	Reep6	1134	6.483748912811279	0.2775827	Yes	
row_25	Acadm	1152	6.429348468780518	0.284515	Yes	
row_26	Ubqln1	1196	6.231145858764648	0.28988498	Yes	
row_27	C3	1248	6.078725337982178	0.2946634	Yes	
row_28	Acly	1293	5.935263156890869	0.29962373	Yes	
row_29	Atl2	1342	5.731387615203857	0.30413347	Yes	
row_30	Adcy6	1365	5.651048183441162	0.30986774	Yes	
row_31	Aldoa	1368	5.639481067657471	0.31660485	Yes	
row_32	Map4k3	1403	5.53932523727417	0.3215935	Yes	
row_33	Baz2a	1438	5.470476150512695	0.32649863	Yes	
row_34	Adipor2	1474	5.328963756561279	0.33118135	Yes	
row_35	Dhcr7	1547	5.1513237953186035	0.3337674	Yes	
row_36	Stom	1656	4.848098278045654	0.33415535	Yes	
row_37	Acadl	1663	4.8383331298828125	0.33971757	Yes	
row_38	Abca1	1713	4.6918511390686035	0.34291586	Yes	
row_39	Rtn3	1744	4.629691123962402	0.3470048	Yes	
row_40	Ifngr1	1803	4.524155139923096	0.3495421	Yes	
row_41	Araf	1862	4.399514675140381	0.3519283	Yes	
row_42	Bckdha	1924	4.257482528686523	0.35398972	Yes	
row_43	Cd151	1950	4.202943325042725	0.35781538	Yes	
row_44	Gpam	1997	4.125075817108154	0.36047888	Yes	
row_45	Aco2	2009	4.102792263031006	0.3648949	Yes	
row_46	Bcl2l13	2129	3.876504421234131	0.36354536	Yes	
row_47	Aldh2	2320	3.564204454421997	0.3582072	Yes	
row_48	Chuk	2325	3.5612564086914062	0.36232242	Yes	
row_49	Rnf11	2378	3.4819891452789307	0.36390102	Yes	
row_50	Crat	2404	3.437730073928833	0.36679873	Yes	
row_51	Esrra	2405	3.435161828994751	0.37096444	Yes	
row_52	Slc27a1	2447	3.3743441104888916	0.37297177	Yes	
row_53	Cs	2499	3.2930569648742676	0.3743721	Yes	
row_54	Ech1	2501	3.290087938308716	0.37831104	Yes	
row_55	Slc1a5	2579	3.1790621280670166	0.37825117	Yes	
row_56	Adig	2593	3.150134563446045	0.38141027	Yes	
row_57	Sdhc	2611	3.1295554637908936	0.384341	Yes	
row_58	Scp2	2654	3.080955743789673	0.3859417	Yes	
row_59	Dram2	2669	3.059196949005127	0.38893968	Yes	
row_60	Etfb	2727	2.9886562824249268	0.3896658	Yes	
row_61	Taldo1	2981	2.681687831878662	0.38005427	No	
row_62	Elmod3	3076	2.58050274848938	0.37840423	No	
row_63	Dgat1	3101	2.543499231338501	0.38026837	No	
row_64	Uqcrc1	3138	2.5085339546203613	0.38148	No	
row_65	Dhrs7b	3188	2.4643664360046387	0.38197708	No	
row_66	Sowahc	3299	2.333940029144287	0.37921453	No	
row_67	Coq9	3308	2.3250133991241455	0.38162723	No	
row_68	Retsat	3342	2.2829086780548096	0.3827178	No	
row_69	Slc25a1	3455	2.1653308868408203	0.37964907	No	
row_70	Rreb1	3488	2.1305439472198486	0.3806057	No	
row_71	Ywhag	3636	1.9907703399658203	0.37554577	No	
row_72	Riok3	4257	1.4758206605911255	0.34581217	No	
row_73	Miga2	4389	1.3655256032943726	0.34080753	No	
row_74	Ppm1b	4497	1.2894541025161743	0.3369309	No	
row_75	Fzd4	4624	1.211808204650879	0.33199406	No	
row_76	Hadh	4792	1.1013211011886597	0.32483864	No	
row_77	Echs1	4973	0.9844442009925842	0.31688052	No	
row_78	Idh3a	5208	0.8093938231468201	0.30596456	No	
row_79	Agpat3	5273	0.7728689908981323	0.30364776	No	
row_80	Cyc1	5428	0.6812259554862976	0.29664388	No	
row_81	Ghitm	5448	0.6713025569915771	0.29649192	No	
row_82	Enpp2	5532	0.6150513887405396	0.29301772	No	
row_83	Pex14	5731	0.5175136923789978	0.28357816	No	
row_84	Dbt	5963	0.409952849149704	0.27233034	No	
row_85	Ndufb7	6035	0.3835192620754242	0.26918548	No	
row_86	Fabp4	6054	0.37380847334861755	0.2687236	No	
row_87	Slc5a6	6099	0.35728320479393005	0.26691973	No	
row_88	Lep	6127	0.34542879462242126	0.26596582	No	
row_89	Chchd10	6162	0.3276597261428833	0.26463446	No	
row_90	Cox6a1	6267	0.278617262840271	0.25968456	No	
row_91	Ndufs3	6295	0.2697756886482239	0.25863892	No	
row_92	Sorbs1	6298	0.2684391140937805	0.25886276	No	
row_93	Abcb8	6397	0.2268366515636444	0.25415513	No	
row_94	Sdhb	6425	0.21366780996322632	0.25304145	No	
row_95	Hibch	6500	0.18428806960582733	0.24950247	No	
row_96	Rmdn3	6699	0.10333067923784256	0.23956066	No	
row_97	Uck1	6811	0.06020846217870712	0.23398998	No	
row_98	Gpx3	6856	0.038878992199897766	0.2318	No	
row_99	Uqcrq	6920	0.010644731111824512	0.22860974	No	
row_100	Dlat	7131	-0.06877241283655167	0.2180159	No	
row_101	Ltc4s	7382	-0.167054682970047	0.20550747	No	
row_102	Gpat4	7402	-0.17723549902439117	0.20475636	No	
row_103	Cavin2	7455	-0.1944556087255478	0.20234828	No	
row_104	Omd	7858	-0.33250561356544495	0.1823122	No	
