NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn2a	22	23.45915412902832	0.027130628	No	
row_1	Tpd52	449	10.465445518493652	0.018086333	No	
row_2	Acvr2a	977	7.141839027404785	-9.222377E-5	No	
row_3	Socs5	994	7.066225051879883	0.007603616	No	
row_4	Ifngr2	1228	6.135997295379639	0.0031528922	No	
row_5	Tap1	1233	6.116086006164551	0.010314371	No	
row_6	Eif4g3	1324	5.81197452545166	0.012739733	No	
row_7	Ube2n	1353	5.710724830627441	0.01819358	No	
row_8	Cd47	1495	5.272067546844482	0.017377347	No	
row_9	Jak2	1594	5.001885414123535	0.01842073	No	
row_10	Egfr	1595	5.000915050506592	0.024442619	No	
row_11	Abi1	1690	4.775596618652344	0.025416767	No	
row_12	Ifngr1	1803	4.524155139923096	0.025173506	No	
row_13	Wars1	2020	4.081850528717041	0.019113086	No	
row_14	Krt1	2035	4.052263259887695	0.023281267	No	
row_15	Nck1	2135	3.861396074295044	0.022900509	No	
row_16	Tlr3	2373	3.4951815605163574	0.015066575	No	
row_17	Ccnd3	2480	3.328571319580078	0.0136885205	No	
row_18	Map3k7	2484	3.324864149093628	0.017539741	No	
row_19	Ccr2	2512	3.279010534286499	0.020116234	No	
row_20	Apbb1	2562	3.1943182945251465	0.02147286	No	
row_21	Ets1	2578	3.1796491146087646	0.024539463	No	
row_22	Ifnar2	2596	3.1459944248199463	0.027463915	No	
row_23	Bcl3	2657	3.0772340297698975	0.028120609	No	
row_24	Tlr1	2766	2.9283549785614014	0.026159003	No	
row_25	Tapbp	2889	2.7980480194091797	0.023329107	No	
row_26	Csk	3148	2.5011987686157227	0.013231189	No	
row_27	Tgfb2	3401	2.2254440784454346	0.0031060963	No	
row_28	Ripk2	3531	2.0878396034240723	-9.346941E-4	No	
row_29	Dyrk3	3584	2.0467402935028076	-0.0011123728	No	
row_30	Tap2	3597	2.0323638916015625	7.251572E-4	No	
row_31	Lyn	3731	1.9116910696029663	-0.0037309958	No	
row_32	Ccr5	3740	1.9056925773620605	-0.0018427458	No	
row_33	Tlr6	3905	1.7579432725906372	-0.008059238	No	
row_34	Lcp2	3969	1.70814847946167	-0.009203578	No	
row_35	Capg	4125	1.573891043663025	-0.015184382	No	
row_36	Cd247	4177	1.5315923690795898	-0.015931567	No	
row_37	Pf4	4252	1.4780768156051636	-0.017911892	No	
row_38	Akt1	4558	1.2562192678451538	-0.031897172	No	
