NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tsc22d1	107	16.656335830688477	0.034601957	Yes	
row_1	Sat1	117	16.349388122558594	0.07342328	Yes	
row_2	Sgk1	141	15.566119194030762	0.10965483	Yes	
row_3	Homer2	176	14.594890594482422	0.1429968	Yes	
row_4	Dhcr24	392	11.024267196655273	0.15860616	Yes	
row_5	Krt19	448	10.472694396972656	0.18098313	Yes	
row_6	Tpd52	449	10.465445518493652	0.20612451	Yes	
row_7	Selenop	463	10.331591606140137	0.23028682	Yes	
row_8	B4galt1	653	8.888463973999023	0.24208035	Yes	
row_9	Tmem50a	866	7.62605094909668	0.24967782	Yes	
row_10	Map7	880	7.5628862380981445	0.2671888	Yes	
row_11	Ell2	902	7.440968036651611	0.28400224	Yes	
row_12	Krt8	932	7.312779426574707	0.30010313	Yes	
row_13	Zmiz1	1067	6.754641532897949	0.30955237	Yes	
row_14	Gnai3	1078	6.71584939956665	0.32518023	Yes	
row_15	Tnfaip8	1118	6.538913726806641	0.33891624	Yes	
row_16	Abcc4	1135	6.483430862426758	0.35368228	Yes	
row_17	Spdef	1266	6.011482238769531	0.3615485	Yes	
row_18	Ube2j1	1269	6.00876522064209	0.37588236	Yes	
row_19	Pmepa1	1271	5.9955315589904785	0.390235	Yes	
row_20	Rps6ka3	1669	4.819015979766846	0.38173193	Yes	
row_21	Cdk6	1730	4.652379989624023	0.3898737	Yes	
row_22	Arid5b	1831	4.470081806182861	0.39555436	Yes	
row_23	Vapa	2092	3.943992853164673	0.39187855	Yes	
row_24	Hsd17b14	2278	3.629682779312134	0.39124107	Yes	
row_25	Ccnd3	2480	3.328571319580078	0.389071	Yes	
row_26	Srf	2531	3.2462167739868164	0.3943405	Yes	
row_27	Stk39	2569	3.1889264583587646	0.4001299	Yes	
row_28	Pdlim5	2788	2.901322603225708	0.39607358	Yes	
row_29	Ngly1	2796	2.894423246383667	0.40267286	Yes	
row_30	Fkbp5	2841	2.849228620529175	0.40729216	Yes	
row_31	Mak	3163	2.4902150630950928	0.39703855	Yes	
row_32	Dbi	3179	2.4722275733947754	0.40221897	Yes	
row_33	Gsr	3221	2.426757335662842	0.40597507	Yes	
row_34	Itgav	3232	2.406433343887329	0.41125032	Yes	
row_35	Elk4	3257	2.3818743228912354	0.41575846	Yes	
row_36	Hmgcs1	3675	1.9580087661743164	0.39937073	No	
row_37	Tmprss2	3711	1.922206163406372	0.40221822	No	
row_38	Pias1	3896	1.7708033323287964	0.39716572	No	
row_39	Abhd2	4020	1.6556251049041748	0.39492184	No	
row_40	Elovl5	4173	1.5347938537597656	0.39092088	No	
row_41	Aldh1a3	4289	1.4516955614089966	0.3885917	No	
row_42	Akt1	4558	1.2562192678451538	0.37805435	No	
row_43	Adrm1	4617	1.2158100605010986	0.37804154	No	
row_44	Rab4a	4629	1.2100675106048584	0.38039213	No	
row_45	Slc26a2	4664	1.187203049659729	0.3815245	No	
row_46	Pgm3	5076	0.9090272784233093	0.36292025	No	
row_47	Ptk2b	5471	0.6574900150299072	0.3445716	No	
row_48	Gpd1l	5723	0.5215725898742676	0.3331292	No	
row_49	Appbp2	5825	0.4694509208202362	0.32914847	No	
row_50	Iqgap2	5999	0.39611542224884033	0.3213499	No	
row_51	Rrp12	6715	0.09714404493570328	0.2854192	No	
row_52	Hmgcr	6864	0.03461604192852974	0.27801663	No	
row_53	Xrcc6	7229	-0.10835772007703781	0.25986615	No	
row_54	Sec24d	7468	-0.19828535616397858	0.24830465	No	
row_55	Slc38a2	7893	-0.3425139784812927	0.22768192	No	
row_56	Acsl3	8253	-0.4657289385795593	0.21064284	No	
row_57	B2m	8288	-0.4768764078617096	0.21006878	No	
row_58	Steap4	8599	-0.5771893858909607	0.19577584	No	
row_59	Ndrg1	9071	-0.7018592357635498	0.17363916	No	
row_60	Ncoa4	9604	-0.8208174109458923	0.14870293	No	
row_61	Mertk	9787	-0.8622958660125732	0.14156905	No	
row_62	Plpp1	10392	-1.0049660205841064	0.1134335	No	
