NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Jag1	169	14.787834167480469	0.082293965	No	
row_1	Pglyrp1	290	12.269529342651367	0.1515933	No	
row_2	Cxcl5	485	10.17288875579834	0.20428482	No	
row_3	Tnfrsf21	947	7.263134479522705	0.22564225	No	
row_4	Vav2	1234	6.116076469421387	0.24878027	No	
row_5	App	2695	3.0279364585876465	0.19374989	No	
row_6	Vegfa	2772	2.9210126399993896	0.2078561	No	
row_7	Itgav	3232	2.406433343887329	0.19948797	No	
row_8	Pf4	4252	1.4780768156051636	0.15717848	No	
row_9	S100a4	6147	0.3351535201072693	0.063724905	No	
row_10	Kcnj8	6751	0.08275320380926132	0.03382464	No	
row_11	Olr1	8131	-0.4247322380542755	-0.033108052	No	
row_12	Vtn	8209	-0.45146048069000244	-0.03421851	No	
row_13	Serpina5	8881	-0.6550870537757874	-0.06403305	No	
row_14	Timp1	10009	-0.9127054214477539	-0.11526094	No	
row_15	Postn	12532	-1.5401681661605835	-0.23298335	No	
row_16	Thbd	12833	-1.6231088638305664	-0.23814397	No	
row_17	Stc1	13258	-1.7417465448379517	-0.24882913	No	
row_18	Ptk2	13503	-1.8142465353012085	-0.24999191	No	
row_19	Nrp1	14882	-2.3023533821105957	-0.30534315	No	
row_20	Fgfr1	15429	-2.5341312885284424	-0.31731436	Yes	
row_21	Vcan	15574	-2.603881359100342	-0.30858487	Yes	
row_22	Lum	16034	-2.8482677936553955	-0.3142396	Yes	
row_23	Col3a1	16319	-3.0269935131073	-0.30997166	Yes	
row_24	Spp1	16585	-3.2110161781311035	-0.30361545	Yes	
row_25	Apoh	16789	-3.3568716049194336	-0.29323694	Yes	
row_26	Lpl	17488	-3.890315294265747	-0.30454457	Yes	
row_27	Jag2	17688	-4.071924686431885	-0.289573	Yes	
row_28	Msx1	17923	-4.327783584594727	-0.27479511	Yes	
row_29	Slco2a1	18832	-5.962031364440918	-0.28396976	Yes	
row_30	Fstl1	18916	-6.242128372192383	-0.2498206	Yes	
row_31	Col5a2	19262	-7.570011615753174	-0.22072883	Yes	
row_32	Lrpap1	19324	-7.918844223022461	-0.17517304	Yes	
row_33	Pdgfa	19403	-8.321882247924805	-0.12799937	Yes	
row_34	Prg2	19560	-9.811081886291504	-0.07561351	Yes	
row_35	Ccnd2	19801	-14.808584213256836	0.0032274546	Yes	
