NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Acsl1	25	22.899417877197266	0.05191146	Yes	
row_1	Prdx5	32	21.782814025878906	0.102191724	Yes	
row_2	Idh1	54	19.396425247192383	0.14617102	Yes	
row_3	Tfcp2l1	149	15.387968063354492	0.17714663	Yes	
row_4	Idh2	216	13.700582504272461	0.20562115	Yes	
row_5	Bbox1	222	13.558815002441406	0.23685429	Yes	
row_6	Dhcr24	392	11.024267196655273	0.25390002	Yes	
row_7	Abcd3	507	10.010900497436523	0.2713766	Yes	
row_8	Sult2b1	608	9.111574172973633	0.28747347	Yes	
row_9	Abca3	704	8.531941413879395	0.30247742	Yes	
row_10	Rxra	728	8.420082092285156	0.32086623	Yes	
row_11	Aqp9	768	8.212569236755371	0.33796325	Yes	
row_12	Gc	981	7.126884460449219	0.34378183	Yes	
row_13	Slc22a18	1020	6.969974517822266	0.3580439	Yes	
row_14	Crot	1225	6.1509528160095215	0.36200115	Yes	
row_15	Bmp6	1287	5.9484686851501465	0.37272683	Yes	
row_16	Hsd17b4	1419	5.505928993225098	0.37888145	Yes	
row_17	Cyp39a1	1648	4.872179985046387	0.37865424	Yes	
row_18	Abca1	1713	4.6918511390686035	0.38630995	Yes	
row_19	Gstk1	1807	4.518969535827637	0.39209622	Yes	
row_20	Nr3c2	1908	4.294341564178467	0.3970065	Yes	
row_21	Nedd4	2147	3.844365358352661	0.3938863	Yes	
row_22	Npc1	2153	3.8338894844055176	0.40253624	Yes	
row_23	Aldh1a1	2384	3.4685657024383545	0.3989483	Yes	
row_24	Ar	2472	3.3387696743011475	0.40229765	Yes	
row_25	Pex11a	2492	3.3062047958374023	0.40901354	Yes	
row_26	Scp2	2654	3.080955743789673	0.4080183	No	
row_27	Abca2	3085	2.5652992725372314	0.39220878	No	
row_28	Slc35b2	3160	2.4936885833740234	0.39425373	No	
row_29	Retsat	3342	2.2829086780548096	0.39039284	No	
row_30	Fdxr	3434	2.186830759048462	0.39086467	No	
row_31	Pex6	3613	2.020402431488037	0.38654608	No	
row_32	Cyp27a1	3640	1.988173007965088	0.38984686	No	
row_33	Pex11g	3735	1.9087504148483276	0.3895211	No	
row_34	Slc27a2	3751	1.898186445236206	0.39316973	No	
row_35	Pex26	4398	1.3588982820510864	0.36362478	No	
row_36	Gnpat	4482	1.3009066581726074	0.36244428	No	
row_37	Abcg4	4529	1.2709299325942993	0.36306712	No	
row_38	Slc23a1	4760	1.1249600648880005	0.35403687	No	
row_39	Sult1b1	4928	1.014711618423462	0.34793967	No	
row_40	Paox	5147	0.8500531911849976	0.33887848	No	
row_41	Pfkm	5238	0.7906954288482666	0.3361588	No	
row_42	Pex19	5530	0.615562379360199	0.32285783	No	
row_43	Pex12	6080	0.3653610646724701	0.29591584	No	
row_44	Acsl5	6168	0.32553830742836	0.29226786	No	
row_45	Slc23a2	6463	0.19705313444137573	0.27784315	No	
row_46	Hao1	6574	0.14966072142124176	0.27262247	No	
row_47	Optn	6677	0.11047402769327164	0.26771575	No	
row_48	Cyp8b1	6942	-0.0016176070785149932	0.25435582	No	
row_49	Nudt12	7368	-0.16132543981075287	0.23321691	No	
row_50	Amacr	7526	-0.21860568225383759	0.2257772	No	
row_51	Cyp7b1	7751	-0.29613906145095825	0.215126	No	
row_52	Lipe	8162	-0.43575742840766907	0.19538367	No	
row_53	Pex13	8241	-0.46058449149131775	0.19250487	No	
row_54	Ttr	8347	-0.4976585805416107	0.18834542	No	
row_55	Serpina6	9011	-0.6875112652778625	0.15638083	No	
row_56	Pex7	9192	-0.7285889387130737	0.14896114	No	
row_57	Slco1a4	9614	-0.8239516615867615	0.12956345	No	
row_58	Phyh	10143	-0.9493181705474854	0.10504055	No	
row_59	Pex1	10533	-1.034809947013855	0.087752365	No	
row_60	Abcd2	10571	-1.0454721450805664	0.08830721	No	
row_61	Abca9	10574	-1.045775294303894	0.090634465	No	
row_62	Nr0b2	10999	-1.1415817737579346	0.071822524	No	
row_63	Abca6	11194	-1.1907308101654053	0.06476734	No	
row_64	Slc27a5	11276	-1.212607979774475	0.06348302	No	
row_65	Abcd1	11317	-1.219975233078003	0.064291246	No	
row_66	Pnpla8	11931	-1.3823094367980957	0.03647112	No	
row_67	Cyp7a1	12005	-1.402372121810913	0.03603244	No	
row_68	Akr1d1	12111	-1.4280564785003662	0.034033556	No	
row_69	Abca5	12163	-1.442008376121521	0.03480056	No	
row_70	Nr1i2	12329	-1.4878597259521484	0.029903347	No	
row_71	Klf1	13040	-1.674652099609375	-0.002148049	No	
row_72	Cyp46a1	13624	-1.8523896932601929	-0.02735795	No	
row_73	Aldh8a1	13635	-1.856037974357605	-0.023554066	No	
row_74	Atxn1	13710	-1.8779670000076294	-0.022938944	No	
row_75	Bcar3	13761	-1.8970603942871094	-0.0210646	No	
row_76	Sod1	14247	-2.058410406112671	-0.040835313	No	
