NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mal2	79	18.05141258239746	0.053767983	Yes	
row_1	Alcam	88	17.69630241394043	0.10998649	Yes	
row_2	Clu	101	16.977375030517578	0.16370258	Yes	
row_3	Jag1	169	14.787834167480469	0.20763434	Yes	
row_4	Errfi1	206	13.832097053527832	0.25007412	Yes	
row_5	Cd9	405	10.889461517333984	0.27491447	Yes	
row_6	Ctnnb1	467	10.291783332824707	0.30476338	Yes	
row_7	S100a11	539	9.736358642578125	0.33232993	Yes	
row_8	Trp53inp1	651	8.89501667022705	0.35518372	Yes	
row_9	Atf3	722	8.443005561828613	0.37866247	Yes	
row_10	Cxcl16	818	7.927270889282227	0.39922807	Yes	
row_11	Nfil3	1075	6.738978385925293	0.40785813	Yes	
row_12	Cpeb2	1090	6.643916130065918	0.42840934	Yes	
row_13	Sqle	1330	5.790213584899902	0.43486246	Yes	
row_14	Tnfrsf12a	1377	5.610936164855957	0.4504919	Yes	
row_15	Ebp	1423	5.499953746795654	0.46581674	Yes	
row_16	Lgals3	1486	5.310120105743408	0.47967535	Yes	
row_17	Dhcr7	1547	5.1513237953186035	0.49312693	Yes	
row_18	Fbxo6	1588	5.018555164337158	0.507164	Yes	
row_19	Actg1	1875	4.365433216094971	0.50668395	No	
row_20	Plaur	2191	3.7702438831329346	0.50283444	No	
row_21	Ech1	2501	3.290087938308716	0.4977517	No	
row_22	Abca2	3085	2.5652992725372314	0.47650796	No	
row_23	Atxn2	3305	2.325417995452881	0.4728852	No	
row_24	Gusb	3471	2.1516828536987305	0.47143447	No	
row_25	Plscr1	3484	2.133193254470825	0.4776538	No	
row_26	Hmgcs1	3675	1.9580087661743164	0.47432044	No	
row_27	Ldlr	3733	1.9101903438568115	0.47755292	No	
row_28	Srebf2	3967	1.709490418434143	0.4712521	No	
row_29	Stx5a	4085	1.6017900705337524	0.47046676	No	
row_30	Lgmn	4386	1.3679593801498413	0.45968845	No	
row_31	Mvk	4517	1.2779202461242676	0.4572101	No	
row_32	Lss	4754	1.1272451877593994	0.44889474	No	
row_33	Nsdhl	5205	0.8123154044151306	0.4287609	No	
row_34	Pnrc1	5278	0.770086407661438	0.42758763	No	
row_35	Chka	5350	0.7239039540290833	0.42631713	No	
row_36	Ethe1	5559	0.5974918007850647	0.4177212	No	
row_37	Fdft1	5689	0.5387544631958008	0.41292825	No	
row_38	Hmgcr	6864	0.03461604192852974	0.35373113	No	
row_39	Cyp51	7236	-0.10994061827659607	0.3353408	No	
row_40	Acss2	7258	-0.11940789222717285	0.334662	No	
row_41	Tm7sf2	7369	-0.16163648664951324	0.3296222	No	
row_42	Pcyt2	8048	-0.39755916595458984	0.2966432	No	
row_43	Niban1	8071	-0.4063545763492584	0.29683203	No	
row_44	Tmem97	8405	-0.5137033462524414	0.28165329	No	
row_45	Aldoc	8517	-0.551475465297699	0.27781036	No	
row_46	Sc5d	8535	-0.5589490532875061	0.27874002	No	
row_47	Acat2	9633	-0.8293823599815369	0.22597574	No	
row_48	Hsd17b7	11208	-1.1945526599884033	0.1502829	No	
row_49	Gldc	12577	-1.5481876134872437	0.08612827	No	
row_50	Avpr1a	13218	-1.72963547706604	0.059331167	No	
row_51	Stard4	14236	-2.0538458824157715	0.014526224	No	
row_52	Mvd	15313	-2.478649377822876	-0.03190003	No	
row_53	Gnai1	15386	-2.5139384269714355	-0.027493494	No	
row_54	Pmvk	15792	-2.715571641921997	-0.039264224	No	
row_55	Pparg	16059	-2.8683552742004395	-0.043524116	No	
row_56	Pdk3	16084	-2.8797314167022705	-0.0355223	No	
row_57	Fasn	16251	-2.9758214950561523	-0.034386557	No	
row_58	Gpx8	16490	-3.135012626647949	-0.036378734	No	
row_59	Adh4	17421	-3.8324637413024902	-0.071097605	No	
row_60	Lpl	17488	-3.890315294265747	-0.061983984	No	
row_61	Fabp5	17515	-3.9120726585388184	-0.050780036	No	
row_62	Gstm7	17832	-4.199429512023926	-0.053306796	No	
row_63	Trib3	18195	-4.703350067138672	-0.05654499	No	
row_64	Fdps	18380	-4.975058078765869	-0.04992163	No	
row_65	Anxa5	18641	-5.458993911743164	-0.045589183	No	
row_66	Fads2	18671	-5.528162479400635	-0.029365804	No	
row_67	Sema3b	18844	-5.994760990142822	-0.018873502	No	
row_68	Idi1	19130	-7.010228157043457	-0.010840531	No	
row_69	Antxr2	19246	-7.479606628417969	0.0072823297	No	
row_70	Atf5	19248	-7.481295585632324	0.031169623	No	
